snapshot_date,asof_date,league,season,team_name,team_key,flab_expected_against_goals,flab_expected_against_xg,flab_chance_allowed_shot_conversion,flab_chance_allowed_build_rate,flab_possession_rate,flab_possession_attack_cbp,flab_agi_score,flab_agi_goals,flab_agi_shots,flab_agi_rank,flab_kagi_score,flab_kagi_goals_against,flab_kagi_shots_against,flab_kagi_rank,flab_cbp_cross_points,flab_cbp_cross_per_game,flab_cbp_cross_last5,flab_cbp_goal_points,flab_cbp_goal_per_game,flab_cbp_goal_last5,flab_expected_for_xg,flab_expected_for_goals,flab_expected_for_diff,flab_expected_for_rank,flab_expected_against_diff,flab_expected_against_rank,flab_cbp_shot_points,flab_cbp_shot_per_game,flab_cbp_shot_last5,flab_cbp_save_points,flab_cbp_save_per_game,flab_cbp_save_last5,flab_chance_attack_count,flab_chance_shots,flab_chance_build_rate,flab_chance_goals,flab_chance_shot_conversion,flab_chance_allowed_attack_count,flab_chance_allowed_shots,flab_chance_allowed_goals,flab_cbp_dribble_points,flab_cbp_dribble_per_game,flab_cbp_dribble_last5,flab_cbp_pass_points,flab_cbp_pass_per_game,flab_cbp_pass_last5,flab_cbp_gain_points,flab_cbp_gain_per_game,flab_cbp_gain_last5,flab_cbp_defense_points,flab_cbp_defense_per_game,flab_cbp_defense_last5,flab_cbp_attack_points,flab_cbp_attack_per_game,flab_cbp_attack_last5
20260912,20260908,j2,2026,仙台,仙台,1.0,0.869,7.3,8.6,46.5061,12.7,50.3,1.8,15.4,3.0,61.7,1.0,8.6,3.0,6.95,1.39,6.95,28.78,5.76,28.78,1.611,1.8,0.189,3.0,0.131,3.0,46.42,9.28,46.42,0.76,0.15,0.76,120.6,(9位),15.4,(7位),12.8,117.2,(9位),(1位),4.55,0.91,4.55,52.07,10.41,52.07,464.42,92.88,464.42,67.91,13.58,67.91,63.56,12.71,63.56
20260912,20260908,j2,2026,磐田,磐田,1.4,0.923,9.0,11.0,51.467,14.6,57.8,1.4,15.4,11.0,56.7,1.4,11.0,11.0,5.97,1.19,5.97,15.37,3.07,15.37,1.849,1.4,-0.449,11.0,0.477,11.0,32.96,6.59,32.96,0.52,0.1,0.52,125.6,(4位),15.4,(7位),12.3,122.6,(16位),(2位),5.7,1.14,5.7,61.34,12.27,61.34,459.13,91.83,459.13,63.62,12.72,63.62,73.02,14.6,73.02
20260912,20260908,j2,2026,大分,大分,0.8,1.031,10.6,12.2,51.1886,14.3,42.5,1.0,11.4,15.0,55.1,0.8,12.2,15.0,7.05,1.41,7.05,12.41,2.48,12.41,1.213,1.0,-0.213,15.0,-0.231,15.0,31.23,6.25,31.23,1.99,0.4,1.99,116.6,(11位),11.4,(13位),9.8,114.8,(6位),(6位),3.47,0.69,3.47,61.05,12.21,61.05,436.61,87.32,436.61,66.81,13.36,66.81,71.56,14.31,71.56
20260912,20260908,j2,2026,鳥栖,鳥栖,1.0,1.102,10.9,11.8,51.3254,14.3,50.7,1.4,16.0,9.0,49.7,1.0,11.8,9.0,5.2,1.04,5.2,17.76,3.55,17.76,1.697,1.4,-0.297,9.0,-0.102,9.0,47.16,9.43,47.16,1.71,0.34,1.71,107.6,(18位),16.0,(4位),14.9,108.2,(3位),(5位),6.58,1.32,6.58,59.92,11.98,59.92,370.56,74.11,370.56,73.25,14.65,73.25,71.69,14.34,71.69
20260912,20260908,j2,2026,富山,富山,1.0,1.111,9.5,11.6,55.9699,24.3,62.3,2.0,21.0,6.0,56.1,1.0,11.6,6.0,16.17,3.23,16.17,31.27,6.25,31.27,1.767,2.0,0.233,6.0,-0.111,6.0,67.22,13.44,67.22,1.97,0.39,1.97,126.2,(3位),21.0,(1位),16.6,121.8,(15位),(4位),8.25,1.65,8.25,96.98,19.4,96.98,498.65,99.73,498.65,54.18,10.84,54.18,121.4,24.28,121.4
20260912,20260908,j2,2026,宮崎,宮崎,1.6,1.132,11.5,13.8,54.6224,14.5,49.4,0.6,13.0,19.0,47.3,1.6,13.8,19.0,9.63,1.93,9.63,13.88,2.78,13.88,1.102,0.6,-0.502,19.0,0.468,19.0,33.68,6.74,33.68,1.42,0.28,1.42,119.0,(10位),13.0,(12位),10.9,120.2,(13位),(12位),9.08,1.82,9.08,53.76,10.75,53.76,425.15,85.03,425.15,67.8,13.56,67.8,72.47,14.49,72.47
20260912,20260908,j2,2026,大宮,大宮,1.0,1.153,9.8,12.4,52.3258,16.4,55.9,2.0,16.2,1.0,48.9,1.0,12.4,1.0,10.61,2.12,10.61,26.29,5.26,26.29,1.557,2.0,0.443,1.0,-0.153,1.0,46.73,9.35,46.73,1.78,0.36,1.78,122.6,(6位),16.2,(3位),13.2,126.2,(17位),(7位),9.73,1.95,9.73,61.66,12.33,61.66,404.5,80.9,404.5,67.91,13.58,67.91,82.01,16.4,82.01
20260912,20260908,j2,2026,藤枝,藤枝,0.8,1.19,11.7,13.6,47.5797,11.6,47.5,1.4,9.4,4.0,46.7,0.8,13.6,4.0,5.37,1.07,5.37,14.36,2.87,14.36,1.119,1.4,0.281,4.0,-0.39,4.0,24.86,4.97,24.86,4.8,0.96,4.8,115.2,(14位),9.4,(19位),8.2,116.0,(8位),(10位),5.97,1.19,5.97,46.65,9.33,46.65,362.09,72.42,362.09,90.8,18.16,90.8,57.99,11.6,57.99
20260912,20260908,j2,2026,山形,山形,0.6,1.19,14.3,14.8,52.9307,17.6,55.1,1.6,16.0,7.0,53.1,0.6,14.8,7.0,10.77,2.15,10.77,22.04,4.41,22.04,1.53,1.6,0.07,7.0,-0.59,7.0,52.22,10.44,52.22,1.65,0.33,1.65,103.6,(20位),16.0,(4位),15.4,103.4,(1位),(15位),8.43,1.69,8.43,68.76,13.75,68.76,303.82,60.76,303.82,54.1,10.82,54.1,87.96,17.59,87.96
20260912,20260908,j2,2026,札幌,札幌,2.4,1.241,9.4,11.0,55.5382,18.1,49.3,1.2,13.6,17.0,54.5,2.4,11.0,17.0,12.38,2.48,12.38,18.59,3.72,18.59,1.19,1.2,0.01,17.0,1.159,17.0,45.28,9.06,45.28,3.6,0.72,3.6,128.2,(1位),13.6,(9位),10.6,117.2,(9位),(2位),8.79,1.76,8.79,69.41,13.88,69.41,408.82,81.76,408.82,63.42,12.68,63.42,90.58,18.12,90.58
