snapshot_date,asof_date,league,season,team_name,team_key,flab_expected_against_goals,flab_expected_against_xg,flab_chance_allowed_shot_conversion,flab_chance_allowed_build_rate,flab_possession_rate,flab_possession_attack_cbp,flab_agi_score,flab_agi_goals,flab_agi_shots,flab_agi_rank,flab_kagi_score,flab_kagi_goals_against,flab_kagi_shots_against,flab_kagi_rank,flab_cbp_cross_points,flab_cbp_cross_per_game,flab_cbp_cross_last5,flab_cbp_goal_points,flab_cbp_goal_per_game,flab_cbp_goal_last5,flab_expected_for_xg,flab_expected_for_goals,flab_expected_for_diff,flab_expected_for_rank,flab_expected_against_diff,flab_expected_against_rank,flab_cbp_shot_points,flab_cbp_shot_per_game,flab_cbp_shot_last5,flab_cbp_save_points,flab_cbp_save_per_game,flab_cbp_save_last5,flab_chance_attack_count,flab_chance_shots,flab_chance_build_rate,flab_chance_goals,flab_chance_shot_conversion,flab_chance_allowed_attack_count,flab_chance_allowed_shots,flab_chance_allowed_goals,flab_cbp_dribble_points,flab_cbp_dribble_per_game,flab_cbp_dribble_last5,flab_cbp_pass_points,flab_cbp_pass_per_game,flab_cbp_pass_last5,flab_cbp_gain_points,flab_cbp_gain_per_game,flab_cbp_gain_last5,flab_cbp_defense_points,flab_cbp_defense_per_game,flab_cbp_defense_last5,flab_cbp_attack_points,flab_cbp_attack_per_game,flab_cbp_attack_last5
20260912,20260907,j1,2026,広島,広島,0.67,0.813,8.2,8.5,54.0176,21.0,58.8,2.17,18.5,5.0,54.4,0.67,8.5,5.0,16.47,2.75,13.94,36.33,6.06,28.06,2.099,2.17,0.071,5.0,-0.143,5.0,66.68,11.11,56.69,1.44,0.24,1.23,113.8,(6位),18.5,(1位),16.3,104.2,(1位),(2位),11.05,1.84,9.21,98.27,16.38,83.17,539.28,89.88,421.25,64.56,10.76,54.95,125.8,20.97,106.32
20260912,20260907,j1,2026,鹿島,鹿島,1.5,1.008,9.4,10.5,57.7072,21.1,53.4,2.0,17.0,4.0,57.3,1.5,10.5,4.0,16.37,2.73,13.65,29.52,4.92,21.19,1.951,2.0,0.049,4.0,0.492,4.0,58.67,9.78,46.28,1.17,0.2,0.92,118.5,(1位),17.0,(2位),14.4,111.8,(12位),(4位),6.57,1.09,5.21,103.63,17.27,89.07,501.7,83.62,442.6,70.2,11.7,60.3,126.56,21.09,107.94
20260912,20260907,j1,2026,福岡,福岡,1.5,1.029,9.9,11.0,45.1703,13.2,57.7,1.33,15.0,16.0,60.7,1.5,11.0,16.0,11.28,1.88,9.19,26.43,4.41,26.43,1.365,1.33,-0.035,16.0,0.471,16.0,60.3,10.05,52.63,1.35,0.22,0.91,112.3,(9位),15.0,(7位),13.4,111.5,(11位),(7位),10.28,1.71,9.75,57.82,9.64,50.63,515.19,85.86,411.35,69.42,11.57,52.58,79.38,13.23,69.56
20260912,20260907,j1,2026,神戸,神戸,0.67,1.041,9.8,10.7,51.0785,13.6,53.0,1.5,11.17,2.0,53.0,0.67,10.67,2.0,9.68,1.61,8.68,19.39,3.23,18.14,1.569,1.5,-0.069,2.0,-0.371,2.0,45.35,7.56,38.5,1.41,0.24,1.08,117.7,(2位),11.2,(14位),9.5,109.0,(9位),(6位),6.56,1.09,6.31,65.59,10.93,54.41,523.91,87.32,455.04,81.76,13.63,67.66,81.83,13.64,69.39
20260912,20260907,j1,2026,岡山,岡山,1.17,1.048,7.1,8.3,44.8685,14.4,61.6,1.33,15.83,8.0,61.8,1.17,8.33,8.0,13.0,2.17,10.92,23.04,3.84,20.43,1.369,1.33,-0.039,8.0,0.122,8.0,44.03,7.34,37.01,1.12,0.19,0.78,117.7,(2位),15.8,(4位),13.5,117.7,(19位),(1位),9.64,1.61,7.72,63.65,10.61,52.19,606.68,101.11,516.72,83.83,13.97,72.18,86.29,14.38,70.83
20260912,20260907,j1,2026,町田,町田,0.67,1.075,11.3,12.0,49.4456,15.3,50.5,3.0,13.83,1.0,53.1,0.67,12.0,1.0,14.66,2.44,12.15,51.21,8.54,38.98,1.75,3.0,1.25,1.0,-0.405,1.0,45.94,7.66,36.58,1.54,0.26,1.12,107.5,(15位),13.8,(9位),12.9,106.3,(4位),(9位),7.48,1.25,6.11,69.7,11.62,55.39,483.95,80.66,381.93,84.05,14.01,71.05,91.84,15.31,73.65
20260912,20260907,j1,2026,柏,柏,1.33,1.149,9.8,10.5,58.3278,19.4,55.6,1.67,13.33,3.0,58.3,1.33,10.5,3.0,8.95,1.49,7.8,29.53,4.92,23.86,1.429,1.67,0.241,3.0,0.181,3.0,52.18,8.7,44.05,1.3,0.22,0.92,108.5,(13位),13.3,(10位),12.3,107.0,(5位),(4位),7.73,1.29,6.48,99.68,16.61,87.46,526.14,87.69,456.8,64.83,10.81,54.75,116.36,19.39,101.74
20260912,20260907,j1,2026,FC東京,FC東京,1.33,1.153,8.3,9.5,53.9629,18.3,52.5,1.83,15.83,6.0,53.2,1.33,9.5,6.0,13.78,2.3,13.26,30.13,5.02,25.99,1.799,1.83,0.031,6.0,0.177,6.0,58.51,9.75,52.03,0.78,0.13,0.58,108.2,(14位),15.8,(4位),14.6,114.2,(14位),(3位),9.76,1.63,8.54,86.11,14.35,76.12,517.72,86.29,433.03,79.89,13.31,65.23,109.65,18.28,97.92
20260912,20260907,j1,2026,長崎,長崎,2.33,1.372,13.0,14.2,45.587,12.0,39.8,1.17,9.5,18.0,42.5,2.33,14.17,18.0,5.87,0.98,3.81,23.55,3.93,17.39,0.825,1.17,0.345,18.0,0.958,18.0,34.88,5.81,27.16,2.05,0.34,1.93,107.0,(17位),9.5,(19位),8.9,108.8,(8位),(13位),6.93,1.16,6.22,59.33,9.89,49.88,469.82,78.3,399.97,98.76,16.46,85.2,72.14,12.02,59.91
20260912,20260907,j1,2026,浦和,浦和,2.5,1.499,12.4,14.2,51.2652,14.3,54.0,1.67,15.17,12.0,44.0,2.5,14.17,12.0,11.87,1.98,8.6,20.86,3.48,15.81,1.582,1.67,0.088,12.0,1.001,12.0,60.28,10.05,49.75,3.77,0.63,3.23,113.0,(7位),15.2,(6位),13.4,114.5,(16位),(13位),8.04,1.34,5.87,65.94,10.99,55.03,537.82,89.64,471.02,87.06,14.51,74.78,85.86,14.31,69.5
20260912,20260907,j1,2026,清水,清水,1.17,1.529,14.6,15.8,40.9528,11.1,54.2,0.5,10.17,17.0,42.9,1.17,15.83,17.0,11.51,1.92,8.19,4.14,0.69,1.53,1.44,0.5,-0.94,17.0,-0.359,17.0,33.53,5.59,24.55,3.78,0.63,3.05,109.5,(11位),10.2,(17位),9.3,108.5,(7位),(16位),9.42,1.57,7.47,45.76,7.63,40.73,457.94,76.32,408.22,82.94,13.82,63.42,66.7,11.12,56.39
20260912,20260907,j1,2026,川崎Ｆ,川崎Ｆ,1.5,1.534,12.8,14.0,52.304,18.3,56.1,2.0,16.33,10.0,49.9,1.5,14.0,10.0,10.3,1.72,8.78,34.16,5.69,31.69,1.626,2.0,0.374,10.0,-0.034,10.0,57.68,9.61,51.36,3.56,0.59,3.16,107.0,(17位),16.3,(3位),15.3,109.8,(10位),(12位),13.44,2.24,11.66,86.29,14.38,68.17,451.21,75.2,393.38,76.6,12.77,69.53,110.03,18.34,88.61
20260912,20260907,j1,2026,水戸,水戸,1.33,1.599,13.5,14.5,42.2636,11.3,40.8,1.83,12.67,11.0,45.0,1.33,14.5,11.0,9.7,1.62,8.27,27.57,4.59,27.25,1.56,1.83,0.27,11.0,-0.269,11.0,40.96,6.83,37.13,3.37,0.56,2.85,103.0,(20位),12.7,(11位),12.3,107.8,(6位),(15位),6.41,1.07,5.86,51.67,8.61,38.92,448.97,74.83,386.04,107.31,17.88,96.82,67.78,11.3,53.05
20260912,20260907,j1,2026,名古屋,名古屋,1.83,1.616,13.2,13.8,55.7323,17.0,52.3,1.0,12.67,14.0,51.5,1.83,13.83,14.0,12.23,2.04,10.05,15.11,2.52,15.11,1.481,1.0,-0.481,14.0,0.214,14.0,46.98,7.83,36.59,2.17,0.36,1.38,109.0,(12位),12.7,(11位),11.6,104.5,(2位),(11位),7.04,1.17,5.72,82.46,13.74,64.66,472.44,78.74,401.68,69.23,11.54,59.17,101.72,16.95,80.43
20260912,20260907,j1,2026,横浜FM,横浜FM,1.33,1.679,11.2,13.7,48.7423,12.0,46.6,1.67,10.83,7.0,47.7,1.33,13.67,7.0,13.54,2.26,11.92,27.1,4.52,20.08,1.226,1.67,0.444,7.0,-0.349,7.0,45.16,7.53,38.97,2.67,0.44,2.52,115.0,(5位),10.8,(16位),9.4,122.2,(20位),(10位),5.52,0.92,4.31,52.86,8.81,46.33,519.1,86.52,426.65,84.17,14.03,67.26,71.92,11.99,62.55
20260912,20260907,j1,2026,Ｃ大阪,Ｃ大阪,0.83,1.684,10.2,11.5,55.8125,14.9,47.5,0.83,11.5,9.0,44.0,0.83,11.5,9.0,9.36,1.56,7.75,15.17,2.53,8.2,1.055,0.83,-0.225,9.0,-0.854,9.0,37.03,6.17,31.74,3.77,0.63,2.89,117.7,(2位),11.5,(13位),9.8,112.8,(13位),(8位),8.02,1.34,6.61,72.07,12.01,63.74,487.34,81.22,414.19,87.07,14.51,68.97,89.45,14.91,78.1
20260912,20260907,j1,2026,東京Ｖ,東京Ｖ,1.33,1.694,14.9,17.0,41.2325,9.3,36.0,0.33,7.5,19.0,42.7,1.33,17.0,19.0,7.08,1.18,5.98,3.87,0.64,2.62,0.784,0.33,-0.454,19.0,-0.364,19.0,21.88,3.65,16.24,3.9,0.65,3.41,106.2,(19位),7.5,(20位),7.1,114.3,(15位),(18位),4.42,0.74,3.07,44.54,7.42,36.68,469.09,78.18,378.25,95.65,15.94,77.64,56.05,9.34,45.73
20260912,20260907,j1,2026,千葉,千葉,2.5,1.808,15.7,18.0,47.7577,11.1,38.0,0.83,10.0,20.0,47.3,2.5,18.0,20.0,8.52,1.42,6.97,12.79,2.13,12.79,0.77,0.83,0.06,20.0,0.692,20.0,35.0,5.83,31.3,1.67,0.28,1.31,110.5,(10位),10.0,(18位),9.1,114.7,(17位),(20位),7.72,1.29,6.75,50.27,8.38,43.31,536.83,89.47,456.52,87.58,14.6,75.12,66.51,11.08,57.03
20260912,20260907,j1,2026,Ｇ大阪,Ｇ大阪,1.83,1.833,15.8,16.7,55.9925,16.1,46.9,1.33,14.17,13.0,44.1,1.83,16.67,13.0,9.24,1.54,8.14,26.72,4.45,13.05,1.327,1.33,0.003,13.0,-0.003,13.0,55.61,9.27,44.2,5.12,0.85,4.65,107.2,(16位),14.2,(8位),13.2,105.8,(3位),(17位),9.8,1.63,7.26,77.69,12.95,63.28,415.99,69.33,358.9,71.14,11.86,59.83,96.74,16.12,78.68
20260912,20260907,j1,2026,京都,京都,1.83,1.883,15.2,17.7,45.9568,11.8,44.7,1.17,11.0,15.0,46.5,1.83,17.67,15.0,7.47,1.25,6.47,24.97,4.16,22.35,1.038,1.17,0.132,15.0,-0.053,15.0,40.5,6.75,31.45,3.54,0.59,3.26,112.7,(8位),11.0,(15位),9.8,116.3,(18位),(19位),5.76,0.96,4.76,57.53,9.59,46.08,474.11,79.02,417.62,91.79,15.3,78.48,70.77,11.79,57.31
