snapshot_date,asof_date,league,season,team_name,team_key,flab_expected_against_goals,flab_expected_against_xg,flab_style_short_counter_index,flab_style_short_counter_shot_rate,flab_chance_allowed_shot_conversion,flab_chance_allowed_build_rate,flab_possession_rate,flab_possession_attack_cbp,flab_style_long_counter_index,flab_style_long_counter_shot_rate,flab_style_center_attack_index,flab_style_center_attack_shot_rate,flab_style_right_attack_index,flab_style_right_attack_shot_rate,flab_style_left_attack_index,flab_style_left_attack_shot_rate,flab_style_enemy_possession_index,flab_style_enemy_possession_shot_rate,flab_style_own_possession_index,flab_style_own_possession_shot_rate,flab_agi_score,flab_agi_goals,flab_agi_shots,flab_agi_rank,flab_kagi_score,flab_kagi_goals_against,flab_kagi_shots_against,flab_kagi_rank,flab_cbp_cross_points,flab_cbp_cross_per_game,flab_cbp_cross_last5,flab_cbp_goal_points,flab_cbp_goal_per_game,flab_cbp_goal_last5,flab_expected_for_xg,flab_expected_for_goals,flab_expected_for_diff,flab_expected_for_rank,flab_expected_against_diff,flab_expected_against_rank,flab_cbp_shot_points,flab_cbp_shot_per_game,flab_cbp_shot_last5,flab_cbp_save_points,flab_cbp_save_per_game,flab_cbp_save_last5,flab_chance_attack_count,flab_chance_shots,flab_chance_build_rate,flab_chance_goals,flab_chance_shot_conversion,flab_chance_allowed_attack_count,flab_chance_allowed_shots,flab_chance_allowed_goals,flab_cbp_dribble_points,flab_cbp_dribble_per_game,flab_cbp_dribble_last5,flab_cbp_pass_points,flab_cbp_pass_per_game,flab_cbp_pass_last5,flab_cbp_gain_points,flab_cbp_gain_per_game,flab_cbp_gain_last5,flab_cbp_defense_points,flab_cbp_defense_per_game,flab_cbp_defense_last5,flab_cbp_attack_points,flab_cbp_attack_per_game,flab_cbp_attack_last5
20260530,20260526,j2,2026,宮崎,宮崎,0.61,0.81,46.7,20.6,8.2,9.6,50.0205,13.0,50.3,13.8,44.7,40.3,45.7,11.4,58.0,10.8,54.4,17.4,54.7,4.4,50.4,1.89,12.78,1.0,54.2,0.61,9.56,1.0,29.84,1.66,7.98,111.05,6.17,24.7,1.269,1.89,0.621,1.0,-0.2,1.0,152.67,8.48,43.58,3.26,0.18,0.88,112.9,(39位),12.8,(13位),11.3,116.0,(4位),(5位),24.89,1.38,9.03,179.94,10.0,48.52,1508.26,83.79,386.07,231.51,12.86,59.6,234.68,13.04,65.53
20260530,20260526,j2,2026,鳥栖,鳥栖,0.78,0.84,40.5,25.1,8.4,9.2,56.084,16.1,40.1,11.0,47.5,39.1,48.9,18.1,51.6,13.6,65.7,23.5,73.8,7.6,47.2,1.33,13.28,3.0,55.7,0.78,9.17,3.0,26.87,1.49,8.64,78.32,4.35,31.5,1.19,1.33,0.14,3.0,-0.06,3.0,144.89,8.05,39.44,5.07,0.28,0.92,113.0,(38位),13.3,(10位),11.8,108.7,(1位),(3位),29.73,1.65,8.88,232.82,12.93,62.79,1412.22,78.46,372.64,219.0,12.17,59.79,289.42,16.08,80.31
20260530,20260526,j2,2026,八戸,八戸,1.0,0.857,62.3,14.5,6.8,9.1,44.2602,10.5,47.4,12.0,36.2,33.3,70.2,5.2,55.9,14.4,33.9,24.2,35.2,5.4,54.9,0.78,11.72,9.0,53.5,1.0,9.11,9.0,34.77,1.93,14.41,40.46,2.25,5.22,1.121,0.78,-0.341,9.0,0.143,9.0,132.86,7.38,31.74,4.15,0.23,1.28,133.6,(1位),11.7,(22位),8.8,134.5,(38位),(2位),17.35,0.96,7.5,137.77,7.65,44.09,1711.06,95.06,444.82,263.6,14.64,63.11,189.89,10.55,65.99
20260530,20260526,j2,2026,仙台,仙台,0.83,0.889,45.9,14.7,8.1,9.4,52.161,12.5,62.0,22.3,59.1,40.8,51.3,13.5,42.1,9.1,52.9,22.0,50.0,9.3,48.3,1.78,14.56,1.0,54.7,0.83,9.39,1.0,21.99,1.22,3.53,101.74,5.65,20.86,1.356,1.78,0.424,1.0,-0.059,1.0,164.21,9.12,36.36,6.82,0.38,2.33,123.3,(18位),14.6,(7位),11.8,116.6,(8位),(4位),22.57,1.25,4.46,181.27,10.07,56.25,1544.74,85.82,420.65,231.25,12.85,60.92,225.83,12.55,64.24
20260530,20260526,j2,2026,横浜FC,横浜FC,1.44,0.915,46.7,20.6,9.1,10.6,57.7333,15.9,48.1,20.2,56.8,38.4,46.9,13.5,54.8,15.6,56.8,20.7,54.1,6.5,51.5,1.83,16.72,4.0,51.6,1.44,10.56,4.0,34.35,1.91,8.91,83.9,4.66,28.14,1.825,1.83,0.005,4.0,0.525,4.0,174.71,9.71,41.45,5.19,0.29,1.67,124.2,(17位),16.7,(2位),13.5,116.4,(6位),(10位),27.94,1.55,7.58,224.72,12.48,62.84,1488.68,82.7,399.36,199.55,11.09,69.78,287.02,15.95,79.33
20260530,20260526,j2,2026,大分,大分,1.0,1.007,47.9,18.2,9.9,11.6,52.9147,14.2,40.1,13.7,47.5,31.1,60.0,14.0,44.3,14.0,50.9,27.3,62.5,6.8,47.3,0.94,11.61,7.0,53.0,1.0,11.56,7.0,29.42,1.63,6.02,49.14,2.73,9.61,1.287,0.94,-0.347,7.0,-0.007,7.0,118.05,6.56,22.21,6.85,0.38,1.62,116.7,(32位),11.6,(23位),10.0,116.3,(5位),(16位),18.25,1.01,5.25,208.8,11.6,49.26,1480.52,82.25,397.77,250.19,13.9,67.54,256.47,14.25,60.53
20260530,20260526,j2,2026,いわき,いわき,1.0,1.018,65.8,16.9,8.0,10.4,48.2793,13.1,62.7,15.4,56.8,30.3,64.1,13.1,62.1,11.8,38.9,32.6,37.7,3.8,59.5,1.22,15.61,3.0,49.7,1.0,10.44,3.0,39.05,2.17,10.09,57.22,3.18,11.21,1.714,1.22,-0.494,3.0,-0.018,3.0,161.8,8.99,40.06,3.96,0.22,1.76,127.9,(11位),15.6,(4位),12.2,129.9,(36位),(8位),20.91,1.16,7.32,175.27,9.74,47.23,1655.27,91.96,409.83,239.72,13.32,62.46,235.23,13.07,64.64
20260530,20260526,j2,2026,今治,今治,1.0,1.028,50.5,14.6,8.7,10.8,48.244,12.8,48.9,22.4,65.7,28.4,45.4,9.1,45.1,7.4,44.0,13.6,48.7,6.6,49.3,0.78,11.89,9.0,51.3,1.0,10.83,9.0,33.39,1.85,12.94,43.55,2.42,15.89,1.168,0.78,-0.388,9.0,-0.028,9.0,131.72,7.32,38.17,4.99,0.28,1.0,128.4,(9位),11.9,(21位),9.3,124.7,(25位),(12位),19.04,1.06,4.73,178.57,9.92,46.89,1584.97,88.05,435.29,260.63,14.48,74.93,231.0,12.83,64.56
20260530,20260526,j2,2026,新潟,新潟,0.83,1.04,49.4,13.2,10.3,12.4,48.8042,11.8,62.7,16.3,46.7,34.6,41.1,12.7,55.3,11.7,51.7,25.3,51.3,8.8,48.8,1.17,10.28,2.0,52.8,0.83,12.39,2.0,21.8,1.21,10.11,57.15,3.18,21.13,0.976,1.17,0.194,2.0,-0.21,2.0,118.74,6.6,51.79,8.35,0.46,1.1,119.3,(29位),10.3,(33位),8.6,120.4,(14位),(21位),18.22,1.01,5.57,171.88,9.55,51.31,1593.65,88.54,446.59,245.88,13.66,63.1,211.9,11.77,66.99
20260530,20260526,j2,2026,富山,富山,1.28,1.094,52.5,22.3,9.8,12.0,53.7096,19.4,59.8,18.0,61.0,45.4,53.6,17.6,73.7,17.8,66.4,36.8,54.9,11.9,57.2,2.0,18.56,1.0,49.8,1.28,12.0,1.0,34.02,1.89,9.0,108.49,6.03,19.37,1.803,2.0,0.197,1.0,0.186,1.0,221.59,12.31,67.51,7.47,0.41,2.51,130.1,(5位),18.6,(1位),14.3,122.6,(21位),(18位),35.09,1.95,10.92,279.24,15.51,84.17,1678.52,93.25,428.49,242.18,13.45,63.68,348.36,19.35,104.08
