snapshot_date,asof_date,league,season,team_name,team_key,flab_expected_against_goals,flab_expected_against_xg,flab_chance_allowed_shot_conversion,flab_chance_allowed_build_rate,flab_possession_rate,flab_possession_attack_cbp,flab_agi_score,flab_agi_goals,flab_agi_shots,flab_agi_rank,flab_kagi_score,flab_kagi_goals_against,flab_kagi_shots_against,flab_kagi_rank,flab_cbp_cross_points,flab_cbp_cross_per_game,flab_cbp_cross_last5,flab_cbp_goal_points,flab_cbp_goal_per_game,flab_cbp_goal_last5,flab_expected_for_xg,flab_expected_for_goals,flab_expected_for_diff,flab_expected_for_rank,flab_expected_against_diff,flab_expected_against_rank,flab_cbp_shot_points,flab_cbp_shot_per_game,flab_cbp_shot_last5,flab_cbp_save_points,flab_cbp_save_per_game,flab_cbp_save_last5,flab_chance_attack_count,flab_chance_shots,flab_chance_build_rate,flab_chance_goals,flab_chance_shot_conversion,flab_chance_allowed_attack_count,flab_chance_allowed_shots,flab_chance_allowed_goals,flab_cbp_dribble_points,flab_cbp_dribble_per_game,flab_cbp_dribble_last5,flab_cbp_pass_points,flab_cbp_pass_per_game,flab_cbp_pass_last5,flab_cbp_gain_points,flab_cbp_gain_per_game,flab_cbp_gain_last5,flab_cbp_defense_points,flab_cbp_defense_per_game,flab_cbp_defense_last5,flab_cbp_attack_points,flab_cbp_attack_per_game,flab_cbp_attack_last5
20260918,20260915,j2,2026,仙台,仙台,1.0,0.81,7.3,8.3,46.7063,13.0,50.9,1.67,15.67,3.0,63.4,1.0,8.33,3.0,9.46,1.58,7.54,31.48,5.25,31.48,1.652,1.67,0.018,3.0,0.19,3.0,59.13,9.86,56.44,0.84,0.14,0.7,118.5,(9位),15.7,(7位),13.2,114.3,(6位),(1位),5.53,0.92,4.9,62.85,10.48,47.56,533.02,88.84,448.5,77.98,13.0,65.39,77.84,12.97,60.01
20260918,20260915,j2,2026,磐田,磐田,1.17,0.937,9.0,10.8,52.8099,15.5,58.0,1.33,15.17,9.0,56.1,1.17,10.83,9.0,8.26,1.38,7.18,20.22,3.37,16.99,1.815,1.33,-0.485,9.0,0.233,9.0,42.16,7.03,36.93,1.1,0.18,0.9,124.3,(3位),15.2,(8位),12.2,120.0,(13位),(2位),6.71,1.12,6.22,77.82,12.97,69.31,537.58,89.6,457.28,73.66,12.28,56.75,92.79,15.47,82.71
20260918,20260915,j2,2026,鳥栖,鳥栖,1.0,1.004,10.4,11.2,51.2152,15.4,51.4,1.17,16.17,12.0,52.0,1.0,11.17,12.0,7.28,1.21,7.28,17.76,2.96,14.03,1.662,1.17,-0.492,12.0,-0.004,12.0,54.88,9.15,47.07,1.78,0.3,1.41,106.8,(19位),16.2,(5位),15.1,107.7,(3位),(3位),8.16,1.36,7.83,77.27,12.88,68.73,464.39,77.4,431.82,84.94,14.16,62.81,92.7,15.45,83.84
20260918,20260915,j2,2026,大宮,大宮,0.83,1.02,9.1,11.3,54.0649,17.3,57.3,1.67,16.83,1.0,49.3,0.83,11.33,1.0,12.22,2.04,9.6,26.29,4.38,22.43,1.557,1.67,0.113,1.0,-0.19,1.0,61.14,10.19,53.19,1.83,0.3,1.48,121.8,(6位),16.8,(3位),13.8,124.0,(17位),(4位),12.75,2.12,10.59,78.91,13.15,65.26,480.38,80.06,389.79,79.74,13.29,62.89,103.88,17.31,85.45
20260918,20260915,j2,2026,藤枝,藤枝,1.17,1.105,11.2,13.0,49.6249,12.4,47.6,1.5,10.0,8.0,47.6,1.17,13.0,8.0,7.32,1.22,6.72,20.73,3.46,16.84,1.114,1.5,0.386,8.0,0.065,8.0,35.5,5.92,30.85,4.93,0.82,2.62,116.5,(13位),10.0,(18位),8.6,116.3,(10位),(7位),7.78,1.3,5.73,59.37,9.9,52.27,434.12,72.35,351.64,103.15,17.19,81.77,74.47,12.41,64.73
20260918,20260915,j2,2026,富山,富山,0.83,1.116,10.0,12.2,55.2106,24.8,62.9,1.67,22.0,6.0,53.8,0.83,12.17,6.0,17.22,2.87,16.2,31.27,5.21,31.27,1.824,1.67,-0.154,6.0,-0.286,6.0,87.75,14.62,81.76,2.35,0.39,2.16,125.2,(1位),22.0,(1位),17.6,121.2,(15位),(6位),13.1,2.18,12.0,118.57,19.76,99.98,605.83,100.97,521.45,68.7,11.45,60.36,148.89,24.82,128.18
20260918,20260915,j2,2026,大分,大分,0.67,1.119,11.7,13.5,49.0344,13.1,43.5,0.83,10.5,17.0,51.9,0.67,13.5,17.0,8.16,1.36,6.01,12.41,2.07,12.41,1.07,0.83,-0.24,17.0,-0.449,17.0,33.78,5.63,30.0,2.41,0.4,1.6,116.0,(15位),10.5,(16位),9.1,115.3,(7位),(9位),3.88,0.65,3.39,66.53,11.09,56.59,507.41,84.57,440.24,87.9,14.65,77.1,78.57,13.1,65.98
20260918,20260915,j2,2026,宮崎,宮崎,1.67,1.125,11.3,13.7,52.2716,13.3,49.2,1.0,12.5,13.0,48.1,1.67,13.67,13.0,10.09,1.68,9.15,24.4,4.07,24.4,1.032,1.0,-0.032,13.0,0.545,13.0,41.5,6.92,37.68,1.7,0.28,1.53,118.8,(8位),12.5,(11位),10.5,120.7,(14位),(10位),10.6,1.77,9.31,58.81,9.8,48.86,511.98,85.33,418.43,86.76,14.46,72.01,79.51,13.25,67.32
20260918,20260915,j2,2026,山形,山形,0.67,1.154,14.2,14.7,53.2573,17.5,53.9,1.33,16.67,10.0,52.5,0.67,14.67,10.0,12.84,2.14,11.21,22.04,3.67,17.75,1.493,1.33,-0.163,10.0,-0.484,10.0,65.44,10.91,54.91,1.89,0.32,1.22,104.5,(20位),16.7,(4位),16.0,103.3,(1位),(14位),9.29,1.55,6.39,83.08,13.85,66.64,383.78,63.96,305.6,66.49,11.08,57.05,105.2,17.53,84.23
20260918,20260915,j2,2026,横浜FC,横浜FC,1.17,1.23,12.5,13.7,57.0996,18.7,54.0,1.83,17.0,7.0,47.9,1.17,13.67,7.0,13.64,2.27,12.04,25.92,4.32,24.63,1.791,1.83,0.039,7.0,-0.06,7.0,66.85,11.14,53.36,2.08,0.35,1.89,117.7,(11位),17.0,(2位),14.5,109.0,(4位),(10位),8.05,1.34,6.07,90.38,15.06,77.94,472.94,78.82,389.84,74.47,12.41,60.43,112.06,18.68,96.04
