match_id,datetime,stadium,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at
j1_2026_03181900_福岡_清水,2026-03-18 19:00:00,ベススタ,,,,,,2026-02-13T00:03:17
j1_2026_03181900_神戸_Ｇ大阪,2026-03-18 19:00:00,ノエスタ,,,,,,2026-02-13T00:03:17
j1_2026_03181900_名古屋_広島,2026-03-18 19:00:00,豊田ス,,,,,,2026-02-13T00:03:17
j1_2026_03181900_長崎_京都,2026-03-18 19:00:00,ピースタ,,,,,,2026-02-13T00:03:17
j1_2026_03181900_東京Ｖ_川崎Ｆ,2026-03-18 19:00:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_03181900_千葉_FC東京,2026-03-18 19:00:00,フクアリ,,,,,,2026-02-13T00:03:17
j1_2026_03181900_水戸_横浜FM,2026-03-18 19:00:00,Ｋｓスタ,,,,,,2026-02-13T00:03:17
j1_2026_03181930_浦和_柏,2026-03-18 19:30:00,埼玉,,,,,,2026-02-13T00:03:17
j1_2026_03181930_町田_鹿島,2026-03-18 19:30:00,MUFG国立,,,,,,2026-02-13T00:03:17
j1_2026_03211400_岡山_長崎,2026-03-21 14:00:00,ＪＦＥス,,,,,,2026-02-13T00:03:17
j1_2026_03211430_福岡_Ｇ大阪,2026-03-21 14:30:00,ベススタ,,,,,,2026-02-13T00:03:17
j1_2026_03221300_清水_広島,2026-03-22 13:00:00,アイスタ,,,,,,2026-02-13T00:03:17
j1_2026_03221400_京都_名古屋,2026-03-22 14:00:00,サンガＳ,,,,,,2026-02-13T00:03:17
j1_2026_03221400_東京Ｖ_FC東京,2026-03-22 14:00:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_03221500_鹿島_千葉,2026-03-22 15:00:00,メルスタ,,,,,,2026-02-13T00:03:17
j1_2026_03221500_川崎Ｆ_横浜FM,2026-03-22 15:00:00,MUFG国立,,,,,,2026-02-13T00:03:17
j1_2026_03221500_Ｃ大阪_神戸,2026-03-22 15:00:00,ヨドコウ,,,,,,2026-02-13T00:03:17
j1_2026_03221600_浦和_町田,2026-03-22 16:00:00,埼玉,,,,,,2026-02-13T00:03:17
j1_2026_03221600_柏_水戸,2026-03-22 16:00:00,三協Ｆ柏,,,,,,2026-02-13T00:03:17
j1_2026_03271900_神戸_広島,2026-03-27 19:00:00,ノエスタ,,,,,,2026-02-13T00:03:17
j1_2026_04041300_千葉_東京Ｖ,2026-04-04 13:00:00,フクアリ,,,,,,2026-02-13T00:03:17
j1_2026_04041400_水戸_鹿島,2026-04-04 14:00:00,Ｋｓスタ,,,,,,2026-02-13T00:03:17
j1_2026_04041500_名古屋_Ｃ大阪,2026-04-04 15:00:00,豊田ス,,,,,,2026-02-13T00:03:17
j1_2026_04041600_Ｇ大阪_京都,2026-04-04 16:00:00,パナスタ,,,,,,2026-02-13T00:03:17
j1_2026_04051300_長崎_清水,2026-04-05 13:00:00,ピースタ,,,,,,2026-02-13T00:03:17
j1_2026_04051400_柏_横浜FM,2026-04-05 14:00:00,三協Ｆ柏,,,,,,2026-02-13T00:03:17
j1_2026_04051400_岡山_神戸,2026-04-05 14:00:00,ＪＦＥス,,,,,,2026-02-13T00:03:17
j1_2026_04051400_広島_福岡,2026-04-05 14:00:00,Ｅピース,,,,,,2026-02-13T00:03:17
j1_2026_04051500_FC東京_町田,2026-04-05 15:00:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_04051600_川崎Ｆ_浦和,2026-04-05 16:00:00,Ｕ等々力,,,,,,2026-02-13T00:03:17
j1_2026_04111300_千葉_水戸,2026-04-11 13:00:00,フクアリ,,,,,,2026-02-13T00:03:17
j1_2026_04111400_町田_柏,2026-04-11 14:00:00,Ｇスタ,,,,,,2026-02-13T00:03:17
j1_2026_04111400_広島_清水,2026-04-11 14:00:00,Ｅピース,,,,,,2026-02-13T00:03:17
j1_2026_04111400_福岡_長崎,2026-04-11 14:00:00,ベススタ,,,,,,2026-02-13T00:03:17
j1_2026_04111500_横浜FM_FC東京,2026-04-11 15:00:00,日産ス,,,,,,2026-02-13T00:03:17
j1_2026_04111500_神戸_名古屋,2026-04-11 15:00:00,ノエスタ,,,,,,2026-02-13T00:03:17
j1_2026_04111600_京都_岡山,2026-04-11 16:00:00,サンガＳ,,,,,,2026-02-13T00:03:17
j1_2026_04111600_Ｇ大阪_Ｃ大阪,2026-04-11 16:00:00,パナスタ,,,,,,2026-02-13T00:03:17
j1_2026_04121400_浦和_東京Ｖ,2026-04-12 14:00:00,埼玉,,,,,,2026-02-13T00:03:17
j1_2026_04121600_川崎Ｆ_鹿島,2026-04-12 16:00:00,Ｕ等々力,,,,,,2026-02-13T00:03:17
j1_2026_04181300_横浜FM_川崎Ｆ,2026-04-18 13:00:00,日産ス,,,,,,2026-02-13T00:03:17
