順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ベガルタ仙台,35,14,13,9,4,1,1,0,27,10,+17,,2026,最新節,20260505
2,湘南ベルマーレ,28,14,10,7,3,4,3,1,23,13,+10,,2026,最新節,20260505
3,ブラウブリッツ秋田,28,14,9,9,0,5,4,1,19,12,+7,,2026,最新節,20260505
4,ＳＣ相模原,21,14,7,5,2,7,5,2,24,23,+1,,2026,最新節,20260505
5,モンテディオ山形,19,14,7,5,2,7,7,0,14,16,-2,,2026,最新節,20260505
6,横浜ＦＣ,18,14,6,5,1,8,7,1,27,25,+2,,2026,最新節,20260505
7,ザスパ群馬,16,14,5,4,1,9,7,2,16,30,-14,,2026,最新節,20260505
8,栃木ＳＣ,15,14,4,4,0,10,7,3,22,25,-3,,2026,最新節,20260505
9,ヴァンラーレ八戸,15,14,4,4,0,10,7,3,13,16,-3,,2026,最新節,20260505
10,栃木シティ,15,14,5,4,1,9,8,1,15,30,-15,,2026,最新節,20260505
1,ヴァンフォーレ甲府,29,14,10,9,1,4,4,0,17,9,+8,,2026,最新節,20260505
2,いわきＦＣ,28,14,10,7,3,4,3,1,19,13,+6,,2026,最新節,20260505
3,ＲＢ大宮アルディージャ,24,14,8,7,1,6,5,1,29,20,+9,,2026,最新節,20260505
4,ＦＣ岐阜,24,14,8,7,1,6,5,1,19,17,+2,,2026,最新節,20260505
5,藤枝ＭＹＦＣ,23,14,7,5,2,7,3,4,17,16,+1,,2026,最新節,20260505
6,北海道コンサドーレ札幌,22,14,8,6,2,6,6,0,17,18,-1,,2026,最新節,20260505
7,松本山雅ＦＣ,19,14,6,5,1,8,6,2,24,17,+7,,2026,最新節,20260505
8,ジュビロ磐田,19,14,7,3,4,7,5,2,11,15,-4,,2026,最新節,20260505
9,福島ユナイテッドＦＣ,11,14,3,3,0,11,9,2,20,32,-12,,2026,最新節,20260505
10,ＡＣ長野パルセイロ,11,14,3,2,1,11,8,3,11,27,-16,,2026,最新節,20260505
1,カターレ富山,33,14,12,9,3,2,2,0,31,16,+15,,2026,最新節,20260505
2,徳島ヴォルティス,28,14,9,9,0,5,4,1,32,16,+16,,2026,最新節,20260505
3,高知ユナイテッドＳＣ,27,14,9,7,2,5,3,2,20,17,+3,,2026,最新節,20260505
4,アルビレックス新潟,25,14,9,6,3,5,4,1,15,14,+1,,2026,最新節,20260505
5,愛媛ＦＣ,22,14,7,6,1,7,5,2,21,14,+7,,2026,最新節,20260505
6,ツエーゲン金沢,20,14,7,4,3,7,5,2,11,17,-6,,2026,最新節,20260505
7,奈良クラブ,15,14,5,3,2,9,7,2,16,27,-11,,2026,最新節,20260505
8,ＦＣ大阪,14,14,4,2,2,10,6,4,8,12,-4,,2026,最新節,20260505
9,ＦＣ今治,13,14,4,3,1,10,8,2,9,14,-5,,2026,最新節,20260505
10,カマタマーレ讃岐,13,14,4,4,0,10,9,1,9,25,-16,,2026,最新節,20260505
1,テゲバジャーロ宮崎,37,14,12,12,0,2,1,1,29,8,+21,,2026,最新節,20260505
2,鹿児島ユナイテッドＦＣ,27,14,10,6,4,4,3,1,16,11,+5,,2026,最新節,20260505
3,サガン鳥栖,24,14,8,6,2,6,4,2,16,11,+5,,2026,最新節,20260505
4,レノファ山口ＦＣ,23,14,8,6,2,6,5,1,18,18,+0,,2026,最新節,20260505
5,ロアッソ熊本,22,14,7,7,0,7,6,1,16,15,+1,,2026,最新節,20260505
6,大分トリニータ,18,14,6,5,1,8,7,1,16,15,+1,,2026,最新節,20260505
7,ガイナーレ鳥取,17,13,6,4,2,7,6,1,13,16,-3,,2026,最新節,20260505
8,ギラヴァンツ北九州,14,14,4,4,0,10,8,2,14,23,-9,,2026,最新節,20260505
9,レイラック滋賀ＦＣ,13,13,4,4,0,9,8,1,8,19,-11,,2026,最新節,20260505
10,ＦＣ琉球,12,14,4,1,3,10,7,3,9,19,-10,,2026,最新節,20260505
