順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ベガルタ仙台,35,13,13,9,4,0,0,0,26,7,+19,,2026,最新節,20260501
2,湘南ベルマーレ,28,13,10,7,3,3,2,1,22,11,+11,,2026,最新節,20260501
3,ブラウブリッツ秋田,25,13,8,8,0,5,4,1,16,11,+5,,2026,最新節,20260501
4,ＳＣ相模原,19,13,6,5,1,7,5,2,21,20,+1,,2026,最新節,20260501
5,横浜ＦＣ,17,13,6,5,1,7,7,0,24,22,+2,,2026,最新節,20260501
6,モンテディオ山形,17,13,6,5,1,7,7,0,12,14,-2,,2026,最新節,20260501
7,ヴァンラーレ八戸,15,13,4,4,0,9,6,3,13,15,-2,,2026,最新節,20260501
8,栃木ＳＣ,14,13,4,4,0,9,7,2,20,23,-3,,2026,最新節,20260501
9,ザスパ群馬,13,13,4,3,1,9,7,2,15,30,-15,,2026,最新節,20260501
10,栃木シティ,12,13,4,3,1,9,8,1,13,29,-16,,2026,最新節,20260501
1,ヴァンフォーレ甲府,26,13,9,8,1,4,4,0,16,9,+7,,2026,最新節,20260501
2,いわきＦＣ,26,13,9,7,2,4,3,1,18,12,+6,,2026,最新節,20260501
3,ＦＣ岐阜,24,13,8,7,1,5,4,1,19,14,+5,,2026,最新節,20260501
4,藤枝ＭＹＦＣ,22,13,7,5,2,6,3,3,17,16,+1,,2026,最新節,20260501
5,ＲＢ大宮アルディージャ,21,13,7,6,1,6,5,1,27,19,+8,,2026,最新節,20260501
6,松本山雅ＦＣ,19,13,6,5,1,7,5,2,24,16,+8,,2026,最新節,20260501
7,北海道コンサドーレ札幌,19,13,7,5,2,6,6,0,14,18,-4,,2026,最新節,20260501
8,ジュビロ磐田,18,13,7,3,4,6,5,1,10,14,-4,,2026,最新節,20260501
9,福島ユナイテッドＦＣ,11,13,3,3,0,10,8,2,19,30,-11,,2026,最新節,20260501
10,ＡＣ長野パルセイロ,9,13,2,2,0,11,8,3,11,27,-16,,2026,最新節,20260501
1,カターレ富山,30,13,11,8,3,2,2,0,30,16,+14,,2026,最新節,20260501
2,徳島ヴォルティス,28,13,9,9,0,4,3,1,32,10,+22,,2026,最新節,20260501
3,高知ユナイテッドＳＣ,25,13,8,7,1,5,3,2,20,17,+3,,2026,最新節,20260501
4,アルビレックス新潟,22,13,8,5,3,5,4,1,13,13,+0,,2026,最新節,20260501
5,ツエーゲン金沢,20,13,7,4,3,6,4,2,11,16,-5,,2026,最新節,20260501
6,愛媛ＦＣ,19,13,6,5,1,7,5,2,15,14,+1,,2026,最新節,20260501
7,ＦＣ大阪,13,13,4,2,2,9,6,3,8,12,-4,,2026,最新節,20260501
7,ＦＣ今治,13,13,4,3,1,9,7,2,8,12,-4,,2026,最新節,20260501
9,カマタマーレ讃岐,13,13,4,4,0,9,8,1,8,23,-15,,2026,最新節,20260501
10,奈良クラブ,12,13,4,2,2,9,7,2,14,26,-12,,2026,最新節,20260501
1,テゲバジャーロ宮崎,36,13,12,12,0,1,1,0,28,7,+21,,2026,最新節,20260501
2,鹿児島ユナイテッドＦＣ,25,13,9,6,3,4,3,1,15,10,+5,,2026,最新節,20260501
3,レノファ山口ＦＣ,23,13,8,6,2,5,4,1,17,14,+3,,2026,最新節,20260501
4,サガン鳥栖,22,13,7,6,1,6,4,2,15,10,+5,,2026,最新節,20260501
5,ロアッソ熊本,19,13,6,6,0,7,6,1,14,15,-1,,2026,最新節,20260501
6,大分トリニータ,18,13,6,5,1,7,6,1,15,13,+2,,2026,最新節,20260501
7,ガイナーレ鳥取,14,12,5,3,2,7,6,1,9,15,-6,,2026,最新節,20260501
8,レイラック滋賀ＦＣ,13,12,4,4,0,8,7,1,8,17,-9,,2026,最新節,20260501
9,ギラヴァンツ北九州,11,13,3,3,0,10,8,2,12,22,-10,,2026,最新節,20260501
10,ＦＣ琉球,11,13,4,1,3,9,7,2,8,18,-10,,2026,最新節,20260501
