順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ベガルタ仙台,13,5,5,3,2,0,0,0,8,3,+5,,2026,最新節,20260314
2,ブラウブリッツ秋田,12,5,4,4,0,1,1,0,8,5,+3,,2026,最新節,20260314
3,湘南ベルマーレ,10,5,3,3,0,2,1,1,10,4,+6,,2026,最新節,20260314
4,ＳＣ相模原,9,5,3,3,0,2,2,0,12,7,+5,,2026,最新節,20260314
5,モンテディオ山形,8,5,3,2,1,2,2,0,6,6,+0,,2026,最新節,20260314
6,ザスパ群馬,6,5,2,1,1,3,2,1,5,10,-5,,2026,最新節,20260314
7,ヴァンラーレ八戸,5,4,1,1,0,3,1,2,2,2,+0,,2026,最新節,20260314
8,横浜ＦＣ,5,5,2,1,1,3,3,0,7,9,-2,,2026,最新節,20260314
9,栃木ＳＣ,3,4,1,1,0,3,3,0,6,8,-2,,2026,最新節,20260314
10,栃木シティ,1,5,0,0,0,5,4,1,4,14,-10,,2026,最新節,20260314
1,ヴァンフォーレ甲府,14,5,5,4,1,0,0,0,9,2,+7,,2026,最新節,20260314
2,ＲＢ大宮アルディージャ,13,5,4,4,0,1,0,1,14,5,+9,,2026,最新節,20260314
3,ＦＣ岐阜,11,5,4,3,1,1,1,0,6,3,+3,,2026,最新節,20260314
4,いわきＦＣ,9,5,3,2,1,2,1,1,6,4,+2,,2026,最新節,20260314
5,藤枝ＭＹＦＣ,9,5,3,2,1,2,1,1,6,5,+1,,2026,最新節,20260314
6,松本山雅ＦＣ,6,5,2,2,0,3,3,0,6,6,+0,,2026,最新節,20260314
7,ジュビロ磐田,5,5,2,0,2,3,2,1,3,5,-2,,2026,最新節,20260314
8,福島ユナイテッドＦＣ,4,5,1,1,0,4,3,1,6,15,-9,,2026,最新節,20260314
9,ＡＣ長野パルセイロ,2,5,0,0,0,5,3,2,4,9,-5,,2026,最新節,20260314
10,北海道コンサドーレ札幌,2,5,1,0,1,4,4,0,4,10,-6,,2026,最新節,20260314
1,徳島ヴォルティス,12,5,4,4,0,1,1,0,16,3,+13,,2026,最新節,20260314
2,高知ユナイテッドＳＣ,12,5,4,3,1,1,0,1,12,7,+5,,2026,最新節,20260314
3,カターレ富山,10,5,4,2,2,1,1,0,11,7,+4,,2026,最新節,20260314
4,アルビレックス新潟,10,5,3,3,0,2,1,1,8,6,+2,,2026,最新節,20260314
5,ＦＣ大阪,6,5,2,1,1,3,2,1,4,5,-1,,2026,最新節,20260314
6,ツエーゲン金沢,6,5,2,1,1,3,2,1,5,9,-4,,2026,最新節,20260314
7,カマタマーレ讃岐,6,5,2,2,0,3,3,0,3,9,-6,,2026,最新節,20260314
8,ＦＣ今治,5,5,2,1,1,3,3,0,2,4,-2,,2026,最新節,20260314
9,愛媛ＦＣ,4,5,1,0,1,4,2,2,6,8,-2,,2026,最新節,20260314
10,奈良クラブ,4,5,1,1,0,4,3,1,3,12,-9,,2026,最新節,20260314
1,テゲバジャーロ宮崎,15,5,5,5,0,0,0,0,13,6,+7,,2026,最新節,20260314
2,大分トリニータ,11,5,4,3,1,1,1,0,7,3,+4,,2026,最新節,20260314
3,ロアッソ熊本,10,5,3,3,0,2,1,1,10,5,+5,,2026,最新節,20260314
4,鹿児島ユナイテッドＦＣ,10,5,3,3,0,2,1,1,7,4,+3,,2026,最新節,20260314
5,レノファ山口ＦＣ,7,5,2,2,0,3,2,1,5,4,+1,,2026,最新節,20260314
6,レイラック滋賀ＦＣ,7,5,2,2,0,3,2,1,4,5,-1,,2026,最新節,20260314
7,ガイナーレ鳥取,7,5,3,1,2,2,2,0,4,6,-2,,2026,最新節,20260314
8,ＦＣ琉球,5,5,2,0,2,3,2,1,3,7,-4,,2026,最新節,20260314
9,サガン鳥栖,3,5,1,0,1,4,3,1,4,8,-4,,2026,最新節,20260314
10,ギラヴァンツ北九州,0,5,0,0,0,5,5,0,5,14,-9,,2026,最新節,20260314
