節,match_id,datetime,stadium,home_team,away_team,home_score,away_score
第１節第１日,j2_2025_02151403_鳥栖_仙台,2025-02-15 14:03:00,駅スタ,鳥栖,仙台,0,1
第１節第１日,j2_2025_02151403_甲府_山口,2025-02-15 14:03:00,ＪＩＴス,甲府,山口,1,0
第１節第１日,j2_2025_02151403_いわき_千葉,2025-02-15 14:03:00,ハワスタ,いわき,千葉,0,2
第１節第１日,j2_2025_02151403_藤枝_徳島,2025-02-15 14:03:00,藤枝サ,藤枝,徳島,0,2
第１節第１日,j2_2025_02151403_大宮_山形,2025-02-15 14:03:00,ＮＡＣＫ,大宮,山形,2,1
第１節第１日,j2_2025_02151404_磐田_水戸,2025-02-15 14:04:00,ヤマハ,磐田,水戸,3,2
第１節第１日,j2_2025_02151903_長崎_熊本,2025-02-15 19:03:00,ピースタ,長崎,熊本,3,2
第１節第２日,j2_2025_02161253_愛媛_富山,2025-02-16 12:53:00,ニンスタ,愛媛,富山,0,1
第１節第２日,j2_2025_02161313_今治_秋田,2025-02-16 13:13:00,アシさと,今治,秋田,0,1
第１節第２日,j2_2025_02161403_大分_札幌,2025-02-16 14:03:00,クラド,大分,札幌,2,0
第２節第１日,j2_2025_02221403_大宮_甲府,2025-02-22 14:03:00,ＮＡＣＫ,大宮,甲府,1,0
第２節第１日,j2_2025_02221403_千葉_富山,2025-02-22 14:03:00,フクアリ,千葉,富山,2,0
第２節第１日,j2_2025_02221403_磐田_鳥栖,2025-02-22 14:03:00,ヤマハ,磐田,鳥栖,1,0
第２節第２日,j2_2025_02231303_山口_長崎,2025-02-23 13:03:00,みらスタ,山口,長崎,2,2
第２節第２日,j2_2025_02231303_熊本_札幌,2025-02-23 13:03:00,えがおＳ,熊本,札幌,3,0
第２節第２日,j2_2025_02231400_徳島_仙台,2025-02-23 14:00:00,鳴門大塚,徳島,仙台,1,0
第２節第２日,j2_2025_02231403_今治_藤枝,2025-02-23 14:03:00,アシさと,今治,藤枝,0,0
第２節第２日,j2_2025_02231403_大分_いわき,2025-02-23 14:03:00,クラド,大分,いわき,0,0
第２節第２日,j2_2025_02231403_水戸_山形,2025-02-23 14:03:00,Ｋｓスタ,水戸,山形,1,0
第２節第２日,j2_2025_02231503_愛媛_秋田,2025-02-23 15:03:00,ニンスタ,愛媛,秋田,1,2
第３節第１日,j2_2025_03011303_仙台_大分,2025-03-01 13:03:00,Ｑスタ,仙台,大分,2,0
第３節第１日,j2_2025_03011403_千葉_山形,2025-03-01 14:03:00,フクアリ,千葉,山形,3,2
第３節第１日,j2_2025_03011403_藤枝_秋田,2025-03-01 14:03:00,藤枝サ,藤枝,秋田,2,1
第３節第１日,j2_2025_03011403_長崎_磐田,2025-03-01 14:03:00,ピースタ,長崎,磐田,1,0
第３節第１日,j2_2025_03011403_鳥栖_今治,2025-03-01 14:03:00,駅スタ,鳥栖,今治,1,4
第３節第２日,j2_2025_03021303_熊本_大宮,2025-03-02 13:03:00,えがおＳ,熊本,大宮,0,4
第３節第２日,j2_2025_03021403_いわき_徳島,2025-03-02 14:03:00,ハワスタ,いわき,徳島,1,1
第３節第２日,j2_2025_03021403_水戸_愛媛,2025-03-02 14:03:00,Ｋｓスタ,水戸,愛媛,1,1
第３節第２日,j2_2025_03021403_山口_札幌,2025-03-02 14:03:00,みらスタ,山口,札幌,2,0
第３節第２日,j2_2025_03021403_富山_甲府,2025-03-02 14:03:00,富山,富山,甲府,2,0
第４節第１日,j2_2025_03081304_仙台_長崎,2025-03-08 13:04:00,Ｑスタ,仙台,長崎,1,1
第４節第１日,j2_2025_03081403_大宮_山口,2025-03-08 14:03:00,ＮＡＣＫ,大宮,山口,2,1
第４節第１日,j2_2025_03081813_愛媛_今治,2025-03-08 18:13:00,ニンスタ,愛媛,今治,2,3
第４節第２日,j2_2025_03091308_札幌_千葉,2025-03-09 13:08:00,プレド,札幌,千葉,1,3
第４節第２日,j2_2025_03091403_大分_水戸,2025-03-09 14:03:00,クラド,大分,水戸,0,0
第４節第２日,j2_2025_03091403_いわき_鳥栖,2025-03-09 14:03:00,ハワスタ,いわき,鳥栖,1,1
第４節第２日,j2_2025_03091403_富山_磐田,2025-03-09 14:03:00,富山,富山,磐田,3,1
第４節第２日,j2_2025_03091403_徳島_熊本,2025-03-09 14:03:00,鳴門大塚,徳島,熊本,0,0
第４節第２日,j2_2025_03091403_山形_秋田,2025-03-09 14:03:00,ＮＤスタ,山形,秋田,4,2
第４節第２日,j2_2025_03091404_甲府_藤枝,2025-03-09 14:04:00,ＪＩＴス,甲府,藤枝,3,3
第５節第１日,j2_2025_03151303_秋田_札幌,2025-03-15 13:03:00,ソユスタ,秋田,札幌,1,3
第５節第１日,j2_2025_03151403_磐田_甲府,2025-03-15 14:03:00,エコパ,磐田,甲府,2,1
第５節第１日,j2_2025_03151403_鳥栖_大宮,2025-03-15 14:03:00,駅スタ,鳥栖,大宮,1,0
第５節第１日,j2_2025_03151404_藤枝_いわき,2025-03-15 14:04:00,藤枝サ,藤枝,いわき,2,0
第５節第１日,j2_2025_03151603_長崎_徳島,2025-03-15 16:03:00,ピースタ,長崎,徳島,1,0
第５節第２日,j2_2025_03161303_熊本_山形,2025-03-16 13:03:00,えがおＳ,熊本,山形,1,3
第５節第２日,j2_2025_03161403_水戸_仙台,2025-03-16 14:03:00,Ｋｓスタ,水戸,仙台,2,2
第５節第２日,j2_2025_03161403_山口_大分,2025-03-16 14:03:00,みらスタ,山口,大分,1,1
第５節第２日,j2_2025_03161403_今治_富山,2025-03-16 14:03:00,アシさと,今治,富山,0,0
第５節第２日,j2_2025_03161403_千葉_愛媛,2025-03-16 14:03:00,フクアリ,千葉,愛媛,5,1
第６節第１日,j2_2025_03231303_仙台_磐田,2025-03-23 13:03:00,Ｑスタ,仙台,磐田,2,3
第６節第１日,j2_2025_03231318_山口_熊本,2025-03-23 13:18:00,みらスタ,山口,熊本,0,1
第６節第１日,j2_2025_03231400_愛媛_札幌,2025-03-23 14:00:00,ニンスタ,愛媛,札幌,1,2
第６節第１日,j2_2025_03231403_鳥栖_富山,2025-03-23 14:03:00,駅スタ,鳥栖,富山,1,0
第６節第１日,j2_2025_03231403_山形_徳島,2025-03-23 14:03:00,ＮＤスタ,山形,徳島,0,0
第６節第１日,j2_2025_03231403_大分_藤枝,2025-03-23 14:03:00,クラド,大分,藤枝,1,1
第６節第１日,j2_2025_03231403_いわき_今治,2025-03-23 14:03:00,ハワスタ,いわき,今治,0,1
第６節第１日,j2_2025_03231403_甲府_千葉,2025-03-23 14:03:00,ＪＩＴス,甲府,千葉,1,2
第６節第１日,j2_2025_03231403_長崎_秋田,2025-03-23 14:03:00,ピースタ,長崎,秋田,5,1
第６節第１日,j2_2025_03231404_大宮_水戸,2025-03-23 14:04:00,ＮＡＣＫ,大宮,水戸,2,0
第７節第１日,j2_2025_03291403_札幌_甲府,2025-03-29 14:03:00,プレド,札幌,甲府,0,1
第７節第２日,j2_2025_03301303_熊本_鳥栖,2025-03-30 13:03:00,えがおＳ,熊本,鳥栖,3,1
第７節第２日,j2_2025_03301403_富山_仙台,2025-03-30 14:03:00,富山,富山,仙台,0,1
第７節第２日,j2_2025_03301403_水戸_いわき,2025-03-30 14:03:00,Ｋｓスタ,水戸,いわき,4,1
第７節第２日,j2_2025_03301403_藤枝_長崎,2025-03-30 14:03:00,藤枝サ,藤枝,長崎,3,2
第７節第２日,j2_2025_03301403_今治_山形,2025-03-30 14:03:00,アシさと,今治,山形,2,2
