順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,鹿島アントラーズ,32,12,10,10,0,2,0,2,20,5,+15,,2026,最新節,20260428
2,ＦＣ東京,26,12,9,6,3,3,1,2,21,10,+11,,2026,最新節,20260428
3,ＦＣ町田ゼルビア,22,11,8,5,3,3,2,1,14,15,-1,,2026,最新節,20260428
4,川崎フロンターレ,20,12,7,5,2,5,4,1,18,20,-2,,2026,最新節,20260428
5,東京ヴェルディ,18,11,7,4,3,4,4,0,14,15,-1,,2026,最新節,20260428
6,水戸ホーリーホック,15,12,5,2,3,7,4,3,14,21,-7,,2026,最新節,20260428
7,浦和レッズ,12,12,3,3,0,9,6,3,16,16,+0,,2026,最新節,20260428
8,横浜Ｆ・マリノス,12,12,4,4,0,8,8,0,17,22,-5,,2026,最新節,20260428
9,柏レイソル,11,12,4,3,1,8,8,0,14,17,-3,,2026,最新節,20260428
10,ジェフユナイテッド千葉,9,12,2,2,0,10,7,3,11,18,-7,,2026,最新節,20260428
1,ヴィッセル神戸,25,11,8,7,1,3,1,2,22,10,+12,,2026,最新節,20260428
2,名古屋グランパス,21,12,7,5,2,5,3,2,20,15,+5,,2026,最新節,20260428
3,ガンバ大阪,21,13,8,3,5,5,3,2,17,17,+0,,2026,最新節,20260428
4,サンフレッチェ広島,19,12,7,5,2,5,5,0,17,15,+2,,2026,最新節,20260428
5,京都サンガF.C.,17,11,6,4,2,5,4,1,15,14,+1,,2026,最新節,20260428
6,清水エスパルス,17,12,5,3,2,7,3,4,13,12,+1,,2026,最新節,20260428
7,セレッソ大阪,17,12,6,4,2,6,5,1,12,12,+0,,2026,最新節,20260428
8,ファジアーノ岡山,15,12,4,3,1,8,4,4,14,19,-5,,2026,最新節,20260428
9,アビスパ福岡,15,13,5,3,2,8,6,2,12,21,-9,,2026,最新節,20260428
10,Ｖ・ファーレン長崎,13,12,4,4,0,8,7,1,11,18,-7,,2026,最新節,20260428
