順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,鹿島アントラーズ,10,4,3,3,0,1,0,1,7,3,+4,,2026,最新節,20260307
2,ＦＣ町田ゼルビア,9,4,3,2,1,1,0,1,9,7,+2,,2026,最新節,20260307
3,東京ヴェルディ,8,4,3,2,1,1,1,0,9,7,+2,,2026,最新節,20260307
4,浦和レッズ,7,4,2,2,0,2,1,1,7,4,+3,,2026,最新節,20260307
5,川崎フロンターレ,7,4,3,1,2,1,1,0,8,7,+1,,2026,最新節,20260307
6,ＦＣ東京,7,4,3,1,2,1,1,0,4,5,-1,,2026,最新節,20260307
7,水戸ホーリーホック,4,4,1,0,1,3,1,2,6,8,-2,,2026,最新節,20260307
8,柏レイソル,3,4,1,1,0,3,3,0,6,9,-3,,2026,最新節,20260307
9,横浜Ｆ・マリノス,3,4,1,1,0,3,3,0,5,8,-3,,2026,最新節,20260307
10,ジェフユナイテッド千葉,2,4,0,0,0,4,2,2,2,5,-3,,2026,最新節,20260307
1,京都サンガF.C.,9,4,3,2,1,1,0,1,6,3,+3,,2026,最新節,20260307
2,サンフレッチェ広島,8,4,3,2,1,1,1,0,7,5,+2,,2026,最新節,20260307
3,ヴィッセル神戸,8,4,3,2,1,1,1,0,5,3,+2,,2026,最新節,20260307
4,ガンバ大阪,8,4,3,1,2,1,0,1,4,3,+1,,2026,最新節,20260307
5,Ｖ・ファーレン長崎,6,4,2,2,0,2,2,0,5,6,-1,,2026,最新節,20260307
6,名古屋グランパス,6,4,2,1,1,2,1,1,3,4,-1,,2026,最新節,20260307
7,清水エスパルス,5,4,1,1,0,3,1,2,4,4,+0,,2026,最新節,20260307
8,セレッソ大阪,4,4,1,1,0,3,2,1,3,3,+0,,2026,最新節,20260307
9,ファジアーノ岡山,4,4,1,0,1,3,1,2,4,5,-1,,2026,最新節,20260307
10,アビスパ福岡,2,4,1,0,1,3,3,0,2,7,-5,,2026,最新節,20260307
