節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result,prob_home_win_adj,prob_draw_adj,prob_away_win_adj
第３節第１日,j1_2025_02261903_町田_東京Ｖ,2025-02-26 19:03:00,町田,東京Ｖ,0,1,0.7368,True,0.395,0.394,0.211,H,A,False,H,0.4082624,0.4006312,0.19110639999999998
第４節第１日,j1_2025_03011304_横浜FM_湘南,2025-03-01 13:04:00,横浜FM,湘南,1,1,0.7895,True,0.313,0.399,0.288,H,D,False,H,0.32721100000000003,0.40610550000000006,0.2666835
第４節第１日,j1_2025_03011403_鹿島_FC東京,2025-03-01 14:03:00,鹿島,FC東京,2,0,1.1053,True,0.293,0.419,0.289,H,H,True,H,0.31260269270729274,0.4285291185814186,0.2588681887112887
第４節第１日,j1_2025_03011503_川崎Ｆ_京都,2025-03-01 15:03:00,川崎Ｆ,京都,0,1,-0.2632,False,0.329,0.424,0.248,H,A,False,H,0.3239337286713287,0.4212076235764236,0.25485864775224776
第４節第１日,j1_2025_03011503_神戸_福岡,2025-03-01 15:03:00,神戸,福岡,0,1,0.7895,True,0.326,0.417,0.256,H,A,False,H,0.34053732632632633,0.4245229174174174,0.23493975625625627
第４節第２日,j1_2025_03021403_東京Ｖ_Ｇ大阪,2025-03-02 14:03:00,東京Ｖ,Ｇ大阪,0,1,0.3685,True,0.241,0.4,0.359,A,A,True,A,0.247633,0.4033165,0.3490505
第４節第２日,j1_2025_03021403_名古屋_町田,2025-03-02 14:03:00,名古屋,町田,1,2,-0.0526,False,0.295,0.419,0.286,H,A,False,H,0.2940532,0.4185266000000001,0.2874202
第４節第２日,j1_2025_03021403_岡山_清水,2025-03-02 14:03:00,岡山,清水,1,1,0.3158,True,0.265,0.412,0.323,A,D,False,A,0.2706844,0.4148422,0.3144734
第４節第２日,j1_2025_03021403_新潟_Ｃ大阪,2025-03-02 14:03:00,新潟,Ｃ大阪,2,2,-0.3684,False,0.251,0.417,0.332,A,D,False,A,0.2443688,0.4136844,0.3419468
第４節第２日,j1_2025_03021431_広島_横浜FC,2025-03-02 14:31:00,広島,横浜FC,1,0,1.1053,True,0.407,0.404,0.188,H,H,True,H,0.42730280740740734,0.41435210440440434,0.1583450881881882
第４節第２日,j1_2025_03021503_浦和_柏,2025-03-02 15:03:00,浦和,柏,0,2,0.421,True,0.282,0.419,0.299,A,A,True,A,0.28957799999999995,0.42278899999999997,0.28763299999999997
第５節第１日,j1_2025_03081403_浦和_岡山,2025-03-08 14:03:00,浦和,岡山,1,0,1.1579,True,0.328,0.407,0.266,H,H,True,H,0.34851452767232766,0.4170145065934065,0.23447096573426573
第５節第１日,j1_2025_03081408_新潟_東京Ｖ,2025-03-08 14:08:00,新潟,東京Ｖ,2,2,-0.0526,False,0.368,0.388,0.244,H,D,False,H,0.3670532,0.38752660000000005,0.24542020000000003
第５節第１日,j1_2025_03081503_Ｇ大阪_清水,2025-03-08 15:03:00,Ｇ大阪,清水,1,0,0.9474,True,0.287,0.423,0.29,A,H,False,A,0.30405319999999997,0.4315266,0.2644202
第５節第１日,j1_2025_03081603_横浜FC_町田,2025-03-08 16:03:00,横浜FC,町田,0,2,-0.421,False,0.257,0.405,0.338,A,A,True,A,0.249422,0.40121100000000004,0.34936700000000004
第５節第１日,j1_2025_03081603_柏_鹿島,2025-03-08 16:03:00,柏,鹿島,1,3,0.4211,True,0.325,0.418,0.257,H,A,False,H,0.33257980000000004,0.4217899,0.2456303
第５節第１日,j1_2025_03081603_FC東京_湘南,2025-03-08 16:03:00,FC東京,湘南,0,0,0.8948,True,0.344,0.407,0.249,H,D,False,H,0.36010640000000005,0.4150532,0.22484040000000002
第５節第１日,j1_2025_03081603_Ｃ大阪_名古屋,2025-03-08 16:03:00,Ｃ大阪,名古屋,1,1,0.8421,True,0.337,0.422,0.241,H,D,False,H,0.3521578,0.4295789,0.2182633
第５節第２日,j1_2025_03091403_京都_福岡,2025-03-09 14:03:00,京都,福岡,0,1,0.6842,True,0.323,0.417,0.261,H,A,False,H,0.3349929226773227,0.4227412165834166,0.2422658607392608
第５節第３日,j1_2025_04091903_川崎Ｆ_横浜FM,2025-04-09 19:03:00,川崎Ｆ,横浜FM,3,3,0.6842,True,0.368,0.412,0.22,H,D,False,H,0.3803156,0.41815779999999997,0.2015266
第５節第４日,j1_2025_07021903_神戸_広島,2025-07-02 19:03:00,神戸,広島,1,0,0.0526,True,0.256,0.43,0.313,A,H,False,A,0.2572030562562563,0.4309038304304304,0.3118931133133133
第６節第１日,j1_2025_03151403_東京Ｖ_名古屋,2025-03-15 14:03:00,東京Ｖ,名古屋,2,1,0.6843,True,0.257,0.398,0.345,A,H,False,A,0.2693174,0.40415870000000004,0.3265239
第６節第１日,j1_2025_03151403_横浜FC_Ｃ大阪,2025-03-15 14:03:00,横浜FC,Ｃ大阪,2,0,0.0,False,0.232,0.409,0.359,A,H,False,A,0.232,0.409,0.359
第６節第１日,j1_2025_03151403_福岡_FC東京,2025-03-15 14:03:00,福岡,FC東京,1,0,0.3158,True,0.282,0.418,0.3,A,H,False,A,0.2876844,0.42084220000000006,0.29147340000000005
第６節第１日,j1_2025_03151403_町田_新潟,2025-03-15 14:03:00,町田,新潟,1,0,1.1052,True,0.35,0.409,0.241,H,H,True,H,0.36989360000000004,0.4189468,0.21115960000000003
