順位,チーム,勝点,試合,勝,分,負,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date,competition_key,preseason
1,ＲＢ大宮アルディージャ,9,3,3,0,0,8,3,5,W W W,2026,最新節,20260829,regular_2026_27,0
2,湘南ベルマーレ,7,3,2,1,0,2,0,2,W W D,2026,最新節,20260829,regular_2026_27,0
3,カターレ富山,6,3,2,0,1,8,2,6,L W W,2026,最新節,20260829,regular_2026_27,0
4,栃木シティ,6,3,2,0,1,8,3,5,L W W,2026,最新節,20260829,regular_2026_27,0
5,藤枝ＭＹＦＣ,6,3,2,0,1,5,2,3,W W L,2026,最新節,20260829,regular_2026_27,0
6,モンテディオ山形,6,3,2,0,1,4,1,3,W L W,2026,最新節,20260829,regular_2026_27,0
7,横浜ＦＣ,6,3,2,0,1,4,3,1,W W L,2026,最新節,20260829,regular_2026_27,0
8,アルビレックス新潟,6,3,2,0,1,3,2,1,L W W,2026,最新節,20260829,regular_2026_27,0
9,大分トリニータ,4,3,1,1,1,4,2,2,L D W,2026,最新節,20260829,regular_2026_27,0
10,サガン鳥栖,4,3,1,1,1,3,3,0,W D L,2026,最新節,20260829,regular_2026_27,0
11,ベガルタ仙台,4,3,1,1,1,2,2,0,L D W,2026,最新節,20260829,regular_2026_27,0
12,ブラウブリッツ秋田,4,3,1,1,1,4,5,-1,D L W,2026,最新節,20260829,regular_2026_27,0
12,ジュビロ磐田,4,3,1,1,1,4,5,-1,D L W,2026,最新節,20260829,regular_2026_27,0
14,北海道コンサドーレ札幌,3,3,1,0,2,4,6,-2,W L L,2026,最新節,20260829,regular_2026_27,0
15,いわきＦＣ,3,3,1,0,2,4,8,-4,W L L,2026,最新節,20260829,regular_2026_27,0
16,ヴァンラーレ八戸,3,3,1,0,2,2,7,-5,W L L,2026,最新節,20260829,regular_2026_27,0
17,テゲバジャーロ宮崎,2,3,0,2,1,1,2,-1,L D D,2026,最新節,20260829,regular_2026_27,0
18,徳島ヴォルティス,1,3,0,1,2,1,4,-3,L D L,2026,最新節,20260829,regular_2026_27,0
19,ヴァンフォーレ甲府,1,3,0,1,2,1,6,-5,L D L,2026,最新節,20260829,regular_2026_27,0
20,ＦＣ今治,0,3,0,0,3,3,9,-6,L L L,2026,最新節,20260829,regular_2026_27,0
