順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ベガルタ仙台,9,3,3,3,0,0,0,0,7,2,+5,,2026,最新節,20260227
2,ブラウブリッツ秋田,9,3,3,3,0,0,0,0,5,2,+3,,2026,最新節,20260227
3,モンテディオ山形,8,3,3,2,1,0,0,0,5,3,+2,,2026,最新節,20260227
4,湘南ベルマーレ,6,3,2,2,0,1,1,0,6,2,+4,,2026,最新節,20260227
5,横浜ＦＣ,3,3,1,1,0,2,2,0,6,4,+2,,2026,最新節,20260227
6,ヴァンラーレ八戸,3,2,1,1,0,1,1,0,1,1,+0,,2026,最新節,20260227
7,ザスパ群馬,1,2,0,0,0,2,1,1,1,2,-1,,2026,最新節,20260227
8,栃木ＳＣ,0,2,0,0,0,2,2,0,2,4,-2,,2026,最新節,20260227
9,ＳＣ相模原,0,2,0,0,0,2,2,0,1,6,-5,,2026,最新節,20260227
10,栃木シティ,0,3,0,0,0,3,3,0,2,10,-8,,2026,最新節,20260227
1,ＲＢ大宮アルディージャ,9,3,3,3,0,0,0,0,11,3,+8,,2026,最新節,20260227
2,ヴァンフォーレ甲府,8,3,3,2,1,0,0,0,7,2,+5,,2026,最新節,20260227
3,ＦＣ岐阜,8,3,3,2,1,0,0,0,4,1,+3,,2026,最新節,20260227
4,いわきＦＣ,7,3,2,2,0,1,0,1,4,1,+3,,2026,最新節,20260227
5,藤枝ＭＹＦＣ,4,3,1,1,0,2,1,1,3,3,+0,,2026,最新節,20260227
6,松本山雅ＦＣ,3,3,1,1,0,2,2,0,3,5,-2,,2026,最新節,20260227
7,北海道コンサドーレ札幌,2,3,1,0,1,2,2,0,3,5,-2,,2026,最新節,20260227
8,ジュビロ磐田,2,3,1,0,1,2,2,0,2,4,-2,,2026,最新節,20260227
9,ＡＣ長野パルセイロ,2,3,0,0,0,3,1,2,1,3,-2,,2026,最新節,20260227
10,福島ユナイテッドＦＣ,0,3,0,0,0,3,3,0,2,13,-11,,2026,最新節,20260227
1,高知ユナイテッドＳＣ,7,3,2,2,0,1,0,1,8,5,+3,,2026,最新節,20260227
2,徳島ヴォルティス,6,3,2,2,0,1,1,0,11,3,+8,,2026,最新節,20260227
3,カターレ富山,6,3,2,2,0,1,1,0,9,5,+4,,2026,最新節,20260227
4,アルビレックス新潟,6,3,2,2,0,1,1,0,4,4,+0,,2026,最新節,20260227
5,ＦＣ今治,5,3,2,1,1,1,1,0,2,1,+1,,2026,最新節,20260227
6,奈良クラブ,4,3,1,1,0,2,1,1,3,8,-5,,2026,最新節,20260227
7,ツエーゲン金沢,3,3,1,0,1,2,1,1,4,5,-1,,2026,最新節,20260227
7,愛媛ＦＣ,3,3,1,0,1,2,1,1,4,5,-1,,2026,最新節,20260227
9,カマタマーレ讃岐,3,3,1,1,0,2,2,0,2,8,-6,,2026,最新節,20260227
10,ＦＣ大阪,2,3,1,0,1,2,2,0,2,5,-3,,2026,最新節,20260227
1,大分トリニータ,9,3,3,3,0,0,0,0,6,0,+6,,2026,最新節,20260227
2,テゲバジャーロ宮崎,9,3,3,3,0,0,0,0,8,4,+4,,2026,最新節,20260227
3,ロアッソ熊本,7,3,2,2,0,1,0,1,7,3,+4,,2026,最新節,20260227
4,鹿児島ユナイテッドＦＣ,6,3,2,2,0,1,1,0,6,4,+2,,2026,最新節,20260227
5,ＦＣ琉球,4,3,2,0,2,1,1,0,3,5,-2,,2026,最新節,20260227
6,サガン鳥栖,3,3,1,0,1,2,1,1,4,5,-1,,2026,最新節,20260227
7,レノファ山口ＦＣ,3,3,1,1,0,2,2,0,3,4,-1,,2026,最新節,20260227
8,ガイナーレ鳥取,3,3,1,1,0,2,2,0,4,6,-2,,2026,最新節,20260227
9,レイラック滋賀ＦＣ,1,3,0,0,0,3,2,1,1,4,-3,,2026,最新節,20260227
10,ギラヴァンツ北九州,0,3,0,0,0,3,3,0,2,9,-7,,2026,最新節,20260227
