順位,チーム,勝点,試合,勝,分,負,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date,competition_key,preseason
1,ＦＣ町田ゼルビア 町田,16,6,5,1,0,18,5,13,W W D W W,2026,最新節,20260912,regular_2026_27,0
2,ヴィッセル神戸 神戸,16,7,5,1,1,11,5,6,L W W W W,2026,最新節,20260912,regular_2026_27,0
3,柏レイソル 柏,15,7,5,0,2,13,10,3,W W L L W,2026,最新節,20260912,regular_2026_27,0
4,鹿島アントラーズ 鹿島,12,7,4,0,3,14,13,1,W W L L L,2026,最新節,20260912,regular_2026_27,0
5,サンフレッチェ広島 広島,11,6,3,2,1,13,5,8,W D D W L,2026,最新節,20260912,regular_2026_27,0
6,ＦＣ東京 FC東京,11,6,3,2,1,11,8,3,D W W D W,2026,最新節,20260912,regular_2026_27,0
7,横浜Ｆ・マリノス 横浜FM,10,6,3,1,2,10,8,2,W W L D W,2026,最新節,20260912,regular_2026_27,0
8,ファジアーノ岡山 岡山,10,6,3,1,2,8,7,1,W D L W W,2026,最新節,20260912,regular_2026_27,0
9,セレッソ大阪 Ｃ大阪,10,6,3,1,2,5,5,0,L W L W D,2026,最新節,20260912,regular_2026_27,0
10,川崎フロンターレ 川崎Ｆ,9,6,2,3,1,12,9,3,D D W L W,2026,最新節,20260912,regular_2026_27,0
11,水戸ホーリーホック 水戸,9,6,2,3,1,11,8,3,D W D W D,2026,最新節,20260912,regular_2026_27,0
12,浦和レッズ 浦和,9,6,3,0,3,12,15,-3,L L W W W,2026,最新節,20260912,regular_2026_27,0
13,ガンバ大阪 Ｇ大阪,6,6,1,3,2,8,11,-3,D L D D L,2026,最新節,20260912,regular_2026_27,0
14,名古屋グランパス 名古屋,6,6,2,0,4,7,11,-4,L W W L L,2026,最新節,20260912,regular_2026_27,0
15,京都サンガF.C. 京都,5,7,1,2,4,9,14,-5,L W D L L,2026,最新節,20260912,regular_2026_27,0
16,アビスパ福岡 福岡,4,6,1,1,4,9,10,-1,W L L L D,2026,最新節,20260912,regular_2026_27,0
17,清水エスパルス 清水,4,6,1,1,4,3,7,-4,L L L D L,2026,最新節,20260912,regular_2026_27,0
18,Ｖ・ファーレン長崎 長崎,4,6,1,1,4,7,14,-7,L L L D L,2026,最新節,20260912,regular_2026_27,0
19,東京ヴェルディ 東京Ｖ,3,6,0,3,3,2,8,-6,L D L L D,2026,最新節,20260912,regular_2026_27,0
20,ジェフユナイテッド千葉 千葉,3,6,1,0,5,5,15,-10,L L L L W,2026,最新節,20260912,regular_2026_27,0
