順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,鹿島アントラーズ,42,17,14,12,2,3,1,2,28,9,+19,,2026,最新節,20260523
2,ＦＣ東京,37,17,13,9,4,4,2,2,28,15,+13,,2026,最新節,20260523
3,ＦＣ町田ゼルビア,37,18,13,8,5,5,2,3,23,19,+4,,2026,最新節,20260523
4,東京ヴェルディ,28,17,10,7,3,7,6,1,19,19,+0,,2026,最新節,20260523
5,浦和レッズ,25,18,7,7,0,11,7,4,25,18,+7,,2026,最新節,20260523
6,川崎フロンターレ,25,17,9,6,3,8,7,1,20,26,-6,,2026,最新節,20260523
7,水戸ホーリーホック,18,17,6,2,4,11,7,4,18,32,-14,,2026,最新節,20260523
8,柏レイソル,17,17,6,5,1,11,11,0,17,22,-5,,2026,最新節,20260523
9,横浜Ｆ・マリノス,17,17,5,5,0,12,10,2,22,29,-7,,2026,最新節,20260523
10,ジェフユナイテッド千葉,12,17,3,3,0,14,11,3,16,27,-11,,2026,最新節,20260523
1,ヴィッセル神戸,32,17,10,8,2,7,3,4,26,21,+5,,2026,最新節,20260523
2,名古屋グランパス,31,17,10,8,2,7,4,3,29,24,+5,,2026,最新節,20260523
3,セレッソ大阪,28,17,10,6,4,7,5,2,23,17,+6,,2026,最新節,20260523
4,サンフレッチェ広島,27,17,9,7,2,8,6,2,25,19,+6,,2026,最新節,20260523
5,ファジアーノ岡山,26,17,8,6,2,9,5,4,22,22,+0,,2026,最新節,20260523
6,ガンバ大阪,25,17,9,4,5,8,5,3,24,21,+3,,2026,最新節,20260523
7,清水エスパルス,24,17,8,4,4,9,5,4,18,19,-1,,2026,最新節,20260523
8,Ｖ・ファーレン長崎,21,17,7,6,1,10,9,1,20,27,-7,,2026,最新節,20260523
9,アビスパ福岡,21,17,7,3,4,10,6,4,17,26,-9,,2026,最新節,20260523
10,京都サンガF.C.,20,17,7,4,3,10,8,2,18,26,-8,,2026,最新節,20260523
