順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,鹿島アントラーズ,13,5,4,4,0,1,0,1,9,3,+6,,2026,最新節,20260312
2,浦和レッズ,10,5,3,3,0,2,1,1,9,4,+5,,2026,最新節,20260312
3,ＦＣ東京,10,5,4,2,2,1,1,0,7,5,+2,,2026,最新節,20260312
4,ＦＣ町田ゼルビア,9,4,3,2,1,1,0,1,9,7,+2,,2026,最新節,20260312
5,東京ヴェルディ,8,5,3,2,1,2,2,0,9,9,+0,,2026,最新節,20260312
6,川崎フロンターレ,7,4,3,1,2,1,1,0,8,7,+1,,2026,最新節,20260312
7,ジェフユナイテッド千葉,5,5,1,1,0,4,2,2,4,6,-2,,2026,最新節,20260312
8,水戸ホーリーホック,4,5,1,0,1,4,2,2,6,10,-4,,2026,最新節,20260312
9,柏レイソル,3,5,1,1,0,4,4,0,7,11,-4,,2026,最新節,20260312
10,横浜Ｆ・マリノス,3,5,1,1,0,4,4,0,5,11,-6,,2026,最新節,20260312
1,ガンバ大阪,11,5,4,2,2,1,0,1,7,5,+2,,2026,最新節,20260312
2,名古屋グランパス,9,5,3,2,1,2,1,1,8,5,+3,,2026,最新節,20260312
3,京都サンガF.C.,9,5,3,2,1,2,1,1,6,4,+2,,2026,最新節,20260312
4,サンフレッチェ広島,8,4,3,2,1,1,1,0,7,5,+2,,2026,最新節,20260312
5,ヴィッセル神戸,8,4,3,2,1,1,1,0,5,3,+2,,2026,最新節,20260312
6,ファジアーノ岡山,7,5,2,1,1,3,1,2,5,5,+0,,2026,最新節,20260312
7,清水エスパルス,6,5,1,1,0,4,1,3,4,4,+0,,2026,最新節,20260312
8,セレッソ大阪,6,5,2,1,1,3,2,1,3,3,+0,,2026,最新節,20260312
9,Ｖ・ファーレン長崎,6,5,2,2,0,3,3,0,7,9,-2,,2026,最新節,20260312
10,アビスパ福岡,2,5,1,0,1,4,4,0,3,12,-9,,2026,最新節,20260312
