順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,鹿島アントラーズ,39,16,13,11,2,3,1,2,26,9,+17,,2026,最新節,20260516
2,ＦＣ東京,35,16,12,9,3,4,2,2,28,15,+13,,2026,最新節,20260516
3,ＦＣ町田ゼルビア,33,16,12,7,5,4,2,2,21,18,+3,,2026,最新節,20260516
4,東京ヴェルディ,25,16,9,6,3,7,6,1,18,19,-1,,2026,最新節,20260516
5,浦和レッズ,24,16,7,7,0,9,6,3,25,17,+8,,2026,最新節,20260516
6,川崎フロンターレ,23,16,8,6,2,8,7,1,19,25,-6,,2026,最新節,20260516
7,水戸ホーリーホック,18,16,6,2,4,10,6,4,18,31,-13,,2026,最新節,20260516
8,横浜Ｆ・マリノス,17,16,5,5,0,11,9,2,22,28,-6,,2026,最新節,20260516
9,柏レイソル,14,16,5,4,1,11,11,0,16,22,-6,,2026,最新節,20260516
10,ジェフユナイテッド千葉,12,16,3,3,0,13,10,3,16,25,-9,,2026,最新節,20260516
1,名古屋グランパス,31,16,10,8,2,6,3,3,28,18,+10,,2026,最新節,20260516
2,ヴィッセル神戸,31,16,10,8,2,6,3,3,24,19,+5,,2026,最新節,20260516
3,ガンバ大阪,25,17,9,4,5,8,5,3,24,21,+3,,2026,最新節,20260516
4,セレッソ大阪,25,16,9,5,4,7,5,2,17,16,+1,,2026,最新節,20260516
5,サンフレッチェ広島,24,16,8,6,2,8,6,2,21,19,+2,,2026,最新節,20260516
6,清水エスパルス,24,16,8,4,4,8,4,4,18,17,+1,,2026,最新節,20260516
7,ファジアーノ岡山,23,16,7,5,2,9,5,4,20,22,-2,,2026,最新節,20260516
8,アビスパ福岡,21,17,7,3,4,10,6,4,17,26,-9,,2026,最新節,20260516
9,京都サンガF.C.,20,16,7,4,3,9,7,2,18,22,-4,,2026,最新節,20260516
10,Ｖ・ファーレン長崎,19,16,6,6,0,10,9,1,18,25,-7,,2026,最新節,20260516
