順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,鹿島アントラーズ,37,15,12,11,1,3,1,2,25,8,+17,,2026,最新節,20260508
2,ＦＣ東京,32,15,11,8,3,4,2,2,26,14,+12,,2026,最新節,20260508
3,ＦＣ町田ゼルビア,28,14,10,6,4,4,2,2,19,18,+1,,2026,最新節,20260508
4,東京ヴェルディ,24,14,9,6,3,5,5,0,17,17,+0,,2026,最新節,20260508
5,川崎フロンターレ,23,15,8,6,2,7,6,1,19,24,-5,,2026,最新節,20260508
6,浦和レッズ,21,15,6,6,0,9,6,3,21,16,+5,,2026,最新節,20260508
7,水戸ホーリーホック,18,15,6,2,4,9,5,4,17,27,-10,,2026,最新節,20260508
8,横浜Ｆ・マリノス,16,15,5,5,0,10,9,1,21,27,-6,,2026,最新節,20260508
9,ジェフユナイテッド千葉,12,15,3,3,0,12,9,3,16,23,-7,,2026,最新節,20260508
10,柏レイソル,11,15,4,3,1,11,11,0,15,22,-7,,2026,最新節,20260508
1,名古屋グランパス,28,15,9,7,2,6,3,3,25,18,+7,,2026,最新節,20260508
2,ヴィッセル神戸,28,14,9,7,2,5,2,3,23,16,+7,,2026,最新節,20260508
3,ガンバ大阪,25,16,9,4,5,7,4,3,24,20,+4,,2026,最新節,20260508
4,清水エスパルス,22,15,7,4,3,8,4,4,17,16,+1,,2026,最新節,20260508
5,セレッソ大阪,22,15,8,4,4,7,5,2,14,14,+0,,2026,最新節,20260508
6,サンフレッチェ広島,21,15,7,5,2,8,6,2,20,19,+1,,2026,最新節,20260508
7,京都サンガF.C.,20,14,7,4,3,7,5,2,18,18,+0,,2026,最新節,20260508
8,ファジアーノ岡山,20,15,6,4,2,9,5,4,17,22,-5,,2026,最新節,20260508
9,アビスパ福岡,20,16,7,3,4,9,6,3,16,25,-9,,2026,最新節,20260508
10,Ｖ・ファーレン長崎,19,15,6,6,0,9,8,1,16,22,-6,,2026,最新節,20260508
