順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,川崎フロンターレ,3,1,1,1,0,0,0,0,5,3,+2,,2026,最新節,20260214
2,東京ヴェルディ,3,1,1,1,0,0,0,0,3,1,+2,,2026,最新節,20260214
3,浦和レッズ,3,1,1,1,0,0,0,0,2,0,+2,,2026,最新節,20260214
4,ＦＣ町田ゼルビア,3,1,1,1,0,0,0,0,3,2,+1,,2026,最新節,20260214
5,ＦＣ東京,2,1,1,0,1,0,0,0,1,1,+0,,2026,最新節,20260214
6,鹿島アントラーズ,1,1,0,0,0,1,0,1,1,1,+0,,2026,最新節,20260214
7,横浜Ｆ・マリノス,0,1,0,0,0,1,1,0,2,3,-1,,2026,最新節,20260214
8,柏レイソル,0,1,0,0,0,1,1,0,3,5,-2,,2026,最新節,20260214
9,水戸ホーリーホック,0,1,0,0,0,1,1,0,1,3,-2,,2026,最新節,20260214
10,ジェフユナイテッド千葉,0,1,0,0,0,1,1,0,0,2,-2,,2026,最新節,20260214
