順位,チーム,勝点,試合,勝,分,負,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date,competition_key,preseason
1,ＲＢ大宮アルディージャ 大宮,11,5,3,2,0,10,5,5,W W W D D,2026,最新節,20260912,regular_2026_27,0
2,横浜ＦＣ 横浜FC,10,5,3,1,1,11,5,6,W W L D W,2026,最新節,20260912,regular_2026_27,0
3,ベガルタ仙台 仙台,10,5,3,1,1,9,5,4,L D W W W,2026,最新節,20260912,regular_2026_27,0
4,藤枝ＭＹＦＣ 藤枝,10,5,3,1,1,8,4,4,W W L W D,2026,最新節,20260912,regular_2026_27,0
5,栃木シティ 栃木Ｃ,9,5,3,0,2,13,7,6,L W W L W,2026,最新節,20260912,regular_2026_27,0
6,カターレ富山 富山,9,5,3,0,2,11,5,6,L W W L W,2026,最新節,20260912,regular_2026_27,0
7,モンテディオ山形 山形,9,5,3,0,2,8,3,5,W L W W L,2026,最新節,20260912,regular_2026_27,0
8,アルビレックス新潟 新潟,9,5,3,0,2,6,9,-3,L W W W L,2026,最新節,20260912,regular_2026_27,0
9,サガン鳥栖 鳥栖,8,5,2,2,1,7,5,2,W D L D W,2026,最新節,20260912,regular_2026_27,0
10,湘南ベルマーレ 湘南,8,5,2,2,1,5,5,0,W W D D L,2026,最新節,20260912,regular_2026_27,0
11,ジュビロ磐田 磐田,7,5,2,1,2,7,7,0,D L W W L,2026,最新節,20260912,regular_2026_27,0
12,徳島ヴォルティス 徳島,7,5,2,1,2,3,4,-1,L D L W W,2026,最新節,20260912,regular_2026_27,0
13,ヴァンフォーレ甲府 甲府,7,5,2,1,2,5,8,-3,L D L W W,2026,最新節,20260912,regular_2026_27,0
14,ヴァンラーレ八戸 八戸,7,5,2,1,2,3,7,-4,W L L W D,2026,最新節,20260912,regular_2026_27,0
15,大分トリニータ 大分,5,5,1,2,2,5,4,1,L D W L D,2026,最新節,20260912,regular_2026_27,0
16,ブラウブリッツ秋田 秋田,5,5,1,2,2,4,6,-2,D L W L D,2026,最新節,20260912,regular_2026_27,0
17,北海道コンサドーレ札幌 札幌,3,5,1,0,4,6,12,-6,W L L L L,2026,最新節,20260912,regular_2026_27,0
17,いわきＦＣ いわき,3,5,1,0,4,6,12,-6,W L L L L,2026,最新節,20260912,regular_2026_27,0
19,テゲバジャーロ宮崎 宮崎,2,5,0,2,3,3,8,-5,L D D L L,2026,最新節,20260912,regular_2026_27,0
20,ＦＣ今治 今治,1,5,0,1,4,4,13,-9,L L L L D,2026,最新節,20260912,regular_2026_27,0
