順位,チーム,勝点,試合,勝,分,負,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date,competition_key,preseason
1,柏レイソル,9,3,3,0,0,9,4,5,W W,2026,最新節,20260821,regular_2026_27,0
2,ＦＣ町田ゼルビア,6,2,2,0,0,9,1,8,W W,2026,最新節,20260821,regular_2026_27,0
3,サンフレッチェ広島,6,2,2,0,0,7,1,6,W W,2026,最新節,20260821,regular_2026_27,0
4,鹿島アントラーズ,6,2,2,0,0,6,4,2,W W,2026,最新節,20260821,regular_2026_27,0
5,ガンバ大阪,4,2,1,1,0,5,4,1,W D,2026,最新節,20260821,regular_2026_27,0
6,ヴィッセル神戸,4,2,1,1,0,3,2,1,W D,2026,最新節,20260821,regular_2026_27,0
7,ＦＣ東京,4,3,1,1,1,5,7,-2,L D,2026,最新節,20260821,regular_2026_27,0
8,アビスパ福岡,3,2,1,0,1,3,1,2,L W,2026,最新節,20260821,regular_2026_27,0
9,横浜Ｆ・マリノス,3,2,1,0,1,4,4,0,L W,2026,最新節,20260821,regular_2026_27,0
10,ファジアーノ岡山,3,2,1,0,1,2,2,0,L W,2026,最新節,20260821,regular_2026_27,0
11,清水エスパルス,3,2,1,0,1,1,1,0,W L,2026,最新節,20260821,regular_2026_27,0
12,Ｖ・ファーレン長崎,3,3,1,0,2,4,6,-2,W L,2026,最新節,20260821,regular_2026_27,0
13,セレッソ大阪,3,2,1,0,1,2,4,-2,W L,2026,最新節,20260821,regular_2026_27,0
14,川崎フロンターレ,2,2,0,2,0,3,3,0,D D,2026,最新節,20260821,regular_2026_27,0
15,京都サンガF.C.,1,2,0,1,1,3,4,-1,L D,2026,最新節,20260821,regular_2026_27,0
16,水戸ホーリーホック,1,2,0,1,1,2,3,-1,L D,2026,最新節,20260821,regular_2026_27,0
17,東京ヴェルディ,1,2,0,1,1,2,4,-2,D L,2026,最新節,20260821,regular_2026_27,0
18,名古屋グランパス,0,2,0,0,2,1,3,-2,L L,2026,最新節,20260821,regular_2026_27,0
19,浦和レッズ,0,2,0,0,2,4,8,-4,L L,2026,最新節,20260821,regular_2026_27,0
20,ジェフユナイテッド千葉,0,3,0,0,3,0,9,-9,L L,2026,最新節,20260821,regular_2026_27,0
