team,elo
FC東京,1506.516325
京都,1569.194778
名古屋,1466.569197
岡山,1456.431611
川崎Ｆ,1512.489725
広島,1569.904759
新潟,1378.343339
東京Ｖ,1455.353007
柏,1604.708207
横浜FC,1428.425833
横浜FM,1486.768902
浦和,1527.933037
清水,1457.489036
湘南,1397.967318
町田,1529.748492
神戸,1546.461982
福岡,1482.74126
鹿島,1600.027464
Ｃ大阪,1499.256716
Ｇ大阪,1523.669012
