順位,チーム,勝点,試合,勝,分,負,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date,competition_key,preseason
1.0,鹿島アントラーズ,3,1,1,0,0,4,3,1,W,2026,最新節,20260808,regular_2026_27,0
1.0,ガンバ大阪,3,1,1,0,0,4,3,1,W,2026,最新節,20260808,regular_2026_27,0
3.0,浦和レッズ,0,1,0,0,1,3,4,-1,L,2026,最新節,20260808,regular_2026_27,0
3.0,横浜Ｆ・マリノス,0,1,0,0,1,3,4,-1,L,2026,最新節,20260808,regular_2026_27,0
,水戸ホーリーホック,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,ジェフユナイテッド千葉,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,柏レイソル,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,ＦＣ東京,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,東京ヴェルディ,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,ＦＣ町田ゼルビア,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,川崎フロンターレ,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,清水エスパルス,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,名古屋グランパス,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,京都サンガF.C.,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,セレッソ大阪,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,ヴィッセル神戸,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,ファジアーノ岡山,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,サンフレッチェ広島,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,アビスパ福岡,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
,Ｖ・ファーレン長崎,0,0,0,0,0,0,0,0,,2026,最新節,20260808,regular_2026_27,0
