順位,チーム,勝点,試合,勝,分,負,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date,competition_key,preseason
1,ＦＣ町田ゼルビア 町田,17,7,5,2,0,19,6,13,W D W W D,2026,最新節,20260918,regular_2026_27,0
2,ヴィッセル神戸 神戸,16,7,5,1,1,11,5,6,L W W W W,2026,最新節,20260918,regular_2026_27,0
3,柏レイソル 柏,15,7,5,0,2,13,10,3,W W L L W,2026,最新節,20260918,regular_2026_27,0
4,サンフレッチェ広島 広島,14,7,4,2,1,19,6,13,D D W L W,2026,最新節,20260918,regular_2026_27,0
5,ＦＣ東京 FC東京,14,7,4,2,1,13,8,5,W W D W W,2026,最新節,20260918,regular_2026_27,0
6,ファジアーノ岡山 岡山,13,7,4,1,2,10,8,2,D L W W W,2026,最新節,20260918,regular_2026_27,0
7,川崎フロンターレ 川崎Ｆ,12,7,3,3,1,13,9,4,D W L W W,2026,最新節,20260918,regular_2026_27,0
8,鹿島アントラーズ 鹿島,12,7,4,0,3,14,13,1,W W L L L,2026,最新節,20260918,regular_2026_27,0
9,横浜Ｆ・マリノス 横浜FM,11,7,3,2,2,11,9,2,W L D W D,2026,最新節,20260918,regular_2026_27,0
10,セレッソ大阪 Ｃ大阪,10,7,3,1,3,6,11,-5,W L W D L,2026,最新節,20260918,regular_2026_27,0
11,水戸ホーリーホック 水戸,9,7,2,3,2,11,9,2,W D W D L,2026,最新節,20260918,regular_2026_27,0
12,浦和レッズ 浦和,9,7,3,0,4,13,17,-4,L W W W L,2026,最新節,20260918,regular_2026_27,0
13,清水エスパルス 清水,7,7,2,1,4,4,7,-3,L L D L W,2026,最新節,20260918,regular_2026_27,0
14,Ｖ・ファーレン長崎 長崎,7,7,2,1,4,9,14,-5,L L D L W,2026,最新節,20260918,regular_2026_27,0
15,ガンバ大阪 Ｇ大阪,6,7,1,3,3,8,13,-5,L D D L L,2026,最新節,20260918,regular_2026_27,0
16,名古屋グランパス 名古屋,6,7,2,0,5,7,13,-6,W W L L L,2026,最新節,20260918,regular_2026_27,0
17,京都サンガF.C. 京都,5,7,1,2,4,9,14,-5,L W D L L,2026,最新節,20260918,regular_2026_27,0
18,アビスパ福岡 福岡,4,7,1,1,5,9,11,-2,L L L D L,2026,最新節,20260918,regular_2026_27,0
19,東京ヴェルディ 東京Ｖ,4,7,0,4,3,3,9,-6,D L L D D,2026,最新節,20260918,regular_2026_27,0
20,ジェフユナイテッド千葉 千葉,4,7,1,1,5,6,16,-10,L L L W D,2026,最新節,20260918,regular_2026_27,0
