順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,鹿島アントラーズ,32,13,10,10,0,3,1,2,21,7,+14,,2026,最新節,20260501
2,ＦＣ東京,29,13,10,7,3,3,1,2,24,11,+13,,2026,最新節,20260501
3,ＦＣ町田ゼルビア,24,12,9,5,4,3,2,1,16,17,-1,,2026,最新節,20260501
4,東京ヴェルディ,21,12,8,5,3,4,4,0,16,16,+0,,2026,最新節,20260501
5,川崎フロンターレ,20,13,7,5,2,6,5,1,18,22,-4,,2026,最新節,20260501
6,水戸ホーリーホック,16,13,5,2,3,8,4,4,16,23,-7,,2026,最新節,20260501
7,浦和レッズ,15,13,4,4,0,9,6,3,18,16,+2,,2026,最新節,20260501
8,横浜Ｆ・マリノス,15,13,5,5,0,8,8,0,20,24,-4,,2026,最新節,20260501
9,柏レイソル,11,13,4,3,1,9,9,0,15,20,-5,,2026,最新節,20260501
10,ジェフユナイテッド千葉,9,13,2,2,0,11,8,3,13,21,-8,,2026,最新節,20260501
1,ヴィッセル神戸,26,12,8,7,1,4,1,3,22,10,+12,,2026,最新節,20260501
2,名古屋グランパス,22,13,7,5,2,6,3,3,21,16,+5,,2026,最新節,20260501
3,ガンバ大阪,22,14,8,3,5,6,3,3,18,18,+0,,2026,最新節,20260501
4,サンフレッチェ広島,20,13,7,5,2,6,5,1,19,17,+2,,2026,最新節,20260501
5,京都サンガF.C.,19,12,7,4,3,5,4,1,16,15,+1,,2026,最新節,20260501
6,セレッソ大阪,19,13,7,4,3,6,5,1,12,12,+0,,2026,最新節,20260501
7,清水エスパルス,17,13,5,3,2,8,4,4,14,14,+0,,2026,最新節,20260501
8,ファジアーノ岡山,17,13,5,3,2,8,4,4,15,20,-5,,2026,最新節,20260501
9,アビスパ福岡,17,14,6,3,3,8,6,2,14,23,-9,,2026,最新節,20260501
10,Ｖ・ファーレン長崎,16,13,5,5,0,8,7,1,13,19,-6,,2026,最新節,20260501
