順位,チーム,勝点,試合,勝,分,負,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date,competition_key,preseason
1,ＦＣ町田ゼルビア,9,3,3,0,0,12,2,10,W W W,2026,最新節,20260829,regular_2026_27,0
2,柏レイソル,9,3,3,0,0,9,4,5,W W W,2026,最新節,20260829,regular_2026_27,0
3,鹿島アントラーズ,9,3,3,0,0,9,6,3,W W W,2026,最新節,20260829,regular_2026_27,0
4,サンフレッチェ広島,7,3,2,1,0,8,2,6,W W D,2026,最新節,20260829,regular_2026_27,0
5,横浜Ｆ・マリノス,6,3,2,0,1,5,4,1,L W W,2026,最新節,20260829,regular_2026_27,0
6,セレッソ大阪,6,3,2,0,1,3,4,-1,W L W,2026,最新節,20260829,regular_2026_27,0
7,水戸ホーリーホック,4,3,1,1,1,5,4,1,L D W,2026,最新節,20260829,regular_2026_27,0
8,ヴィッセル神戸,4,3,1,1,1,3,3,0,W D L,2026,最新節,20260829,regular_2026_27,0
9,ファジアーノ岡山,4,3,1,1,1,2,2,0,L W D,2026,最新節,20260829,regular_2026_27,0
10,ガンバ大阪,4,3,1,1,1,6,7,-1,W D L,2026,最新節,20260829,regular_2026_27,0
11,ＦＣ東京,4,3,1,1,1,5,7,-2,L D W,2026,最新節,20260829,regular_2026_27,0
12,アビスパ福岡,3,3,1,0,2,5,4,1,L W L,2026,最新節,20260829,regular_2026_27,0
13,川崎フロンターレ,3,3,0,3,0,4,4,0,D D D,2026,最新節,20260829,regular_2026_27,0
13,名古屋グランパス,3,3,1,0,2,4,4,0,L L W,2026,最新節,20260829,regular_2026_27,0
15,清水エスパルス,3,3,1,0,2,1,2,-1,W L L,2026,最新節,20260829,regular_2026_27,0
16,Ｖ・ファーレン長崎,3,3,1,0,2,4,6,-2,W L L,2026,最新節,20260829,regular_2026_27,0
17,東京ヴェルディ,2,3,0,2,1,2,4,-2,D L D,2026,最新節,20260829,regular_2026_27,0
18,京都サンガF.C.,1,3,0,1,2,4,7,-3,L D L,2026,最新節,20260829,regular_2026_27,0
19,浦和レッズ,0,3,0,0,3,5,11,-6,L L L,2026,最新節,20260829,regular_2026_27,0
20,ジェフユナイテッド千葉,0,3,0,0,3,0,9,-9,L L L,2026,最新節,20260829,regular_2026_27,0
