順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ベガルタ仙台,38,15,14,10,4,1,1,0,29,11,+18,,2026,最新節,20260508
2,湘南ベルマーレ,31,15,11,8,3,4,3,1,24,13,+11,,2026,最新節,20260508
3,ブラウブリッツ秋田,28,15,9,9,0,6,5,1,19,13,+6,,2026,最新節,20260508
4,ＳＣ相模原,24,15,8,6,2,7,5,2,25,23,+2,,2026,最新節,20260508
5,横浜ＦＣ,20,15,7,5,2,8,7,1,29,27,+2,,2026,最新節,20260508
6,モンテディオ山形,19,15,7,5,2,8,8,0,15,18,-3,,2026,最新節,20260508
7,ザスパ群馬,19,15,6,5,1,9,7,2,18,31,-13,,2026,最新節,20260508
8,栃木シティ,16,15,5,4,1,10,8,2,17,32,-15,,2026,最新節,20260508
9,栃木ＳＣ,15,15,4,4,0,11,8,3,23,27,-4,,2026,最新節,20260508
10,ヴァンラーレ八戸,15,15,4,4,0,11,8,3,13,17,-4,,2026,最新節,20260508
1,ヴァンフォーレ甲府,29,15,10,9,1,5,5,0,18,11,+7,,2026,最新節,20260508
2,いわきＦＣ,28,15,10,7,3,5,4,1,21,16,+5,,2026,最新節,20260508
3,ＲＢ大宮アルディージャ,27,15,9,8,1,6,5,1,32,22,+10,,2026,最新節,20260508
4,北海道コンサドーレ札幌,25,15,9,7,2,6,6,0,19,18,+1,,2026,最新節,20260508
5,藤枝ＭＹＦＣ,24,15,7,5,2,8,3,5,18,17,+1,,2026,最新節,20260508
6,ＦＣ岐阜,24,15,8,7,1,7,6,1,19,20,-1,,2026,最新節,20260508
7,松本山雅ＦＣ,22,15,7,6,1,8,6,2,27,17,+10,,2026,最新節,20260508
8,ジュビロ磐田,22,15,8,4,4,7,5,2,13,16,-3,,2026,最新節,20260508
9,福島ユナイテッドＦＣ,13,15,4,3,1,11,9,2,21,33,-12,,2026,最新節,20260508
10,ＡＣ長野パルセイロ,11,15,3,2,1,12,9,3,11,29,-18,,2026,最新節,20260508
1,カターレ富山,34,15,12,9,3,3,2,1,32,17,+15,,2026,最新節,20260508
2,徳島ヴォルティス,28,15,9,9,0,6,5,1,32,17,+15,,2026,最新節,20260508
3,アルビレックス新潟,28,15,10,7,3,5,4,1,16,14,+2,,2026,最新節,20260508
4,高知ユナイテッドＳＣ,27,15,9,7,2,6,4,2,20,18,+2,,2026,最新節,20260508
5,愛媛ＦＣ,25,15,8,7,1,7,5,2,23,14,+9,,2026,最新節,20260508
6,ツエーゲン金沢,20,15,7,4,3,8,6,2,11,19,-8,,2026,最新節,20260508
7,ＦＣ大阪,17,15,5,3,2,10,6,4,11,13,-2,,2026,最新節,20260508
8,ＦＣ今治,16,15,5,4,1,10,8,2,10,14,-4,,2026,最新節,20260508
9,奈良クラブ,15,15,5,3,2,10,8,2,17,30,-13,,2026,最新節,20260508
10,カマタマーレ讃岐,15,15,5,4,1,10,9,1,10,26,-16,,2026,最新節,20260508
1,テゲバジャーロ宮崎,40,15,13,13,0,2,1,1,30,8,+22,,2026,最新節,20260508
2,サガン鳥栖,27,15,9,7,2,6,4,2,20,11,+9,,2026,最新節,20260508
3,鹿児島ユナイテッドＦＣ,27,15,10,6,4,5,4,1,16,12,+4,,2026,最新節,20260508
4,レノファ山口ＦＣ,26,15,9,7,2,6,5,1,22,19,+3,,2026,最新節,20260508
5,ロアッソ熊本,25,15,8,8,0,7,6,1,18,16,+2,,2026,最新節,20260508
6,大分トリニータ,21,15,7,6,1,8,7,1,17,15,+2,,2026,最新節,20260508
7,ガイナーレ鳥取,17,14,6,4,2,8,7,1,13,20,-7,,2026,最新節,20260508
8,ギラヴァンツ北九州,14,15,4,4,0,11,9,2,15,25,-10,,2026,最新節,20260508
9,レイラック滋賀ＦＣ,13,14,4,4,0,10,9,1,9,23,-14,,2026,最新節,20260508
10,ＦＣ琉球,12,15,4,1,3,11,8,3,9,20,-11,,2026,最新節,20260508
