順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ベガルタ仙台,26,10,10,6,4,0,0,0,17,6,+11,,2026,最新節,20260415
2,湘南ベルマーレ,24,10,8,7,1,2,1,1,19,7,+12,,2026,最新節,20260415
3,ブラウブリッツ秋田,22,10,7,7,0,3,2,1,13,7,+6,,2026,最新節,20260415
4,モンテディオ山形,14,10,5,4,1,5,5,0,11,11,+0,,2026,最新節,20260415
5,栃木ＳＣ,13,10,4,4,0,6,5,1,18,18,+0,,2026,最新節,20260415
6,ヴァンラーレ八戸,12,10,3,3,0,7,4,3,11,10,+1,,2026,最新節,20260415
7,ＳＣ相模原,12,10,4,3,1,6,5,1,17,19,-2,,2026,最新節,20260415
8,横浜ＦＣ,11,10,4,3,1,6,6,0,16,17,-1,,2026,最新節,20260415
9,栃木シティ,9,10,3,2,1,7,6,1,11,22,-11,,2026,最新節,20260415
10,ザスパ群馬,7,10,2,1,1,8,6,2,9,25,-16,,2026,最新節,20260415
1,いわきＦＣ,23,10,8,6,2,2,1,1,16,9,+7,,2026,最新節,20260415
2,ヴァンフォーレ甲府,20,10,7,6,1,3,3,0,13,7,+6,,2026,最新節,20260415
3,ＲＢ大宮アルディージャ,19,10,6,6,0,4,3,1,24,14,+10,,2026,最新節,20260415
4,松本山雅ＦＣ,18,10,6,5,1,4,3,1,22,12,+10,,2026,最新節,20260415
5,ＦＣ岐阜,18,10,6,5,1,4,3,1,16,12,+4,,2026,最新節,20260415
6,藤枝ＭＹＦＣ,18,10,6,4,2,4,2,2,14,13,+1,,2026,最新節,20260415
7,ジュビロ磐田,10,10,4,1,3,6,5,1,6,12,-6,,2026,最新節,20260415
8,北海道コンサドーレ札幌,10,10,4,2,2,6,6,0,8,15,-7,,2026,最新節,20260415
9,福島ユナイテッドＦＣ,8,10,2,2,0,8,6,2,15,26,-11,,2026,最新節,20260415
10,ＡＣ長野パルセイロ,6,10,1,1,0,9,6,3,9,23,-14,,2026,最新節,20260415
1,徳島ヴォルティス,24,10,8,8,0,2,2,0,27,5,+22,,2026,最新節,20260415
2,カターレ富山,21,10,8,5,3,2,2,0,22,15,+7,,2026,最新節,20260415
3,高知ユナイテッドＳＣ,21,10,7,6,1,3,2,1,18,12,+6,,2026,最新節,20260415
4,アルビレックス新潟,16,10,6,3,3,4,3,1,11,11,+0,,2026,最新節,20260415
5,ツエーゲン金沢,14,10,5,2,3,5,3,2,8,14,-6,,2026,最新節,20260415
6,愛媛ＦＣ,13,10,4,3,1,6,4,2,11,12,-1,,2026,最新節,20260415
7,カマタマーレ讃岐,12,10,4,4,0,6,6,0,7,18,-11,,2026,最新節,20260415
8,ＦＣ大阪,11,10,3,2,1,7,4,3,6,8,-2,,2026,最新節,20260415
9,ＦＣ今治,10,10,3,2,1,7,5,2,5,9,-4,,2026,最新節,20260415
10,奈良クラブ,8,10,2,2,0,8,6,2,13,24,-11,,2026,最新節,20260415
1,テゲバジャーロ宮崎,27,10,9,9,0,1,1,0,23,7,+16,,2026,最新節,20260415
2,鹿児島ユナイテッドＦＣ,23,10,8,6,2,2,1,1,13,6,+7,,2026,最新節,20260415
3,サガン鳥栖,15,10,5,4,1,5,4,1,10,9,+1,,2026,最新節,20260415
4,レノファ山口ＦＣ,15,10,5,4,1,5,4,1,11,11,+0,,2026,最新節,20260415
5,大分トリニータ,14,10,5,4,1,5,5,0,12,12,+0,,2026,最新節,20260415
6,ロアッソ熊本,13,10,4,4,0,6,5,1,11,13,-2,,2026,最新節,20260415
7,レイラック滋賀ＦＣ,13,9,4,4,0,5,4,1,7,9,-2,,2026,最新節,20260415
8,ガイナーレ鳥取,11,9,4,2,2,5,4,1,6,11,-5,,2026,最新節,20260415
9,ＦＣ琉球,9,10,3,1,2,7,5,2,8,14,-6,,2026,最新節,20260415
10,ギラヴァンツ北九州,7,10,2,2,0,8,7,1,8,17,-9,,2026,最新節,20260415
