順位,チーム,勝点,試合,勝,分,負,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date,competition_key,preseason
1,柏レイソル,12,4,4,0,0,10,4,6,W W W W,2026,最新節,20260901,regular_2026_27,0
2,鹿島アントラーズ,12,4,4,0,0,11,6,5,W W W W,2026,最新節,20260901,regular_2026_27,0
3,ＦＣ町田ゼルビア,10,4,3,1,0,13,3,10,W W W D,2026,最新節,20260901,regular_2026_27,0
4,サンフレッチェ広島,8,4,2,2,0,8,2,6,W W D D,2026,最新節,20260901,regular_2026_27,0
5,ＦＣ東京,7,4,2,1,1,8,7,1,L D W W,2026,最新節,20260901,regular_2026_27,0
6,ヴィッセル神戸,7,4,2,1,1,4,3,1,W D L W,2026,最新節,20260901,regular_2026_27,0
7,川崎フロンターレ,6,4,1,3,0,8,6,2,D D D W,2026,最新節,20260901,regular_2026_27,0
8,名古屋グランパス,6,4,2,0,2,6,5,1,L L W W,2026,最新節,20260901,regular_2026_27,0
9,横浜Ｆ・マリノス,6,4,2,0,2,7,7,0,L W W L,2026,最新節,20260901,regular_2026_27,0
10,セレッソ大阪,6,4,2,0,2,3,5,-2,W L W L,2026,最新節,20260901,regular_2026_27,0
11,水戸ホーリーホック,5,4,1,2,1,6,5,1,L D W D,2026,最新節,20260901,regular_2026_27,0
12,ガンバ大阪,5,4,1,2,1,6,7,-1,W D L D,2026,最新節,20260901,regular_2026_27,0
13,ファジアーノ岡山,4,4,1,1,2,3,4,-1,L W D L,2026,最新節,20260901,regular_2026_27,0
14,京都サンガF.C.,4,4,1,1,2,6,8,-2,L D L W,2026,最新節,20260901,regular_2026_27,0
15,アビスパ福岡,3,4,1,0,3,6,6,0,L W L L,2026,最新節,20260901,regular_2026_27,0
16,清水エスパルス,3,4,1,0,3,1,3,-2,W L L L,2026,最新節,20260901,regular_2026_27,0
17,浦和レッズ,3,4,1,0,3,8,13,-5,L L L W,2026,最新節,20260901,regular_2026_27,0
18,Ｖ・ファーレン長崎,3,4,1,0,3,4,9,-5,W L L L,2026,最新節,20260901,regular_2026_27,0
19,東京ヴェルディ,2,4,0,2,2,2,6,-4,D L D L,2026,最新節,20260901,regular_2026_27,0
20,ジェフユナイテッド千葉,0,4,0,0,4,2,13,-11,L L L L,2026,最新節,20260901,regular_2026_27,0
