順位,チーム,勝点,試合,勝,分,負,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date,competition_key,preseason
1,ＲＢ大宮アルディージャ 大宮,12,6,3,3,0,10,5,5,W W D D D,2026,最新節,20260918,regular_2026_27,0
2,アルビレックス新潟 新潟,12,6,4,0,2,7,9,-2,W W W L W,2026,最新節,20260918,regular_2026_27,0
3,ベガルタ仙台 仙台,11,6,3,2,1,10,6,4,D W W W D,2026,最新節,20260918,regular_2026_27,0
4,湘南ベルマーレ 湘南,11,6,3,2,1,6,5,1,W D D L W,2026,最新節,20260918,regular_2026_27,0
5,栃木シティ 栃木Ｃ,10,6,3,1,2,13,7,6,W W L W D,2026,最新節,20260918,regular_2026_27,0
6,カターレ富山 富山,10,6,3,1,2,11,5,6,W W L W D,2026,最新節,20260918,regular_2026_27,0
7,横浜ＦＣ 横浜FC,10,6,3,1,2,11,7,4,W L D W L,2026,最新節,20260918,regular_2026_27,0
8,藤枝ＭＹＦＣ 藤枝,10,6,3,1,2,10,7,3,W L W D L,2026,最新節,20260918,regular_2026_27,0
9,ジュビロ磐田 磐田,10,6,3,1,2,8,7,1,L W W L W,2026,最新節,20260918,regular_2026_27,0
10,モンテディオ山形 山形,9,6,3,0,3,8,4,4,L W W L L,2026,最新節,20260918,regular_2026_27,0
11,ブラウブリッツ秋田 秋田,8,6,2,2,2,8,7,1,L W L D W,2026,最新節,20260918,regular_2026_27,0
12,サガン鳥栖 鳥栖,8,6,2,2,2,7,6,1,D L D W L,2026,最新節,20260918,regular_2026_27,0
13,テゲバジャーロ宮崎 宮崎,8,7,2,2,3,9,10,-1,D L L W W,2026,最新節,20260918,regular_2026_27,0
14,ヴァンフォーレ甲府 甲府,7,6,2,1,3,5,9,-4,D L W W L,2026,最新節,20260918,regular_2026_27,0
15,徳島ヴォルティス 徳島,7,6,2,1,3,4,8,-4,D L W W L,2026,最新節,20260918,regular_2026_27,0
16,ヴァンラーレ八戸 八戸,7,7,2,1,4,3,11,-8,L W D L L,2026,最新節,20260918,regular_2026_27,0
17,大分トリニータ 大分,6,6,1,3,2,5,4,1,D W L D D,2026,最新節,20260918,regular_2026_27,0
18,いわきＦＣ いわき,6,6,2,0,4,8,12,-4,L L L L W,2026,最新節,20260918,regular_2026_27,0
19,北海道コンサドーレ札幌 札幌,4,6,1,1,4,7,13,-6,L L L L D,2026,最新節,20260918,regular_2026_27,0
20,ＦＣ今治 今治,4,6,1,1,4,5,13,-8,L L L D W,2026,最新節,20260918,regular_2026_27,0
