順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ベガルタ仙台,23,9,9,5,4,0,0,0,14,6,+8,,2026,最新節,20260411
2,ブラウブリッツ秋田,22,9,7,7,0,2,1,1,13,6,+7,,2026,最新節,20260411
3,湘南ベルマーレ,21,9,7,6,1,2,1,1,18,7,+11,,2026,最新節,20260411
4,ＳＣ相模原,12,9,4,3,1,5,4,1,17,16,+1,,2026,最新節,20260411
5,横浜ＦＣ,11,9,4,3,1,5,5,0,16,16,+0,,2026,最新節,20260411
6,モンテディオ山形,11,9,4,3,1,5,5,0,10,11,-1,,2026,最新節,20260411
7,栃木ＳＣ,10,9,3,3,0,6,5,1,13,17,-4,,2026,最新節,20260411
8,ヴァンラーレ八戸,9,9,2,2,0,7,4,3,7,8,-1,,2026,最新節,20260411
9,栃木シティ,9,9,3,2,1,6,5,1,9,18,-9,,2026,最新節,20260411
10,ザスパ群馬,7,9,2,1,1,7,5,2,8,20,-12,,2026,最新節,20260411
1,いわきＦＣ,20,9,7,5,2,2,1,1,13,7,+6,,2026,最新節,20260411
2,ＲＢ大宮アルディージャ,19,9,6,6,0,3,2,1,23,10,+13,,2026,最新節,20260411
3,ＦＣ岐阜,18,9,6,5,1,3,2,1,15,10,+5,,2026,最新節,20260411
4,ヴァンフォーレ甲府,17,9,6,5,1,3,3,0,11,6,+5,,2026,最新節,20260411
5,松本山雅ＦＣ,15,9,5,4,1,4,3,1,18,11,+7,,2026,最新節,20260411
6,藤枝ＭＹＦＣ,15,9,5,3,2,4,2,2,12,12,+0,,2026,最新節,20260411
7,北海道コンサドーレ札幌,10,9,4,2,2,5,5,0,7,13,-6,,2026,最新節,20260411
8,ジュビロ磐田,8,9,3,1,2,6,5,1,5,11,-6,,2026,最新節,20260411
9,福島ユナイテッドＦＣ,8,9,2,2,0,7,5,2,13,23,-10,,2026,最新節,20260411
10,ＡＣ長野パルセイロ,5,9,1,1,0,8,6,2,8,22,-14,,2026,最新節,20260411
1,徳島ヴォルティス,21,9,7,7,0,2,2,0,22,5,+17,,2026,最新節,20260411
2,カターレ富山,18,9,7,4,3,2,2,0,20,14,+6,,2026,最新節,20260411
3,高知ユナイテッドＳＣ,18,9,6,5,1,3,2,1,16,11,+5,,2026,最新節,20260411
4,アルビレックス新潟,16,9,6,3,3,3,2,1,10,9,+1,,2026,最新節,20260411
5,ツエーゲン金沢,12,9,4,2,2,5,3,2,8,14,-6,,2026,最新節,20260411
6,カマタマーレ讃岐,12,9,4,4,0,5,5,0,7,13,-6,,2026,最新節,20260411
7,ＦＣ大阪,11,9,3,2,1,6,3,3,5,6,-1,,2026,最新節,20260411
8,愛媛ＦＣ,10,9,3,2,1,6,4,2,8,10,-2,,2026,最新節,20260411
9,ＦＣ今治,9,9,3,2,1,6,5,1,5,9,-4,,2026,最新節,20260411
10,奈良クラブ,8,9,2,2,0,7,5,2,11,21,-10,,2026,最新節,20260411
1,テゲバジャーロ宮崎,24,9,8,8,0,1,1,0,18,7,+11,,2026,最新節,20260411
2,鹿児島ユナイテッドＦＣ,20,9,7,5,2,2,1,1,10,5,+5,,2026,最新節,20260411
3,大分トリニータ,14,9,5,4,1,4,4,0,11,10,+1,,2026,最新節,20260411
4,ロアッソ熊本,13,9,4,4,0,5,4,1,11,8,+3,,2026,最新節,20260411
5,サガン鳥栖,12,9,4,3,1,5,4,1,9,9,+0,,2026,最新節,20260411
6,レノファ山口ＦＣ,12,9,4,3,1,5,4,1,9,10,-1,,2026,最新節,20260411
7,ガイナーレ鳥取,11,8,4,2,2,4,3,1,5,8,-3,,2026,最新節,20260411
8,レイラック滋賀ＦＣ,10,8,3,3,0,5,4,1,5,8,-3,,2026,最新節,20260411
9,ＦＣ琉球,9,9,3,1,2,6,4,2,7,12,-5,,2026,最新節,20260411
10,ギラヴァンツ北九州,7,9,2,2,0,7,6,1,8,16,-8,,2026,最新節,20260411
