順位,チーム,勝点,試合,勝,分,負,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date,competition_key,preseason
1,北海道コンサドーレ札幌,3,1,1,0,0,2,0,2,W,2026,最新節,20260814,regular_2026_27,0
1,ヴァンラーレ八戸,3,1,1,0,0,2,0,2,W,2026,最新節,20260814,regular_2026_27,0
1,モンテディオ山形,3,1,1,0,0,2,0,2,W,2026,最新節,20260814,regular_2026_27,0
1,藤枝ＭＹＦＣ,3,1,1,0,0,2,0,2,W,2026,最新節,20260814,regular_2026_27,0
1,サガン鳥栖,3,1,1,0,0,2,0,2,W,2026,最新節,20260814,regular_2026_27,0
6,いわきＦＣ,3,1,1,0,0,2,1,1,W,2026,最新節,20260814,regular_2026_27,0
7,ＲＢ大宮アルディージャ,3,1,1,0,0,1,0,1,W,2026,最新節,20260814,regular_2026_27,0
7,横浜ＦＣ,3,1,1,0,0,1,0,1,W,2026,最新節,20260814,regular_2026_27,0
7,湘南ベルマーレ,3,1,1,0,0,1,0,1,W,2026,最新節,20260814,regular_2026_27,0
10,ブラウブリッツ秋田,1,1,0,1,0,1,1,0,D,2026,最新節,20260814,regular_2026_27,0
10,ジュビロ磐田,1,1,0,1,0,1,1,0,D,2026,最新節,20260814,regular_2026_27,0
12,ＦＣ今治,0,1,0,0,1,1,2,-1,L,2026,最新節,20260814,regular_2026_27,0
13,アルビレックス新潟,0,1,0,0,1,0,1,-1,L,2026,最新節,20260814,regular_2026_27,0
13,大分トリニータ,0,1,0,0,1,0,1,-1,L,2026,最新節,20260814,regular_2026_27,0
13,テゲバジャーロ宮崎,0,1,0,0,1,0,1,-1,L,2026,最新節,20260814,regular_2026_27,0
16,ベガルタ仙台,0,1,0,0,1,0,2,-2,L,2026,最新節,20260814,regular_2026_27,0
16,栃木シティ,0,1,0,0,1,0,2,-2,L,2026,最新節,20260814,regular_2026_27,0
16,ヴァンフォーレ甲府,0,1,0,0,1,0,2,-2,L,2026,最新節,20260814,regular_2026_27,0
16,カターレ富山,0,1,0,0,1,0,2,-2,L,2026,最新節,20260814,regular_2026_27,0
16,徳島ヴォルティス,0,1,0,0,1,0,2,-2,L,2026,最新節,20260814,regular_2026_27,0
