順位,チーム,勝点,試合,勝,分,負,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date,competition_key,preseason
1,柏レイソル,6,2,2,0,0,5,2,3,W,2026,最新節,20260814,regular_2026_27,0
2,ＦＣ町田ゼルビア,3,1,1,0,0,5,1,4,W,2026,最新節,20260814,regular_2026_27,0
3,サンフレッチェ広島,3,1,1,0,0,3,0,3,W,2026,最新節,20260814,regular_2026_27,0
4,鹿島アントラーズ,3,1,1,0,0,4,3,1,W,2026,最新節,20260814,regular_2026_27,0
4,ガンバ大阪,3,1,1,0,0,4,3,1,W,2026,最新節,20260814,regular_2026_27,0
6,セレッソ大阪,3,1,1,0,0,2,1,1,W,2026,最新節,20260814,regular_2026_27,0
6,Ｖ・ファーレン長崎,3,1,1,0,0,2,1,1,W,2026,最新節,20260814,regular_2026_27,0
8,清水エスパルス,3,1,1,0,0,1,0,1,W,2026,最新節,20260814,regular_2026_27,0
8,ヴィッセル神戸,3,1,1,0,0,1,0,1,W,2026,最新節,20260814,regular_2026_27,0
10,川崎フロンターレ,1,1,0,1,0,1,1,0,D,2026,最新節,20260814,regular_2026_27,0
11,東京ヴェルディ,1,2,0,1,1,2,4,-2,D,2026,最新節,20260814,regular_2026_27,0
12,浦和レッズ,0,1,0,0,1,3,4,-1,L,2026,最新節,20260814,regular_2026_27,0
12,横浜Ｆ・マリノス,0,1,0,0,1,3,4,-1,L,2026,最新節,20260814,regular_2026_27,0
14,水戸ホーリーホック,0,1,0,0,1,1,2,-1,L,2026,最新節,20260814,regular_2026_27,0
14,京都サンガF.C.,0,1,0,0,1,1,2,-1,L,2026,最新節,20260814,regular_2026_27,0
14,ファジアーノ岡山,0,1,0,0,1,1,2,-1,L,2026,最新節,20260814,regular_2026_27,0
17,名古屋グランパス,0,1,0,0,1,0,1,-1,L,2026,最新節,20260814,regular_2026_27,0
17,アビスパ福岡,0,1,0,0,1,0,1,-1,L,2026,最新節,20260814,regular_2026_27,0
19,ジェフユナイテッド千葉,0,1,0,0,1,0,3,-3,L,2026,最新節,20260814,regular_2026_27,0
20,ＦＣ東京,0,1,0,0,1,1,5,-4,L,2026,最新節,20260814,regular_2026_27,0
