順位,チーム,勝点,試合,勝,分,負,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date,competition_key,preseason
1,ＲＢ大宮アルディージャ,10,4,3,1,0,10,5,5,W W W D,2026,最新節,20260902,regular_2026_27,0
2,モンテディオ山形,9,4,3,0,1,7,1,6,W L W W,2026,最新節,20260902,regular_2026_27,0
3,藤枝ＭＹＦＣ,9,4,3,0,1,8,4,4,W W L W,2026,最新節,20260902,regular_2026_27,0
4,アルビレックス新潟,9,4,3,0,1,6,4,2,L W W W,2026,最新節,20260902,regular_2026_27,0
5,湘南ベルマーレ,8,4,2,2,0,4,2,2,W W D D,2026,最新節,20260902,regular_2026_27,0
6,ベガルタ仙台,7,4,2,1,1,6,4,2,L D W W,2026,最新節,20260902,regular_2026_27,0
7,ジュビロ磐田,7,4,2,1,1,7,6,1,D L W W,2026,最新節,20260902,regular_2026_27,0
8,横浜ＦＣ,7,4,2,1,1,6,5,1,W W L D,2026,最新節,20260902,regular_2026_27,0
9,カターレ富山,6,4,2,0,2,10,5,5,L W W L,2026,最新節,20260902,regular_2026_27,0
10,栃木シティ,6,4,2,0,2,9,6,3,L W W L,2026,最新節,20260902,regular_2026_27,0
11,ヴァンラーレ八戸,6,4,2,0,2,3,7,-4,W L L W,2026,最新節,20260902,regular_2026_27,0
12,サガン鳥栖,5,4,1,2,1,5,5,0,W D L D,2026,最新節,20260902,regular_2026_27,0
13,大分トリニータ,4,4,1,1,2,4,3,1,L D W L,2026,最新節,20260902,regular_2026_27,0
14,ブラウブリッツ秋田,4,4,1,1,2,4,6,-2,D L W L,2026,最新節,20260902,regular_2026_27,0
15,徳島ヴォルティス,4,4,1,1,2,2,4,-2,L D L W,2026,最新節,20260902,regular_2026_27,0
16,ヴァンフォーレ甲府,4,4,1,1,2,3,7,-4,L D L W,2026,最新節,20260902,regular_2026_27,0
17,北海道コンサドーレ札幌,3,4,1,0,3,5,8,-3,W L L L,2026,最新節,20260902,regular_2026_27,0
18,いわきＦＣ,3,4,1,0,3,6,11,-5,W L L L,2026,最新節,20260902,regular_2026_27,0
19,テゲバジャーロ宮崎,2,4,0,2,2,3,6,-3,L D D L,2026,最新節,20260902,regular_2026_27,0
20,ＦＣ今治,0,4,0,0,4,3,12,-9,L L L L,2026,最新節,20260902,regular_2026_27,0
