節,match_id,datetime,stadium,home_team,away_team,home_score,away_score
第６節第２日,j1_2025_03161303_清水_京都,2025-03-16 13:03:00,アイスタ,清水,京都,1,2
第６節第２日,j1_2025_03161403_岡山_川崎Ｆ,2025-03-16 14:03:00,ＪＦＥス,岡山,川崎Ｆ,0,0
第６節第２日,j1_2025_03161403_鹿島_浦和,2025-03-16 14:03:00,カシマ,鹿島,浦和,1,1
第６節第２日,j1_2025_03161403_横浜FM_Ｇ大阪,2025-03-16 14:03:00,日産ス,横浜FM,Ｇ大阪,2,0
第６節第２日,j1_2025_03161403_広島_柏,2025-03-16 14:03:00,Ｅピース,広島,柏,1,1
第６節第２日,j1_2025_03161503_湘南_神戸,2025-03-16 15:03:00,レモンＳ,湘南,神戸,1,2
第７節第１日,j1_2025_03281903_Ｃ大阪_浦和,2025-03-28 19:03:00,ヨドコウ,Ｃ大阪,浦和,1,1
第７節第２日,j1_2025_03291300_岡山_横浜FM,2025-03-29 13:00:00,ＪＦＥス,岡山,横浜FM,1,0
第７節第２日,j1_2025_03291303_清水_湘南,2025-03-29 13:03:00,アイスタ,清水,湘南,3,0
第７節第２日,j1_2025_03291403_京都_広島,2025-03-29 14:03:00,サンガＳ,京都,広島,1,0
第７節第２日,j1_2025_03291403_新潟_Ｇ大阪,2025-03-29 14:03:00,デンカＳ,新潟,Ｇ大阪,3,3
第７節第２日,j1_2025_03291403_柏_東京Ｖ,2025-03-29 14:03:00,三協Ｆ柏,柏,東京Ｖ,0,0
第７節第２日,j1_2025_03291403_名古屋_横浜FC,2025-03-29 14:03:00,豊田ス,名古屋,横浜FC,2,1
第７節第２日,j1_2025_03291503_鹿島_神戸,2025-03-29 15:03:00,カシマ,鹿島,神戸,1,0
第７節第２日,j1_2025_03291504_福岡_町田,2025-03-29 15:04:00,ベススタ,福岡,町田,2,2
第７節第２日,j1_2025_03291703_FC東京_川崎Ｆ,2025-03-29 17:03:00,味スタ,FC東京,川崎Ｆ,0,3
第８節第１日,j1_2025_04021903_Ｇ大阪_町田,2025-04-02 19:03:00,パナスタ,Ｇ大阪,町田,0,1
第８節第１日,j1_2025_04021903_Ｃ大阪_岡山,2025-04-02 19:03:00,ヨドコウ,Ｃ大阪,岡山,2,1
第８節第１日,j1_2025_04021903_京都_柏,2025-04-02 19:03:00,サンガＳ,京都,柏,1,1
第８節第１日,j1_2025_04021903_広島_鹿島,2025-04-02 19:03:00,Ｅピース,広島,鹿島,1,0
第８節第１日,j1_2025_04021903_東京Ｖ_FC東京,2025-04-02 19:03:00,味スタ,東京Ｖ,FC東京,2,2
第８節第１日,j1_2025_04021903_横浜FC_神戸,2025-04-02 19:03:00,ニッパツ,横浜FC,神戸,0,1
第８節第１日,j1_2025_04021903_川崎Ｆ_湘南,2025-04-02 19:03:00,Ｕ等々力,川崎Ｆ,湘南,2,0
第８節第１日,j1_2025_04021903_新潟_福岡,2025-04-02 19:03:00,デンカＳ,新潟,福岡,0,1
第８節第１日,j1_2025_04021904_名古屋_横浜FM,2025-04-02 19:04:00,豊田ス,名古屋,横浜FM,2,0
第８節第１日,j1_2025_04021933_浦和_清水,2025-04-02 19:33:00,埼玉,浦和,清水,2,1
第９節第１日,j1_2025_04051403_横浜FM_東京Ｖ,2025-04-05 14:03:00,日産ス,横浜FM,東京Ｖ,0,0
第９節第２日,j1_2025_04061301_岡山_FC東京,2025-04-06 13:01:00,ＪＦＥス,岡山,FC東京,1,0
第９節第２日,j1_2025_04061403_横浜FC_清水,2025-04-06 14:03:00,ニッパツ,横浜FC,清水,2,0
第９節第２日,j1_2025_04061403_神戸_新潟,2025-04-06 14:03:00,国立,神戸,新潟,0,1
第９節第２日,j1_2025_04061403_町田_川崎Ｆ,2025-04-06 14:03:00,Ｇスタ,町田,川崎Ｆ,2,2
第９節第２日,j1_2025_04061404_福岡_浦和,2025-04-06 14:04:00,ベススタ,福岡,浦和,1,0
第９節第２日,j1_2025_04061503_広島_Ｃ大阪,2025-04-06 15:03:00,Ｅピース,広島,Ｃ大阪,2,1
第９節第２日,j1_2025_04061503_柏_Ｇ大阪,2025-04-06 15:03:00,三協Ｆ柏,柏,Ｇ大阪,1,0
第９節第２日,j1_2025_04061503_鹿島_京都,2025-04-06 15:03:00,カシマ,鹿島,京都,3,4
第９節第２日,j1_2025_04061503_湘南_名古屋,2025-04-06 15:03:00,レモンＳ,湘南,名古屋,2,1
第５節第３日,j1_2025_04091903_川崎Ｆ_横浜FM,2025-04-09 19:03:00,Ｕ等々力,川崎Ｆ,横浜FM,3,3
第１０節第１日,j1_2025_04111903_FC東京_柏,2025-04-11 19:03:00,国立,FC東京,柏,1,1
第１０節第２日,j1_2025_04121403_Ｇ大阪_名古屋,2025-04-12 14:03:00,パナスタ,Ｇ大阪,名古屋,2,0
第１０節第２日,j1_2025_04121403_清水_川崎Ｆ,2025-04-12 14:03:00,アイスタ,清水,川崎Ｆ,1,1
第１０節第２日,j1_2025_04121403_広島_岡山,2025-04-12 14:03:00,Ｅピース,広島,岡山,0,1
第１０節第２日,j1_2025_04121403_福岡_横浜FM,2025-04-12 14:03:00,ベススタ,福岡,横浜FM,2,1
第１０節第２日,j1_2025_04121503_東京Ｖ_神戸,2025-04-12 15:03:00,味スタ,東京Ｖ,神戸,0,1
第１０節第２日,j1_2025_04121505_Ｃ大阪_鹿島,2025-04-12 15:05:00,ヨドコウ,Ｃ大阪,鹿島,1,0
第１０節第２日,j1_2025_04121603_京都_湘南,2025-04-12 16:03:00,サンガＳ,京都,湘南,2,0
第１０節第３日,j1_2025_04131403_町田_浦和,2025-04-13 14:03:00,国立,町田,浦和,0,2
第１０節第３日,j1_2025_04131403_新潟_横浜FC,2025-04-13 14:03:00,デンカＳ,新潟,横浜FC,0,0
第１２節第１日,j1_2025_04161903_横浜FM_清水,2025-04-16 19:03:00,日産ス,横浜FM,清水,2,3
第１２節第１日,j1_2025_04161903_神戸_川崎Ｆ,2025-04-16 19:03:00,ノエスタ,神戸,川崎Ｆ,2,1
第２０節第１日,j1_2025_04161933_浦和_京都,2025-04-16 19:33:00,埼玉,浦和,京都,2,1
第１１節第１日,j1_2025_04191403_新潟_京都,2025-04-19 14:03:00,デンカＳ,新潟,京都,1,2
第１１節第２日,j1_2025_04201403_横浜FC_Ｇ大阪,2025-04-20 14:03:00,ニッパツ,横浜FC,Ｇ大阪,1,1
第１１節第２日,j1_2025_04201403_名古屋_広島,2025-04-20 14:03:00,豊田ス,名古屋,広島,2,1
第１１節第２日,j1_2025_04201403_神戸_町田,2025-04-20 14:03:00,ノエスタ,神戸,町田,1,0
第１１節第２日,j1_2025_04201403_岡山_鹿島,2025-04-20 14:03:00,ＪＦＥス,岡山,鹿島,1,2
第１１節第２日,j1_2025_04201404_清水_福岡,2025-04-20 14:04:00,アイスタ,清水,福岡,3,1
第１１節第２日,j1_2025_04201503_Ｃ大阪_FC東京,2025-04-20 15:03:00,ヨドコウ,Ｃ大阪,FC東京,1,1
第１１節第２日,j1_2025_04201503_湘南_柏,2025-04-20 15:03:00,レモンＳ,湘南,柏,0,1
第１１節第２日,j1_2025_04201503_川崎Ｆ_東京Ｖ,2025-04-20 15:03:00,Ｕ等々力,川崎Ｆ,東京Ｖ,0,0
第１１節第２日,j1_2025_04201603_浦和_横浜FM,2025-04-20 16:03:00,埼玉,浦和,横浜FM,3,1
第１２節第２日,j1_2025_04251903_東京Ｖ_Ｃ大阪,2025-04-25 19:03:00,味スタ,東京Ｖ,Ｃ大阪,1,0
第１２節第２日,j1_2025_04251903_町田_湘南,2025-04-25 19:03:00,Ｇスタ,町田,湘南,0,1
第１２節第２日,j1_2025_04251903_京都_横浜FC,2025-04-25 19:03:00,サンガＳ,京都,横浜FC,2,1
第１２節第２日,j1_2025_04251903_福岡_岡山,2025-04-25 19:03:00,ベススタ,福岡,岡山,1,1
第１２節第２日,j1_2025_04251903_鹿島_名古屋,2025-04-25 19:03:00,カシマ,鹿島,名古屋,1,0
第１２節第２日,j1_2025_04251933_FC東京_Ｇ大阪,2025-04-25 19:33:00,国立,FC東京,Ｇ大阪,3,0
第１２節第２日,j1_2025_04251933_浦和_広島,2025-04-25 19:33:00,埼玉,浦和,広島,1,0
第１２節第３日,j1_2025_04261403_柏_新潟,2025-04-26 14:03:00,三協Ｆ柏,柏,新潟,1,1
第１３節第１日,j1_2025_04291309_FC東京_清水,2025-04-29 13:09:00,味スタ,FC東京,清水,0,2
第１３節第１日,j1_2025_04291403_広島_新潟,2025-04-29 14:03:00,Ｅピース,広島,新潟,0,1
第１３節第１日,j1_2025_04291403_岡山_東京Ｖ,2025-04-29 14:03:00,ＪＦＥス,岡山,東京Ｖ,0,1
第１３節第１日,j1_2025_04291403_名古屋_柏,2025-04-29 14:03:00,豊田ス,名古屋,柏,1,2
第１３節第１日,j1_2025_04291403_横浜FC_鹿島,2025-04-29 14:03:00,ニッパツ,横浜FC,鹿島,0,3
第１３節第１日,j1_2025_04291503_Ｇ大阪_京都,2025-04-29 15:03:00,パナスタ,Ｇ大阪,京都,2,1
第１３節第１日,j1_2025_04291503_Ｃ大阪_町田,2025-04-29 15:03:00,ヨドコウ,Ｃ大阪,町田,1,2
第１３節第１日,j1_2025_04291503_湘南_福岡,2025-04-29 15:03:00,レモンＳ,湘南,福岡,0,0
第１４節第１日,j1_2025_05031303_広島_福岡,2025-05-03 13:03:00,Ｅピース,広島,福岡,2,1
第１４節第１日,j1_2025_05031403_新潟_FC東京,2025-05-03 14:03:00,デンカＳ,新潟,FC東京,2,3
第１４節第１日,j1_2025_05031403_清水_名古屋,2025-05-03 14:03:00,国立,清水,名古屋,0,3
第１４節第１日,j1_2025_05031503_Ｇ大阪_湘南,2025-05-03 15:03:00,パナスタ,Ｇ大阪,湘南,4,0
第１４節第１日,j1_2025_05031503_鹿島_町田,2025-05-03 15:03:00,カシマ,鹿島,町田,1,0
第１４節第１日,j1_2025_05031503_浦和_東京Ｖ,2025-05-03 15:03:00,埼玉,浦和,東京Ｖ,2,0
第１４節第１日,j1_2025_05031503_神戸_岡山,2025-05-03 15:03:00,ノエスタ,神戸,岡山,2,0
第１４節第１日,j1_2025_05031903_京都_Ｃ大阪,2025-05-03 19:03:00,サンガＳ,京都,Ｃ大阪,2,3
第１５節第１日,j1_2025_05061403_浦和_Ｇ大阪,2025-05-06 14:03:00,埼玉,浦和,Ｇ大阪,0,1
第１５節第１日,j1_2025_05061403_福岡_鹿島,2025-05-06 14:03:00,ベススタ,福岡,鹿島,0,1
第１５節第１日,j1_2025_05061403_神戸_Ｃ大阪,2025-05-06 14:03:00,ノエスタ,神戸,Ｃ大阪,1,3
第１５節第１日,j1_2025_05061503_名古屋_岡山,2025-05-06 15:03:00,豊田ス,名古屋,岡山,0,0
第１５節第１日,j1_2025_05061603_東京Ｖ_横浜FC,2025-05-06 16:03:00,味スタ,東京Ｖ,横浜FC,2,0
