節,match_id,datetime,home_team,away_team,home_score,away_score,prob_home_win,prob_draw,prob_away_win,predicted,actual,is_correct
第３６節第１日,j1_2025_11081403_鹿島_横浜FC,2025-11-08 14:03:00,鹿島,横浜FC,2,1,0.334,0.486,0.18,D,H,False
第３６節第１日,j1_2025_11081403_東京Ｖ_福岡,2025-11-08 14:03:00,東京Ｖ,福岡,0,0,0.211,0.49,0.299,D,D,True
第３６節第１日,j1_2025_11081503_川崎Ｆ_岡山,2025-11-08 15:03:00,川崎Ｆ,岡山,1,1,0.294,0.531,0.175,D,D,True
第３６節第１日,j1_2025_11081503_湘南_新潟,2025-11-08 15:03:00,湘南,新潟,5,2,0.251,0.497,0.252,D,H,False
第３６節第１日,j1_2025_11081603_柏_名古屋,2025-11-08 16:03:00,柏,名古屋,1,0,0.256,0.55,0.193,D,H,False
第３６節第２日,j1_2025_11091301_広島_浦和,2025-11-09 13:01:00,広島,浦和,3,0,0.258,0.566,0.176,D,H,False
第３６節第２日,j1_2025_11091403_町田_FC東京,2025-11-09 14:03:00,町田,FC東京,0,1,0.234,0.557,0.209,D,A,False
第３６節第２日,j1_2025_11091403_京都_横浜FM,2025-11-09 14:03:00,京都,横浜FM,0,3,0.286,0.522,0.192,D,A,False
第３６節第２日,j1_2025_11091503_Ｇ大阪_神戸,2025-11-09 15:03:00,Ｇ大阪,神戸,1,1,0.222,0.561,0.217,D,D,True
第３６節第２日,j1_2025_11091503_清水_Ｃ大阪,2025-11-09 15:03:00,清水,Ｃ大阪,1,4,0.204,0.577,0.219,D,A,False
