順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,鹿島アントラーズ,22,8,7,7,0,1,0,1,15,4,+11,,2026,最新節,20260329
2,ＦＣ町田ゼルビア,17,8,6,4,2,2,1,1,13,12,+1,,2026,最新節,20260329
3,ＦＣ東京,16,8,6,3,3,2,1,1,10,7,+3,,2026,最新節,20260329
4,東京ヴェルディ,13,8,5,3,2,3,3,0,10,11,-1,,2026,最新節,20260329
5,浦和レッズ,11,8,3,3,0,5,3,2,11,8,+3,,2026,最新節,20260329
6,川崎フロンターレ,11,8,4,2,2,4,3,1,11,14,-3,,2026,最新節,20260329
7,横浜Ｆ・マリノス,9,8,3,3,0,5,5,0,12,12,+0,,2026,最新節,20260329
8,柏レイソル,8,8,3,2,1,5,5,0,11,13,-2,,2026,最新節,20260329
9,水戸ホーリーホック,8,8,2,1,1,6,3,3,8,14,-6,,2026,最新節,20260329
10,ジェフユナイテッド千葉,5,8,1,1,0,7,5,2,6,12,-6,,2026,最新節,20260329
1,ヴィッセル神戸,16,8,5,4,1,3,1,2,13,7,+6,,2026,最新節,20260329
2,京都サンガF.C.,14,8,5,3,2,3,2,1,10,8,+2,,2026,最新節,20260329
3,ガンバ大阪,14,8,5,2,3,3,1,2,11,11,+0,,2026,最新節,20260329
4,清水エスパルス,13,8,4,2,2,4,1,3,9,7,+2,,2026,最新節,20260329
5,名古屋グランパス,13,8,4,3,1,4,2,2,11,10,+1,,2026,最新節,20260329
6,Ｖ・ファーレン長崎,12,8,4,4,0,4,4,0,10,11,-1,,2026,最新節,20260329
7,サンフレッチェ広島,11,8,4,3,1,4,4,0,12,12,+0,,2026,最新節,20260329
8,ファジアーノ岡山,11,8,3,2,1,5,2,3,8,8,+0,,2026,最新節,20260329
9,セレッソ大阪,11,8,4,2,2,4,3,1,7,7,+0,,2026,最新節,20260329
10,アビスパ福岡,5,8,2,0,2,6,5,1,6,16,-10,,2026,最新節,20260329
