順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,鹿島アントラーズ,45,18,15,13,2,3,1,2,29,9,+20,,2026,最新節,20260530
2,ＦＣ東京,37,18,13,9,4,5,3,2,28,16,+12,,2026,最新節,20260530
3,ＦＣ町田ゼルビア,37,18,13,8,5,5,2,3,23,19,+4,,2026,最新節,20260530
4,川崎フロンターレ,28,18,10,7,3,8,7,1,23,27,-4,,2026,最新節,20260530
5,東京ヴェルディ,28,18,10,7,3,8,7,1,19,25,-6,,2026,最新節,20260530
6,浦和レッズ,25,18,7,7,0,11,7,4,25,18,+7,,2026,最新節,20260530
7,横浜Ｆ・マリノス,20,18,6,6,0,12,10,2,28,29,-1,,2026,最新節,20260530
8,柏レイソル,20,18,7,6,1,11,11,0,21,24,-3,,2026,最新節,20260530
9,水戸ホーリーホック,18,18,6,2,4,12,8,4,19,35,-16,,2026,最新節,20260530
10,ジェフユナイテッド千葉,12,18,3,3,0,15,12,3,18,31,-13,,2026,最新節,20260530
1,ヴィッセル神戸,35,18,11,9,2,7,3,4,27,21,+6,,2026,最新節,20260530
2,セレッソ大阪,31,18,11,7,4,7,5,2,26,19,+7,,2026,最新節,20260530
3,名古屋グランパス,31,18,10,8,2,8,5,3,31,28,+3,,2026,最新節,20260530
4,サンフレッチェ広島,30,18,10,8,2,8,6,2,29,21,+8,,2026,最新節,20260530
5,ガンバ大阪,28,18,10,5,5,8,5,3,26,22,+4,,2026,最新節,20260530
6,ファジアーノ岡山,26,18,8,6,2,10,6,4,24,25,-1,,2026,最新節,20260530
7,清水エスパルス,24,18,8,4,4,10,6,4,19,21,-2,,2026,最新節,20260530
8,京都サンガF.C.,23,18,8,5,3,10,8,2,19,26,-7,,2026,最新節,20260530
9,Ｖ・ファーレン長崎,21,18,7,6,1,11,10,1,20,28,-8,,2026,最新節,20260530
10,アビスパ福岡,21,18,7,3,4,11,7,4,17,27,-10,,2026,最新節,20260530
