順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,鹿島アントラーズ,34,14,11,10,1,3,1,2,22,8,+14,,2026,最新節,20260506
2,ＦＣ東京,32,14,11,8,3,3,1,2,26,11,+15,,2026,最新節,20260506
3,ＦＣ町田ゼルビア,25,13,9,5,4,4,2,2,17,18,-1,,2026,最新節,20260506
4,東京ヴェルディ,24,13,9,6,3,4,4,0,17,16,+1,,2026,最新節,20260506
5,川崎フロンターレ,20,14,7,5,2,7,6,1,18,24,-6,,2026,最新節,20260506
6,浦和レッズ,18,14,5,5,0,9,6,3,20,16,+4,,2026,最新節,20260506
7,水戸ホーリーホック,18,14,6,2,4,8,4,4,17,24,-7,,2026,最新節,20260506
8,横浜Ｆ・マリノス,16,14,5,5,0,9,8,1,21,25,-4,,2026,最新節,20260506
9,柏レイソル,11,14,4,3,1,10,10,0,15,21,-6,,2026,最新節,20260506
10,ジェフユナイテッド千葉,9,14,2,2,0,12,9,3,13,23,-10,,2026,最新節,20260506
1,ヴィッセル神戸,26,13,8,7,1,5,2,3,22,15,+7,,2026,最新節,20260506
2,名古屋グランパス,25,14,8,6,2,6,3,3,23,17,+6,,2026,最新節,20260506
3,ガンバ大阪,25,15,9,4,5,6,3,3,23,18,+5,,2026,最新節,20260506
4,セレッソ大阪,21,14,8,4,4,6,5,1,13,13,+0,,2026,最新節,20260506
5,サンフレッチェ広島,20,14,7,5,2,7,6,1,19,18,+1,,2026,最新節,20260506
6,清水エスパルス,20,14,6,4,2,8,4,4,16,15,+1,,2026,最新節,20260506
7,ファジアーノ岡山,20,14,6,4,2,8,4,4,16,20,-4,,2026,最新節,20260506
8,京都サンガF.C.,19,13,7,4,3,6,5,1,17,17,+0,,2026,最新節,20260506
9,アビスパ福岡,18,15,6,3,3,9,6,3,15,24,-9,,2026,最新節,20260506
10,Ｖ・ファーレン長崎,16,14,5,5,0,9,8,1,14,21,-7,,2026,最新節,20260506
