順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ＦＣ町田ゼルビア,9,4,3,2,1,1,0,1,9,7,+2,,2026,最新節,20260228
2,東京ヴェルディ,8,3,3,2,1,0,0,0,7,4,+3,,2026,最新節,20260228
3,浦和レッズ,7,3,2,2,0,1,0,1,5,1,+4,,2026,最新節,20260228
4,鹿島アントラーズ,7,3,2,2,0,1,0,1,4,1,+3,,2026,最新節,20260228
5,ＦＣ東京,7,3,3,1,2,0,0,0,4,3,+1,,2026,最新節,20260228
6,川崎フロンターレ,5,3,2,1,1,1,1,0,6,5,+1,,2026,最新節,20260228
7,水戸ホーリーホック,3,3,1,0,1,2,1,1,4,6,-2,,2026,最新節,20260228
8,ジェフユナイテッド千葉,2,4,0,0,0,4,2,2,2,5,-3,,2026,最新節,20260228
9,横浜Ｆ・マリノス,0,3,0,0,0,3,3,0,2,6,-4,,2026,最新節,20260228
10,柏レイソル,0,3,0,0,0,3,3,0,4,9,-5,,2026,最新節,20260228
1,京都サンガF.C.,9,4,3,2,1,1,0,1,6,3,+3,,2026,最新節,20260228
2,サンフレッチェ広島,8,4,3,2,1,1,1,0,7,5,+2,,2026,最新節,20260228
3,ヴィッセル神戸,8,4,3,2,1,1,1,0,5,3,+2,,2026,最新節,20260228
4,ガンバ大阪,6,3,2,1,1,1,0,1,2,1,+1,,2026,最新節,20260228
5,名古屋グランパス,5,3,2,1,1,1,1,0,2,3,-1,,2026,最新節,20260228
6,セレッソ大阪,4,3,1,1,0,2,1,1,3,2,+1,,2026,最新節,20260228
7,清水エスパルス,4,3,1,1,0,2,1,1,2,2,+0,,2026,最新節,20260228
8,Ｖ・ファーレン長崎,3,3,1,1,0,2,2,0,4,6,-2,,2026,最新節,20260228
9,ファジアーノ岡山,2,3,0,0,0,3,1,2,3,4,-1,,2026,最新節,20260228
10,アビスパ福岡,2,4,1,0,1,3,3,0,2,7,-5,,2026,最新節,20260228
