順位,チーム,勝点,試合,勝,分,負,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date,competition_key,preseason
1,ＦＣ町田ゼルビア 町田,13,5,4,1,0,15,4,11,W W W D W,2026,最新節,20260905,regular_2026_27,0
2,柏レイソル 柏,12,5,4,0,1,10,6,4,W W W W L,2026,最新節,20260905,regular_2026_27,0
3,鹿島アントラーズ 鹿島,12,5,4,0,1,13,10,3,W W W W L,2026,最新節,20260905,regular_2026_27,0
4,サンフレッチェ広島 広島,11,5,3,2,0,11,2,9,W W D D W,2026,最新節,20260905,regular_2026_27,0
5,ヴィッセル神戸 神戸,10,5,3,1,1,6,3,3,W D L W W,2026,最新節,20260905,regular_2026_27,0
6,セレッソ大阪 Ｃ大阪,9,5,3,0,2,5,5,0,W L W L W,2026,最新節,20260905,regular_2026_27,0
7,水戸ホーリーホック 水戸,8,5,2,2,1,10,7,3,L D W D W,2026,最新節,20260905,regular_2026_27,0
8,ＦＣ東京 FC東京,8,5,2,2,1,9,8,1,L D W W D,2026,最新節,20260905,regular_2026_27,0
9,横浜Ｆ・マリノス 横浜FM,7,5,2,1,2,8,8,0,L W W L D,2026,最新節,20260905,regular_2026_27,0
10,ファジアーノ岡山 岡山,7,5,2,1,2,5,5,0,L W D L W,2026,最新節,20260905,regular_2026_27,0
11,川崎フロンターレ 川崎Ｆ,6,5,1,3,1,9,8,1,D D D W L,2026,最新節,20260905,regular_2026_27,0
12,ガンバ大阪 Ｇ大阪,6,5,1,3,1,8,9,-1,W D L D D,2026,最新節,20260905,regular_2026_27,0
13,名古屋グランパス 名古屋,6,5,2,0,3,6,8,-2,L L W W L,2026,最新節,20260905,regular_2026_27,0
14,浦和レッズ 浦和,6,5,2,0,3,11,15,-4,L L L W W,2026,最新節,20260905,regular_2026_27,0
15,京都サンガF.C. 京都,5,5,1,2,2,7,9,-2,L D L W D,2026,最新節,20260905,regular_2026_27,0
16,清水エスパルス 清水,4,5,1,1,3,2,4,-2,W L L L D,2026,最新節,20260905,regular_2026_27,0
17,Ｖ・ファーレン長崎 長崎,4,5,1,1,3,6,11,-5,W L L L D,2026,最新節,20260905,regular_2026_27,0
18,アビスパ福岡 福岡,3,5,1,0,4,8,9,-1,L W L L L,2026,最新節,20260905,regular_2026_27,0
19,東京ヴェルディ 東京Ｖ,2,5,0,2,3,2,8,-6,D L D L L,2026,最新節,20260905,regular_2026_27,0
20,ジェフユナイテッド千葉 千葉,0,5,0,0,5,3,15,-12,L L L L L,2026,最新節,20260905,regular_2026_27,0
