順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ベガルタ仙台,40,16,15,10,5,1,1,0,30,12,+18,,2026,最新節,20260516
2,湘南ベルマーレ,31,16,11,8,3,5,4,1,24,14,+10,,2026,最新節,20260516
3,ブラウブリッツ秋田,29,16,9,9,0,7,5,2,19,13,+6,,2026,最新節,20260516
4,ＳＣ相模原,27,16,9,7,2,7,5,2,28,25,+3,,2026,最新節,20260516
5,横浜ＦＣ,23,16,8,6,2,8,7,1,30,27,+3,,2026,最新節,20260516
6,ザスパ群馬,20,16,6,5,1,10,7,3,18,31,-13,,2026,最新節,20260516
7,モンテディオ山形,19,16,7,5,2,9,9,0,17,21,-4,,2026,最新節,20260516
8,栃木シティ,18,16,6,4,2,10,8,2,17,32,-15,,2026,最新節,20260516
9,栃木ＳＣ,17,16,5,4,1,11,8,3,23,27,-4,,2026,最新節,20260516
10,ヴァンラーレ八戸,16,16,4,4,0,12,8,4,14,18,-4,,2026,最新節,20260516
1,ヴァンフォーレ甲府,32,16,11,10,1,5,5,0,19,11,+8,,2026,最新節,20260516
2,いわきＦＣ,28,16,10,7,3,6,5,1,21,17,+4,,2026,最新節,20260516
3,北海道コンサドーレ札幌,28,16,10,8,2,6,6,0,23,21,+2,,2026,最新節,20260516
4,ＲＢ大宮アルディージャ,27,16,9,8,1,7,6,1,35,26,+9,,2026,最新節,20260516
5,ＦＣ岐阜,27,16,9,8,1,7,6,1,22,22,+0,,2026,最新節,20260516
6,藤枝ＭＹＦＣ,26,16,8,5,3,8,3,5,18,17,+1,,2026,最新節,20260516
7,松本山雅ＦＣ,23,16,7,6,1,9,6,3,27,17,+10,,2026,最新節,20260516
8,ジュビロ磐田,22,16,8,4,4,8,6,2,15,20,-5,,2026,最新節,20260516
9,福島ユナイテッドＦＣ,16,16,5,4,1,11,9,2,25,35,-10,,2026,最新節,20260516
10,ＡＣ長野パルセイロ,11,16,3,2,1,13,10,3,13,32,-19,,2026,最新節,20260516
1,カターレ富山,37,16,13,10,3,3,2,1,34,17,+17,,2026,最新節,20260516
2,高知ユナイテッドＳＣ,30,16,10,8,2,6,4,2,23,18,+5,,2026,最新節,20260516
3,アルビレックス新潟,29,16,10,7,3,6,4,2,17,15,+2,,2026,最新節,20260516
4,徳島ヴォルティス,28,16,9,9,0,7,6,1,33,19,+14,,2026,最新節,20260516
5,愛媛ＦＣ,25,16,8,7,1,8,6,2,23,16,+7,,2026,最新節,20260516
6,ツエーゲン金沢,22,16,8,4,4,8,6,2,12,20,-8,,2026,最新節,20260516
7,ＦＣ今治,19,16,6,5,1,10,8,2,12,15,-3,,2026,最新節,20260516
8,奈良クラブ,18,16,6,4,2,10,8,2,19,31,-12,,2026,最新節,20260516
9,ＦＣ大阪,17,16,5,3,2,11,7,4,12,15,-3,,2026,最新節,20260516
10,カマタマーレ讃岐,15,16,5,4,1,11,10,1,10,29,-19,,2026,最新節,20260516
1,テゲバジャーロ宮崎,43,16,14,14,0,2,1,1,31,8,+23,,2026,最新節,20260516
2,サガン鳥栖,30,16,10,8,2,6,4,2,21,11,+10,,2026,最新節,20260516
3,鹿児島ユナイテッドＦＣ,27,16,10,6,4,6,5,1,16,13,+3,,2026,最新節,20260516
4,レノファ山口ＦＣ,26,16,9,7,2,7,6,1,22,20,+2,,2026,最新節,20260516
5,ロアッソ熊本,25,16,8,8,0,8,7,1,18,17,+1,,2026,最新節,20260516
6,ガイナーレ鳥取,22,16,8,5,3,8,7,1,17,23,-6,,2026,最新節,20260516
7,大分トリニータ,21,16,7,6,1,9,8,1,17,16,+1,,2026,最新節,20260516
8,レイラック滋賀ＦＣ,16,16,5,5,0,11,10,1,12,26,-14,,2026,最新節,20260516
9,ギラヴァンツ北九州,15,16,4,4,0,12,9,3,16,26,-10,,2026,最新節,20260516
10,ＦＣ琉球,15,16,5,2,3,11,8,3,10,20,-10,,2026,最新節,20260516
