節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result
第５節第２日,j1_2025_03091403_京都_福岡,2025-03-09 14:03:00,京都,福岡,0,1,0.6842,True,0.323,0.417,0.261,H,A,False,H
第５節第３日,j1_2025_04091903_川崎Ｆ_横浜FM,2025-04-09 19:03:00,川崎Ｆ,横浜FM,3,3,0.6842,True,0.368,0.412,0.22,H,D,False,H
第５節第４日,j1_2025_07021903_神戸_広島,2025-07-02 19:03:00,神戸,広島,1,0,0.0526,True,0.256,0.43,0.313,A,H,False,A
第６節第１日,j1_2025_03151403_東京Ｖ_名古屋,2025-03-15 14:03:00,東京Ｖ,名古屋,2,1,0.6843,True,0.257,0.398,0.345,A,H,False,A
第６節第１日,j1_2025_03151403_横浜FC_Ｃ大阪,2025-03-15 14:03:00,横浜FC,Ｃ大阪,2,0,0.0,False,0.232,0.409,0.359,A,H,False,A
第６節第１日,j1_2025_03151403_福岡_FC東京,2025-03-15 14:03:00,福岡,FC東京,1,0,0.3158,True,0.282,0.418,0.3,A,H,False,A
第６節第１日,j1_2025_03151403_町田_新潟,2025-03-15 14:03:00,町田,新潟,1,0,1.1052,True,0.35,0.409,0.241,H,H,True,H
第６節第２日,j1_2025_03161303_清水_京都,2025-03-16 13:03:00,清水,京都,1,2,-0.5263,False,0.322,0.421,0.257,H,A,False,H
第６節第２日,j1_2025_03161403_岡山_川崎Ｆ,2025-03-16 14:03:00,岡山,川崎Ｆ,0,0,-0.1053,False,0.252,0.416,0.333,A,D,False,A
第６節第２日,j1_2025_03161403_鹿島_浦和,2025-03-16 14:03:00,鹿島,浦和,1,1,1.3685,True,0.322,0.414,0.264,H,D,False,H
第６節第２日,j1_2025_03161403_横浜FM_Ｇ大阪,2025-03-16 14:03:00,横浜FM,Ｇ大阪,2,0,0.3158,True,0.272,0.412,0.316,A,H,False,A
第６節第２日,j1_2025_03161403_広島_柏,2025-03-16 14:03:00,広島,柏,1,1,0.0,False,0.325,0.43,0.245,H,D,False,H
第６節第２日,j1_2025_03161503_湘南_神戸,2025-03-16 15:03:00,湘南,神戸,1,2,-0.421,False,0.287,0.41,0.304,A,A,True,A
第７節第１日,j1_2025_03281903_Ｃ大阪_浦和,2025-03-28 19:03:00,Ｃ大阪,浦和,1,1,0.6842,True,0.332,0.422,0.247,H,D,False,H
第７節第２日,j1_2025_03291300_岡山_横浜FM,2025-03-29 13:00:00,岡山,横浜FM,1,0,0.4211,True,0.32,0.401,0.279,H,H,True,H
第７節第２日,j1_2025_03291303_清水_湘南,2025-03-29 13:03:00,清水,湘南,3,0,0.7369,True,0.35,0.407,0.242,H,H,True,H
