順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ベガルタ仙台,3,1,1,1,0,0,0,0,4,1,+3,,2026,最新節,20260208
2,ブラウブリッツ秋田,3,1,1,1,0,0,0,0,2,1,+1,,2026,最新節,20260208
2,モンテディオ山形,3,1,1,1,0,0,0,0,2,1,+1,,2026,最新節,20260208
4,横浜ＦＣ,0,1,0,0,0,1,1,0,1,2,-1,,2026,最新節,20260208
4,湘南ベルマーレ,0,1,0,0,0,1,1,0,1,2,-1,,2026,最新節,20260208
6,栃木シティ,0,1,0,0,0,1,1,0,1,4,-3,,2026,最新節,20260208
,ヴァンラーレ八戸,0,0,0,0,0,0,0,0,0,0,+0,,2026,最新節,20260208
,栃木ＳＣ,0,0,0,0,0,0,0,0,0,0,+0,,2026,最新節,20260208
,ザスパ群馬,0,0,0,0,0,0,0,0,0,0,+0,,2026,最新節,20260208
,ＳＣ相模原,0,0,0,0,0,0,0,0,0,0,+0,,2026,最新節,20260208
