順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ベガルタ仙台,29,11,11,7,4,0,0,0,22,6,+16,,2026,最新節,20260425
2,湘南ベルマーレ,24,11,8,7,1,3,2,1,20,9,+11,,2026,最新節,20260425
3,ブラウブリッツ秋田,22,11,7,7,0,4,3,1,14,10,+4,,2026,最新節,20260425
4,モンテディオ山形,17,11,6,5,1,5,5,0,12,11,+1,,2026,最新節,20260425
5,ＳＣ相模原,15,11,5,4,1,6,5,1,19,19,+0,,2026,最新節,20260425
6,横浜ＦＣ,14,11,5,4,1,6,6,0,19,18,+1,,2026,最新節,20260425
7,栃木ＳＣ,13,11,4,4,0,7,6,1,18,20,-2,,2026,最新節,20260425
8,ヴァンラーレ八戸,12,11,3,3,0,8,5,3,11,11,+0,,2026,最新節,20260425
9,ザスパ群馬,10,11,3,2,1,8,6,2,11,26,-15,,2026,最新節,20260425
10,栃木シティ,9,11,3,2,1,8,7,1,11,27,-16,,2026,最新節,20260425
1,いわきＦＣ,26,11,9,7,2,2,1,1,17,9,+8,,2026,最新節,20260425
2,ＦＣ岐阜,21,11,7,6,1,4,3,1,18,13,+5,,2026,最新節,20260425
3,藤枝ＭＹＦＣ,21,11,7,5,2,4,2,2,15,13,+2,,2026,最新節,20260425
4,ヴァンフォーレ甲府,20,11,7,6,1,4,4,0,13,8,+5,,2026,最新節,20260425
5,ＲＢ大宮アルディージャ,19,11,6,6,0,5,4,1,25,16,+9,,2026,最新節,20260425
6,松本山雅ＦＣ,18,11,6,5,1,5,4,1,23,14,+9,,2026,最新節,20260425
7,ジュビロ磐田,13,11,5,2,3,6,5,1,8,13,-5,,2026,最新節,20260425
8,北海道コンサドーレ札幌,13,11,5,3,2,6,6,0,10,16,-6,,2026,最新節,20260425
9,福島ユナイテッドＦＣ,8,11,2,2,0,9,7,2,16,28,-12,,2026,最新節,20260425
10,ＡＣ長野パルセイロ,6,11,1,1,0,10,7,3,9,24,-15,,2026,最新節,20260425
1,徳島ヴォルティス,27,11,9,9,0,2,2,0,29,6,+23,,2026,最新節,20260425
2,カターレ富山,24,11,9,6,3,2,2,0,26,15,+11,,2026,最新節,20260425
3,高知ユナイテッドＳＣ,21,11,7,6,1,4,3,1,18,16,+2,,2026,最新節,20260425
4,アルビレックス新潟,19,11,7,4,3,4,3,1,12,11,+1,,2026,最新節,20260425
5,愛媛ＦＣ,16,11,5,4,1,6,4,2,12,12,+0,,2026,最新節,20260425
6,ツエーゲン金沢,14,11,5,2,3,6,4,2,9,16,-7,,2026,最新節,20260425
7,カマタマーレ讃岐,13,11,4,4,0,7,6,1,8,19,-11,,2026,最新節,20260425
8,ＦＣ大阪,11,11,3,2,1,8,5,3,6,9,-3,,2026,最新節,20260425
9,ＦＣ今治,10,11,3,2,1,8,6,2,5,10,-5,,2026,最新節,20260425
10,奈良クラブ,10,11,3,2,1,8,6,2,14,25,-11,,2026,最新節,20260425
1,テゲバジャーロ宮崎,30,11,10,10,0,1,1,0,24,7,+17,,2026,最新節,20260425
2,鹿児島ユナイテッドＦＣ,23,11,8,6,2,3,2,1,14,8,+6,,2026,最新節,20260425
3,サガン鳥栖,18,11,6,5,1,5,4,1,12,9,+3,,2026,最新節,20260425
4,レノファ山口ＦＣ,18,11,6,5,1,5,4,1,13,12,+1,,2026,最新節,20260425
5,大分トリニータ,17,11,6,5,1,5,5,0,15,12,+3,,2026,最新節,20260425
6,ロアッソ熊本,13,11,4,4,0,7,6,1,11,15,-4,,2026,最新節,20260425
7,レイラック滋賀ＦＣ,13,10,4,4,0,6,5,1,7,12,-5,,2026,最新節,20260425
8,ガイナーレ鳥取,11,10,4,2,2,6,5,1,6,12,-6,,2026,最新節,20260425
9,ギラヴァンツ北九州,10,11,3,3,0,8,7,1,10,17,-7,,2026,最新節,20260425
10,ＦＣ琉球,9,11,3,1,2,8,6,2,8,16,-8,,2026,最新節,20260425
