順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,鹿島アントラーズ,23,9,7,7,0,2,0,2,16,5,+11,,2026,最新節,20260410
2,ＦＣ東京,20,10,7,4,3,3,1,2,13,7,+6,,2026,最新節,20260410
3,ＦＣ町田ゼルビア,19,10,7,4,3,3,2,1,13,15,-2,,2026,最新節,20260410
4,川崎フロンターレ,14,9,5,3,2,4,3,1,14,16,-2,,2026,最新節,20260410
5,東京ヴェルディ,13,9,5,3,2,4,4,0,12,14,-2,,2026,最新節,20260410
6,浦和レッズ,11,9,3,3,0,6,4,2,13,11,+2,,2026,最新節,20260410
7,柏レイソル,11,9,4,3,1,5,5,0,14,13,+1,,2026,最新節,20260410
8,水戸ホーリーホック,10,9,3,1,2,6,3,3,9,15,-6,,2026,最新節,20260410
9,横浜Ｆ・マリノス,9,9,3,3,0,6,6,0,12,15,-3,,2026,最新節,20260410
10,ジェフユナイテッド千葉,8,9,2,2,0,7,5,2,9,14,-5,,2026,最新節,20260410
1,ヴィッセル神戸,22,10,7,6,1,3,1,2,19,8,+11,,2026,最新節,20260410
2,ガンバ大阪,17,9,6,3,3,3,1,2,13,11,+2,,2026,最新節,20260410
3,名古屋グランパス,16,9,5,4,1,4,2,2,14,10,+4,,2026,最新節,20260410
4,清水エスパルス,16,10,5,3,2,5,2,3,12,9,+3,,2026,最新節,20260410
5,京都サンガF.C.,14,9,5,3,2,4,3,1,10,10,+0,,2026,最新節,20260410
6,Ｖ・ファーレン長崎,12,9,4,4,0,5,5,0,10,14,-4,,2026,最新節,20260410
7,サンフレッチェ広島,11,9,4,3,1,5,5,0,12,13,-1,,2026,最新節,20260410
8,ファジアーノ岡山,11,9,3,2,1,6,3,3,9,12,-3,,2026,最新節,20260410
9,セレッソ大阪,11,9,4,2,2,5,4,1,7,10,-3,,2026,最新節,20260410
10,アビスパ福岡,8,9,3,1,2,6,5,1,7,16,-9,,2026,最新節,20260410
