順位,チーム,勝点,試合,勝,90勝,PK勝,敗,90敗,PK敗,得点,失点,得失点差,直近試合の勝敗,season,round,fetched_date
1,ベガルタ仙台,11,4,4,3,1,0,0,0,7,2,+5,,2026,最新節,20260304
2,湘南ベルマーレ,9,4,3,3,0,1,1,0,9,3,+6,,2026,最新節,20260304
3,ブラウブリッツ秋田,9,4,3,3,0,1,1,0,7,5,+2,,2026,最新節,20260304
4,モンテディオ山形,8,4,3,2,1,1,1,0,6,5,+1,,2026,最新節,20260304
5,ザスパ群馬,4,3,1,1,0,2,1,1,4,4,+0,,2026,最新節,20260304
6,ヴァンラーレ八戸,4,3,1,1,0,2,1,1,1,1,+0,,2026,最新節,20260304
7,栃木ＳＣ,3,3,1,1,0,2,2,0,6,4,+2,,2026,最新節,20260304
8,横浜ＦＣ,3,4,1,1,0,3,3,0,6,8,-2,,2026,最新節,20260304
9,ＳＣ相模原,3,3,1,1,0,2,2,0,3,7,-4,,2026,最新節,20260304
10,栃木シティ,0,4,0,0,0,4,4,0,3,13,-10,,2026,最新節,20260304
1,ＲＢ大宮アルディージャ,12,4,4,4,0,0,0,0,13,4,+9,,2026,最新節,20260304
2,ヴァンフォーレ甲府,11,4,4,3,1,0,0,0,8,2,+6,,2026,最新節,20260304
3,ＦＣ岐阜,11,4,4,3,1,0,0,0,6,2,+4,,2026,最新節,20260304
4,いわきＦＣ,7,4,2,2,0,2,1,1,5,3,+2,,2026,最新節,20260304
5,藤枝ＭＹＦＣ,7,4,2,2,0,2,1,1,5,4,+1,,2026,最新節,20260304
6,ジュビロ磐田,4,4,2,0,2,2,2,0,2,4,-2,,2026,最新節,20260304
7,松本山雅ＦＣ,3,4,1,1,0,3,3,0,3,6,-3,,2026,最新節,20260304
8,北海道コンサドーレ札幌,2,4,1,0,1,3,3,0,4,7,-3,,2026,最新節,20260304
9,ＡＣ長野パルセイロ,2,4,0,0,0,4,2,2,2,5,-3,,2026,最新節,20260304
10,福島ユナイテッドＦＣ,1,4,0,0,0,4,3,1,2,13,-11,,2026,最新節,20260304
1,高知ユナイテッドＳＣ,10,4,3,3,0,1,0,1,10,5,+5,,2026,最新節,20260304
2,徳島ヴォルティス,9,4,3,3,0,1,1,0,12,3,+9,,2026,最新節,20260304
3,アルビレックス新潟,9,4,3,3,0,1,1,0,6,4,+2,,2026,最新節,20260304
4,カターレ富山,8,4,3,2,1,1,1,0,9,5,+4,,2026,最新節,20260304
5,ツエーゲン金沢,6,4,2,1,1,2,1,1,5,5,+0,,2026,最新節,20260304
6,ＦＣ今治,5,4,2,1,1,2,2,0,2,3,-1,,2026,最新節,20260304
7,奈良クラブ,4,4,1,1,0,3,2,1,3,10,-7,,2026,最新節,20260304
8,愛媛ＦＣ,3,4,1,0,1,3,2,1,4,6,-2,,2026,最新節,20260304
9,ＦＣ大阪,3,4,1,0,1,3,2,1,2,5,-3,,2026,最新節,20260304
10,カマタマーレ讃岐,3,4,1,1,0,3,3,0,2,9,-7,,2026,最新節,20260304
1,テゲバジャーロ宮崎,12,4,4,4,0,0,0,0,10,4,+6,,2026,最新節,20260304
2,ロアッソ熊本,10,4,3,3,0,1,0,1,10,4,+6,,2026,最新節,20260304
3,大分トリニータ,9,4,3,3,0,1,1,0,7,3,+4,,2026,最新節,20260304
4,鹿児島ユナイテッドＦＣ,9,4,3,3,0,1,1,0,7,4,+3,,2026,最新節,20260304
5,ガイナーレ鳥取,5,4,2,1,1,2,2,0,4,6,-2,,2026,最新節,20260304
6,レノファ山口ＦＣ,4,4,1,1,0,3,2,1,3,4,-1,,2026,最新節,20260304
7,レイラック滋賀ＦＣ,4,4,1,1,0,3,2,1,3,5,-2,,2026,最新節,20260304
8,ＦＣ琉球,4,4,2,0,2,2,2,0,3,7,-4,,2026,最新節,20260304
9,サガン鳥栖,3,4,1,0,1,3,2,1,4,6,-2,,2026,最新節,20260304
10,ギラヴァンツ北九州,0,4,0,0,0,4,4,0,3,11,-8,,2026,最新節,20260304
