ticket,hits,total,hit_rate,draw_count,sway_count,cluster_changes,basis_changes,role_family,role_unique_only,role_same_family,role_diff_family,role_mode,topology_mode,topology_draw_cluster_count,topology_swing_cluster_count,topology_hold_cluster_count
ticket01,2,12,0.16666666666666666,5.0,0.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,none,0.0,0.0,0.0,none,balanced,12.0,12.0,12.0
ticket02,3,12,0.25,3.0,2.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,2.0,0.0,none,balanced,12.0,12.0,12.0
ticket03,3,12,0.25,3.0,2.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,swing,1.0,0.0,1.0,none,balanced,12.0,12.0,12.0
ticket04,4,12,0.3333333333333333,5.0,2.0,draw=0 overlap=0 swing=0 neutral=0 hold=2,side=0 drawcmp=0 trap=0 split=0 balanced=2,none,0.0,0.0,0.0,none,balanced,12.0,12.0,12.0
ticket05,3,12,0.25,5.0,2.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,2.0,0.0,none,balanced,12.0,12.0,12.0
ticket06,2,12,0.16666666666666666,4.0,1.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,0.0,1.0,skip,balanced,12.0,12.0,12.0
ticket07,2,12,0.16666666666666666,5.0,2.0,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1,swing,1.0,1.0,0.0,none,balanced,12.0,12.0,12.0
ticket08,3,12,0.25,4.0,2.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,0.0,2.0,none,balanced,12.0,12.0,12.0
ticket09,4,12,0.3333333333333333,5.0,2.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,2.0,0.0,none,balanced,12.0,12.0,12.0
ticket10,2,12,0.16666666666666666,5.0,2.0,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1,swing,1.0,1.0,0.0,none,balanced,12.0,12.0,12.0
