diff_type,match_no,home_team,away_team,league
missing_in_toto_order,,川崎Ｆ,鹿島,j1
missing_in_toto_order,,札幌,大分,j2
missing_in_toto_order,,栃木Ｃ,仙台,j2
missing_in_toto_order,,横浜FC,今治,j2
missing_in_toto_order,,湘南,秋田,j2
missing_in_toto_order,,鳥栖,いわき,j2
matched,1,福岡,広島,
matched,2,浦和,東京V,
matched,3,清水,千葉,
matched,4,岡山,京都,
matched,5,ＦＣ東京,名古屋,
matched,6,長崎,C大阪,
matched,7,横浜ＦM,水戸,
matched,8,町田,柏,
matched,9,G大阪,神戸,
matched,10,山形,富山,
matched,11,藤枝,大宮,
matched,12,新潟,磐田,
matched,13,甲府,徳島,
