diff_type,match_no,home_team,away_team,league
missing_in_toto_order,,栃木Ｃ,八戸,j2
matched,1,千葉,水戸,
matched,2,広島,清水,
matched,3,福岡,長崎,
matched,4,神戸,名古屋,
matched,5,横浜ＦM,ＦＣ東京,
matched,6,京都,岡山,
matched,7,G大阪,C大阪,
matched,8,浦和,東京V,
matched,9,川崎F,鹿島,
matched,10,町田,柏,
matched,11,秋田,湘南,
matched,12,甲府,札幌,
matched,13,山形,横浜ＦＣ,
