snapshot_date,asof_date,league,season,source_file,page_label,title,section_title,table_index,team_name,team_key,headers_json,values_json
20260827,20260824,j1,2026,AGI KAGI.html,"AGI,KAGI","リーグサマリー:2026/27 J1 AGI,KAGI | データによってサッカーはもっと輝く | Football LAB",KAGI,2,岡山,岡山,"[""KAGI"", ""被ゴール"", ""被シュート"", ""成績順位""]","[""72.8"", ""0.67"", ""4.67"", ""9""]"
20260827,20260824,j1,2026,AGI KAGI.html,"AGI,KAGI","リーグサマリー:2026/27 J1 AGI,KAGI | データによってサッカーはもっと輝く | Football LAB",KAGI,2,柏,柏,"[""KAGI"", ""被ゴール"", ""被シュート"", ""成績順位""]","[""66.3"", ""1.33"", ""10.67"", ""2""]"
20260827,20260824,j1,2026,AGI KAGI.html,"AGI,KAGI","リーグサマリー:2026/27 J1 AGI,KAGI | データによってサッカーはもっと輝く | Football LAB",KAGI,2,福岡,福岡,"[""KAGI"", ""被ゴール"", ""被シュート"", ""成績順位""]","[""56.9"", ""1"", ""8.67"", ""12""]"
20260827,20260824,j1,2026,AGI KAGI.html,"AGI,KAGI","リーグサマリー:2026/27 J1 AGI,KAGI | データによってサッカーはもっと輝く | Football LAB",KAGI,2,広島,広島,"[""KAGI"", ""被ゴール"", ""被シュート"", ""成績順位""]","[""56.4"", ""0.33"", ""9"", ""4""]"
20260827,20260824,j1,2026,AGI KAGI.html,"AGI,KAGI","リーグサマリー:2026/27 J1 AGI,KAGI | データによってサッカーはもっと輝く | Football LAB",KAGI,2,町田,町田,"[""KAGI"", ""被ゴール"", ""被シュート"", ""成績順位""]","[""54.8"", ""0.67"", ""13.67"", ""1""]"
20260827,20260824,j1,2026,AGI KAGI.html,"AGI,KAGI","リーグサマリー:2026/27 J1 AGI,KAGI | データによってサッカーはもっと輝く | Football LAB",KAGI,2,名古屋,名古屋,"[""KAGI"", ""被ゴール"", ""被シュート"", ""成績順位""]","[""54.8"", ""1.33"", ""14"", ""13""]"
20260827,20260824,j1,2026,AGI KAGI.html,"AGI,KAGI","リーグサマリー:2026/27 J1 AGI,KAGI | データによってサッカーはもっと輝く | Football LAB",KAGI,2,鹿島,鹿島,"[""KAGI"", ""被ゴール"", ""被シュート"", ""成績順位""]","[""54.0"", ""1.67"", ""13.67"", ""3""]"
20260827,20260824,j1,2026,AGI KAGI.html,"AGI,KAGI","リーグサマリー:2026/27 J1 AGI,KAGI | データによってサッカーはもっと輝く | Football LAB",KAGI,2,FC東京,FC東京,"[""KAGI"", ""被ゴール"", ""被シュート"", ""成績順位""]","[""53.8"", ""2.33"", ""11.67"", ""11""]"
20260827,20260824,j1,2026,AGI KAGI.html,"AGI,KAGI","リーグサマリー:2026/27 J1 AGI,KAGI | データによってサッカーはもっと輝く | Football LAB",KAGI,2,神戸,神戸,"[""KAGI"", ""被ゴール"", ""被シュート"", ""成績順位""]","[""51.3"", ""1"", ""11.33"", ""8""]"
20260827,20260824,j1,2026,AGI KAGI.html,"AGI,KAGI","リーグサマリー:2026/27 J1 AGI,KAGI | データによってサッカーはもっと輝く | Football LAB",KAGI,2,京都,京都,"[""KAGI"", ""被ゴール"", ""被シュート"", ""成績順位""]","[""48.4"", ""2.33"", ""17"", ""18""]"
20260827,20260824,j1,2026,AGI KAGI.html,"AGI,KAGI","リーグサマリー:2026/27 J1 AGI,KAGI | データによってサッカーはもっと輝く | Football LAB",KAGI,2,川崎Ｆ,川崎Ｆ,"[""KAGI"", ""被ゴール"", ""被シュート"", ""成績順位""]","[""47.9"", ""1.33"", ""14.33"", ""13""]"
20260827,20260824,j1,2026,AGI KAGI.html,"AGI,KAGI","リーグサマリー:2026/27 J1 AGI,KAGI | データによってサッカーはもっと輝く | Football LAB",KAGI,2,水戸,水戸,"[""KAGI"", ""被ゴール"", ""被シュート"", ""成績順位""]","[""47.6"", ""1.33"", ""13.67"", ""7""]"
20260827,20260824,j1,2026,AGI KAGI.html,"AGI,KAGI","リーグサマリー:2026/27 J1 AGI,KAGI | データによってサッカーはもっと輝く | Football LAB",KAGI,2,横浜FM,横浜FM,"[""KAGI"", ""被ゴール"", ""被シュート"", ""成績順位""]","[""47.2"", ""1.33"", ""12.33"", ""5""]"
20260827,20260824,j1,2026,AGI KAGI.html,"AGI,KAGI","リーグサマリー:2026/27 J1 AGI,KAGI | データによってサッカーはもっと輝く | Football LAB",KAGI,2,清水,清水,"[""KAGI"", ""被ゴール"", ""被シュート"", ""成績順位""]","[""46.0"", ""0.67"", ""13"", ""15""]"
