snapshot_date,asof_date,league,season,source_file,page_label,title,section_title,chart_index,metric_x_name,metric_x_value,metric_y_name,metric_y_value,team_short,team_name,team_key
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,0.86,AGI,49.7,札幌,札幌,札幌
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,0.17,AGI,55.2,八戸,八戸,八戸
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1.71,AGI,53.0,仙台,仙台,仙台
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1.29,AGI,56.7,秋田,秋田,秋田
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1,AGI,45.6,山形,山形,山形
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1.43,AGI,46.2,福島,福島,福島
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1.43,AGI,61.0,いわき,いわき,いわき
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1.33,AGI,50.2,栃木SC,栃木SC,栃木SC
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1,AGI,48.9,栃木C,栃木C,栃木C
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,0.57,AGI,45.1,群馬,群馬,群馬
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,2.71,AGI,57.1,大宮,大宮,大宮
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1.86,AGI,49.8,横浜FC,横浜FC,横浜FC
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1.71,AGI,51.3,湘南,湘南,湘南
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,2.14,AGI,56.0,相模原,相模原,相模原
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1.29,AGI,52.1,甲府,甲府,甲府
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1.86,AGI,47.2,松本,松本,松本
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,0.57,AGI,47.0,長野,長野,長野
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1.43,AGI,50.9,新潟,新潟,新潟
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1.86,AGI,55.4,富山,富山,富山
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,0.86,AGI,51.7,金沢,金沢,金沢
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,0.57,AGI,50.6,磐田,磐田,磐田
