match_no,league,home_team,away_team,best_second,actual_symbol,actual_result,ticket01,ticket01_is_hit,ticket02,ticket02_is_hit,ticket03,ticket03_is_hit,ticket04,ticket04_is_hit,ticket05,ticket05_is_hit,ticket06,ticket06_is_hit,ticket07,ticket07_is_hit,ticket08,ticket08_is_hit,ticket09,ticket09_is_hit,ticket10,ticket10_is_hit
1,J1,横浜FM,浦和,best=0 second=1 third=2 (base=0) margin=0.028,2,A,0,False,0,False,0,False,1,False,0,False,0,False,0,False,0,False,1,False,0,False
2,J1,清水,神戸,best=2 second=1 third=0 (base=2) margin=0.214,1,H,2,False,2,False,2,False,2,False,2,False,2,False,1,True,2,False,2,False,2,False
3,J1,鹿島,柏,best=2 second=1 third=0 (base=2) margin=0.159,1,H,2,False,2,False,2,False,2,False,2,False,1,True,2,False,2,False,2,False,2,False
4,J1,岡山,Ｇ大阪,best=2 second=0 third=1 (base=2) margin=0.088,2,A,2,True,2,True,2,True,2,True,0,False,2,True,2,True,2,True,2,True,1,False
5,J1,Ｃ大阪,広島,best=2 second=0 third=1 (base=2) margin=0.221,2,A,2,True,2,True,2,True,2,True,2,True,0,False,2,True,2,True,2,True,2,True
6,J1,川崎Ｆ,FC東京,best=1 second=0 third=2 (base=1) margin=0.293,2,A,1,False,1,False,1,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False
7,J1,名古屋,長崎,best=0 second=2 third=1 (base=0) margin=0.155,2,A,0,False,0,False,0,False,0,False,0,False,2,True,0,False,0,False,0,False,0,False
8,J1,水戸,千葉,best=0 second=1 third=2 (base=0) margin=0.014,0,D,0,True,0,True,1,False,2,False,0,True,0,True,0,True,0,True,1,False,0,True
9,J1,京都,福岡,best=1 second=0 third=2 (base=1) margin=0.417,1,H,1,True,1,True,1,True,1,True,1,True,1,True,1,True,0,False,1,True,1,True
10,J1,東京Ｖ,町田,best=2 second=0 third=1 (base=2) margin=0.231,0,D,2,False,2,False,2,False,2,False,2,False,2,False,0,True,2,False,2,False,2,False
11,J2,宮崎,鳥栖,,1,H,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
12,J2,徳島,富山,best=1 second=0 third=2 (base=1) margin=0.548,2,A,1,False,1,False,1,False,1,False,1,False,1,False,1,False,0,False,1,False,1,False
13,J2,藤枝,甲府,best=2 second=0 third=1 (base=2) margin=0.032,0,D,2,False,2,False,2,False,2,False,0,True,2,False,2,False,2,False,0,True,2,False
