ticket,hits,total,hit_rate
ticket01,5,13,0.38461538461538464
ticket02,5,13,0.38461538461538464
ticket03,4,13,0.3076923076923077
ticket04,4,13,0.3076923076923077
ticket05,5,13,0.38461538461538464
ticket06,6,13,0.46153846153846156
ticket07,7,13,0.5384615384615384
ticket08,4,13,0.3076923076923077
ticket09,5,13,0.38461538461538464
ticket10,4,13,0.3076923076923077
