match_no,home_team,away_team,pH,pD,pA,best,second,margin,entropy,closeness,score,draw_candidate,weak_draw_candidate,match_reason,draw_count_10
6,FC東京,横浜FM,0.3737,0.3396,0.2868,1,0,0.0341,1.0928,0.9131,1.0829,0,1,ha_not_close,0
7,浦和,水戸,0.3796,0.339,0.2814,1,0,0.0406,1.0912,0.9017,1.0712,0,1,ha_not_close,0
