overall_rank,tier,metric_key,metric_label,overall_score,aligned_rate,aligned,decided,separation_gap,preferred_pattern,mean_abs_correct,mean_abs_wrong,draw_gap,mean_abs_draw_all,mean_abs_draw_correct,mean_abs_draw_wrong,aligned_score,separation_score,draw_score
1,A,flab_chance_allowed_shot_conversion_diff,被シュート成功率差,0.7481203007518799,0.7333333333333333,11,15,2.2370000000000005,correct_abs_larger,5.3420000000000005,3.105,-2.149999999999999,1.9833333333333334,2.6999999999999997,0.5500000000000007,1.0,1.0,0.24436090225563925
2,A,flab_chance_shot_conversion_diff,シュート成功率差,0.6377372518242285,0.6428571428571429,9,14,1.6780000000000004,correct_abs_larger,3.438,1.7599999999999998,-0.7599999999999998,4.096666666666667,4.35,3.59,0.660714285714286,0.7468583720140383,0.5056390977443609
3,B,flab_possession_rate_diff,保持率差,0.6377135872909941,0.7333333333333333,11,15,0.5063500000000003,correct_abs_larger,5.5168,5.01045,0.2572999999999972,3.0499666666666676,2.9642000000000017,3.221499999999999,1.0,0.21627985961734414,0.6968609022556385
4,B,flab_chance_build_rate_diff,チャンス構築率差,0.5115389515337081,0.7333333333333333,11,15,0.8772499999999999,correct_abs_larger,2.571,1.6937500000000003,-2.6499999999999986,3.626666666666667,4.51,1.8600000000000012,1.0,0.3842409147514999,0.15037593984962433
5,B,flab_possession_attack_cbp_diff,攻撃CBP差,0.41994037510849475,0.7333333333333333,11,15,0.6025000000000009,correct_abs_larger,3.3400000000000007,2.7375,-3.45,2.7000000000000006,3.8500000000000005,0.40000000000000036,1.0,0.2598211253254843,0.0
6,C,flab_chance_allowed_build_rate_diff,被チャンス構築率差,0.36344767727084043,0.4666666666666667,7,15,0.22825000000000006,correct_abs_smaller,2.528,2.75625,1.870000000000001,2.2933333333333334,1.67,3.540000000000001,0.0,0.09034303181252124,1.0
7,C,flab_expected_against_xg_diff,被xG差,0.3179511278195489,0.5333333333333333,8,15,0.028749999999999998,correct_abs_smaller,0.31450000000000006,0.34325000000000006,0.2945,0.36866666666666675,0.2705000000000001,0.5650000000000001,0.25,0.0,0.7038533834586466
8,C,flab_expected_for_xg_diff,攻撃xG差,0.29795256495705463,0.5333333333333333,8,15,0.19304999999999992,correct_abs_larger,0.41229999999999994,0.21925000000000003,-0.4204999999999999,0.47733333333333333,0.6174999999999999,0.19700000000000006,0.25,0.07440280765311894,0.569454887218045
