diff_type,match_no,home_team,away_team,league
missing_in_toto_order,,徳島,鳥栖,j2
missing_in_toto_order,,新潟,札幌,j2
missing_in_toto_order,,栃木Ｃ,八戸,j2
missing_in_toto_order,,横浜FC,磐田,j2
missing_in_toto_order,,湘南,山形,j2
missing_in_toto_order,,藤枝,いわき,j2
matched,1,鹿島,名古屋,
matched,2,清水,横浜ＦM,
matched,3,神戸,ＦＣ東京,
matched,4,千葉,町田,
matched,5,福岡,C大阪,
matched,6,水戸,G大阪,
matched,7,岡山,長崎,
matched,8,浦和,広島,
matched,9,川崎F,京都,
matched,10,秋田,富山,
matched,11,今治,大宮,
matched,12,仙台,大分,
matched,13,甲府,宮崎,
