season,team,round_start,absences_count,sum_weight_minutes,sum_weight_attack,sum_weight_defense,sum_impact_attack,sum_impact_defense,sum_impact_total,team_minutes_total,team_goals_total,team_defense_total_conceded,team_defense_total_xga
2026.0,C大阪,4,2,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,2.0,0,0
2026.0,C大阪,6,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,2.0,0,0
2026.0,C大阪,10,2,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,2.0,0,0
2026.0,C大阪,11,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,2.0,0,0
2026.0,FC大阪,5,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,2.0,0,0
2026.0,FC東京,5,1,0.042553,0.0,0.042553,0.0,0.042553,0.034043,4230.0,4.0,0,0
2026.0,FC東京,6,1,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,4.0,0,0
2026.0,FC東京,9,2,0.12766,0.0,0.12766,0.0,0.12766,0.102128,4230.0,4.0,0,0
2026.0,G大阪,3,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,0.0,0,0
2026.0,G大阪,4,3,0.09375,0.0,0.09375,0.0,0.09375,0.07500000000000001,2880.0,0.0,0,0
2026.0,G大阪,12,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,0.0,0,0
2026.0,いわき,9,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,4.0,0,0
2026.0,いわき,10,1,0.0625,0.25,0.0625,0.25,0.0625,0.1,2880.0,4.0,0,0
2026.0,いわき,11,1,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,4.0,0,0
2026.0,ロアッソ熊本,7,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,3.0,0,0
2026.0,ロアッソ熊本,8,2,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,3.0,0,0
2026.0,ロアッソ熊本,10,2,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,3.0,0,0
2026.0,ロアッソ熊本,12,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,3.0,0,0
2026.0,京都,8,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,2.0,0,0
2026.0,京都,10,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,2.0,0,0
2026.0,京都,11,1,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,2.0,0,0
2026.0,京都,13,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,2.0,0,0
2026.0,今治,4,1,0.066667,0.0,0.066667,0.0,0.066667,0.053333,2700.0,0.0,0,0
2026.0,今治,11,1,0.066667,0.0,0.066667,0.0,0.066667,0.053333,2700.0,0.0,0,0
2026.0,仙台,9,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,5.0,0,0
2026.0,仙台,10,1,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,5.0,0,0
2026.0,仙台,11,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,5.0,0,0
2026.0,八戸,7,1,0.066667,1.0,0.066667,1.0,0.066667,0.253333,2700.0,1.0,0,0
2026.0,八戸,10,1,0.033333,0.0,0.033333,0.0,0.033333,0.026667,2700.0,1.0,0,0
2026.0,北九州,9,3,0.200001,0.0,0.200001,0.0,0.200001,0.159999,2700.0,1.0,0,0
2026.0,千葉,12,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,0.0,0,0
2026.0,名古屋,3,1,0.021277,0.0,0.021277,0.0,0.021277,0.017021,4230.0,2.0,0,0
2026.0,名古屋,9,1,0.06383,0.0,0.06383,0.0,0.06383,0.051064,4230.0,2.0,0,0
2026.0,名古屋,10,1,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,2.0,0,0
2026.0,大分,7,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,1440.0,2.0,0,0
2026.0,大分,8,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,1440.0,2.0,0,0
2026.0,大分,12,1,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,2.0,0,0
2026.0,大宮,4,2,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,11.0,0,0
2026.0,大宮,5,1,0.06383,0.090909,0.06383,0.090909,0.06383,0.069246,4230.0,11.0,0,0
2026.0,大宮,6,1,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,11.0,0,0
2026.0,大宮,9,1,0.06383,0.0,0.06383,0.0,0.06383,0.051064,4230.0,11.0,0,0
2026.0,奈良クラブ,7,1,0.040816,0.0,0.040816,0.0,0.040816,0.032653,4410.0,3.0,0,0
2026.0,富山,7,2,0.09375,0.0,0.09375,0.0,0.09375,0.07500000000000001,2880.0,5.0,0,0
2026.0,山口,5,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,3.0,0,0
2026.0,山形,7,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,4320.0,5.0,0,0
2026.0,山形,8,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,4320.0,5.0,0,0
2026.0,岐阜,12,1,0.064516,0.0,0.064516,0.0,0.064516,0.051613,2790.0,4.0,0,0
2026.0,岡山,9,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,2.0,0,0
2026.0,川崎F,6,1,0.0,0.0,0.0,0.0,0.0,0.0,4320.0,6.0,0,0
2026.0,川崎F,7,2,0.041667,0.0,0.041667,0.0,0.041667,0.033333,4320.0,6.0,0,0
2026.0,川崎F,9,2,0.125,0.0,0.125,0.0,0.125,0.1,4320.0,6.0,0,0
2026.0,川崎F,10,1,0.0,0.0,0.0,0.0,0.0,0.0,4320.0,6.0,0,0
2026.0,川崎F,12,2,0.041667,0.0,0.041667,0.0,0.041667,0.033333,4320.0,6.0,0,0
2026.0,広島,4,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,4.0,0,0
2026.0,徳島,10,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,10.0,0,0
2026.0,徳島,11,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,10.0,0,0
2026.0,札幌,4,1,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,3.0,0,0
2026.0,札幌,5,2,0.06383,0.333333,0.06383,0.333333,0.06383,0.11773,4230.0,3.0,0,0
2026.0,札幌,6,1,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,3.0,0,0
2026.0,札幌,10,1,0.0,0.0,0.0,0.0,0.0,0.0,4230.0,3.0,0,0
2026.0,札幌,11,2,0.085107,0.0,0.085107,0.0,0.085107,0.068085,4230.0,3.0,0,0
2026.0,東京V,11,3,0.166667,0.166667,0.166667,0.166667,0.166667,0.166666,4320.0,6.0,0,0
2026.0,松本,3,1,0.0,0.0,0.0,0.0,0.0,0.0,4050.0,3.0,0,0
2026.0,松本,5,1,0.0,0.0,0.0,0.0,0.0,0.0,4050.0,3.0,0,0
2026.0,松本,6,1,0.066667,0.0,0.066667,0.0,0.066667,0.053333,4050.0,3.0,0,0
2026.0,松本,8,1,0.022222,0.0,0.022222,0.0,0.022222,0.017778,4050.0,3.0,0,0
2026.0,松本,11,1,0.0,0.0,0.0,0.0,0.0,0.0,4050.0,3.0,0,0
2026.0,柏,4,1,0.044444,0.0,0.044444,0.0,0.044444,0.035556,4050.0,4.0,0,0
2026.0,柏,12,1,0.044444,0.0,0.044444,0.0,0.044444,0.035556,4050.0,4.0,0,0
2026.0,栃木C,4,1,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,1.0,0,0
2026.0,栃木C,11,1,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,1.0,0,0
2026.0,栃木SC,8,2,0.125,0.0,0.125,0.0,0.125,0.1,1440.0,1.0,0,0
2026.0,栃木SC,11,2,0.0625,0.0,0.0625,0.0,0.0625,0.05,1440.0,1.0,0,0
2026.0,横浜FC,8,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,1.0,0,0
2026.0,横浜FC,10,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,1.0,0,0
2026.0,横浜FC,11,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,2880.0,1.0,0,0
2026.0,横浜FM,9,1,0.0625,0.5,0.0625,0.5,0.0625,0.15,4320.0,2.0,0,0
2026.0,横浜FM,10,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,4320.0,2.0,0,0
2026.0,水戸,4,1,0.0625,0.333333,0.0625,0.333333,0.0625,0.116667,2880.0,3.0,0,0
2026.0,水戸,6,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,3.0,0,0
2026.0,水戸,7,1,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,3.0,0,0
2026.0,水戸,9,2,0.125,0.333333,0.125,0.333333,0.125,0.166667,2880.0,3.0,0,0
2026.0,水戸,10,1,0.0,0.0,0.0,0.0,0.0,0.0,2880.0,3.0,0,0
2026.0,水戸,11,1,0.03125,0.0,0.03125,0.0,0.03125,0.025,2880.0,3.0,0,0
2026.0,浦和,12,1,0.06383,0.0,0.06383,0.0,0.06383,0.051064,4230.0,5.0,0,0
2026.0,清水,8,1,0.066667,0.0,0.066667,0.0,0.066667,0.053333,4050.0,1.0,0,0
2026.0,清水,10,1,0.066667,0.0,0.066667,0.0,0.066667,0.053333,4050.0,1.0,0,0
2026.0,湘南,4,1,0.0,0.0,0.0,0.0,0.0,0.0,4140.0,5.0,0,0
2026.0,湘南,7,2,0.108695,0.2,0.108695,0.2,0.108695,0.12695700000000001,4140.0,5.0,0,0
2026.0,熊本,10,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2026.0,琉球,5,2,0.0625,0.0,0.0625,0.0,0.0625,0.05,4320.0,3.0,0,0
2026.0,琉球,6,1,0.0625,0.0,0.0625,0.0,0.0625,0.05,4320.0,3.0,0,0
2026.0,琉球,10,1,0.041667,0.0,0.041667,0.0,0.041667,0.033333,4320.0,3.0,0,0
