season,round_start,expected_rounds,origin_competition_key,applies_across_competitions,start_date,expected_weeks,expected_return_date,team,player_name,absence_type,availability,note,match_player_key,match_status,weight_minutes,weight_attack,weight_defense,impact_attack,impact_defense,impact_total,impact_total_per_round,regular_flag,debug_reason
2026,,,special_2026,1,2026-03-19,,2026-07-09,水戸,島谷義進,injury,out,第5腰椎分離症,2026|水戸|島谷義進,matched,0.0,0.0,0.0,0.0,0.0,0.0,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-02-12,,2026-06-18,甲府,林田 滉也,injury,out,右膝前十字靱帯不全損傷、右膝内側側副靱帯損傷、右母趾基節骨骨折で全治未定,2026|甲府|林田滉也,matched,0.020833,0.0,0.020833,0.0,0.020833,0.016667,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-04-30,,2026-10-15,神戸,扇原貴宏,injury,out,公式 右膝関節軟骨損傷,2026|神戸|扇原貴宏,matched,0.022222,0.0,0.022222,0.0,0.022222,0.017778,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-05-18,,2026-11-09,秋田,畑橋拓輝,injury,out,公式 左アキレス腱断裂,2026|秋田|畑橋拓輝,matched,0.0,0.0,0.0,0.0,0.0,0.0,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-03-14,,2026-06-20,秋田,藤山智史,injury,out,右膝前十字靭帯損傷、内側側副靭帯損傷、外側半月板損傷、大腿骨外顆骨挫傷,2026|秋田|藤山智史,matched,0.022222,0.0,0.022222,0.0,0.022222,0.017778,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-05-09,,2026-11-21,高知,岡澤韻生,injury,out,公式 左膝前十字靱帯損傷、外側半月板損傷,2026|高知|岡澤韻生,matched,0.0,0.0,0.0,0.0,0.0,0.0,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-03-25,,2026-09-16,鳥取,吉田伊吹,injury,out,右アキレス腱断裂,2026|鳥取|吉田伊吹,matched,0.0,0.0,0.0,0.0,0.0,0.0,,False,def_proxy=minutes_share
2026,,,special_2026,1,2026-04-28,,2026-10-20,鳥取,温井駿斗,injury,out,公式 右アキレス腱断裂,2026|鳥取|温井駿斗,matched,0.0625,0.0,0.0625,0.0,0.0625,0.05,,False,def_proxy=minutes_share
2026,,,regular_2026_27,1,2026-07-12,8.0,2026-09-06,大分,川島康暉,injury,out,公式 右肩関節亜脱臼,2026|大分|川島康暉,not_found,0.0,0.0,0.0,0.0,0.0,0.0,,False,not found; player not found
2026,,,regular_2026_27,1,2026-07-12,12.0,2026-10-04,水戸,岩崎博,injury,out,公式 右脛骨疲労骨折,2026|水戸|岩崎博,not_found,0.0,0.0,0.0,0.0,0.0,0.0,,False,not found; player not found
2026,,,regular_2026_27,1,2026-07-21,28.0,2027-02-02,鹿島,安西幸輝,injury,out,公式 左膝前十字靭帯損傷,2026|鹿島|安西幸輝,matched,0.0,0.0,0.0,0.0,0.0,0.0,,False,def_proxy=minutes_share
2026,,,regular_2026_27,1,2026-07-21,8.0,2026-09-15,鹿島,樋口雄太,injury,out,公式 右腓骨骨折,2026|鹿島|樋口雄太,matched,0.06383,0.0,0.06383,0.0,0.06383,0.051064,,False,def_proxy=minutes_share
2026,,,regular_2026_27,1,2026-07-23,8.0,2026-09-17,東京V,田邉秀斗,injury,out,公式 左膝内側側副靱帯損傷で全治6-10週,2026|東京V|田邉秀斗,matched,0.0,0.0,0.0,0.0,0.0,0.0,,False,def_proxy=minutes_share
2026,,,regular_2026_27,1,2026-07-23,8.0,2026-09-17,東京V,森田晃樹,injury,out,公式 左鎖骨骨折で全治6-10週,2026|東京V|森田晃樹,matched,0.0625,0.0,0.0625,0.0,0.0625,0.05,,False,def_proxy=minutes_share
2026,,,regular_2026_27,1,2026-07-26,6.0,2026-09-06,広島,浅野拓磨,injury,out,公式 左ヒラメ筋肉離れ,2026|広島|浅野拓磨,not_found,0.0,0.0,0.0,0.0,0.0,0.0,,False,not found; player not found
2026,,,regular_2026_27,1,2026-08-03,24.0,2027-01-18,C大阪,柴山昌也,injury,out,公式 左膝複合靭帯損傷,2026|C大阪|柴山昌也,matched,0.03125,0.0,0.03125,0.0,0.03125,0.025,,False,def_proxy=minutes_share
2026,,,regular_2026_27,1,2026-08-06,12.0,2026-10-29,磐田,甲斐佑蒼,injury,out,公式 左第5中足骨骨折でトレーニング合流まで術後3ヶ月程度見込み,2026|磐田|甲斐佑蒼,matched,0.0,0.0,0.0,0.0,0.0,0.0,,False,def_proxy=minutes_share
2026,,,regular_2026_27,1,2026-08-07,24.0,2027-01-22,岡山,小倉幸成,injury,out,公式 左膝外側半月板断裂で全治は術後6か月程度,2026|岡山|小倉幸成,matched,0.0625,0.0,0.0625,0.0,0.0625,0.05,,False,def_proxy=minutes_share
