league,season_year,tag,hfa_elo,elo_diff_scale,draw_assign_by_expectation,rows,pred_count_total,force_draw_count,final_H_cnt,final_D_cnt,final_A_cnt,final_H_pct,final_D_pct,final_A_pct,pred_H_final,pred_D_final,pred_A_final,rate_H_final,rate_D_final,rate_A_final,argmax_H_cnt,argmax_D_cnt,argmax_A_cnt,argmax_H_pct,argmax_D_pct,argmax_A_pct,pred_H_argmax,pred_D_argmax,pred_A_argmax,rate_H_argmax,rate_D_argmax,rate_A_argmax,mean_prob_home,mean_prob_draw,mean_prob_away,prob_mean_home,prob_mean_draw,prob_mean_away,acc,logloss,backtest_rows
j1,2026,hfa0p000_s0p500_draw0,0.0,0.5,0,140,140,0,65,46,29,46.42857142857143,32.857142857142854,20.714285714285715,65,46,29,46.42857142857143,32.857142857142854,20.714285714285715,65,46,29,46.42857142857143,32.857142857142854,20.714285714285715,65,46,29,46.42857142857143,32.857142857142854,20.714285714285715,0.36621015846013655,0.31609755890553404,0.31769228263432936,0.36621015846013655,0.31609755890553404,0.31769228263432936,0.3333333333333333,1.134352601214123,15
j1,2026,hfa0p000_s0p500_draw1,0.0,0.5,1,140,140,42,58,53,29,41.42857142857143,37.857142857142854,20.714285714285715,58,53,29,41.42857142857143,37.857142857142854,20.714285714285715,65,46,29,46.42857142857143,32.857142857142854,20.714285714285715,65,46,29,46.42857142857143,32.857142857142854,20.714285714285715,0.36621015846013655,0.31609755890553404,0.31769228263432936,0.36621015846013655,0.31609755890553404,0.31769228263432936,0.3333333333333333,1.134352601214123,15
j1,2026,hfa0p000_s1p000_draw0,0.0,1.0,0,140,140,0,69,25,46,49.285714285714285,17.857142857142858,32.857142857142854,69,25,46,49.285714285714285,17.857142857142858,32.857142857142854,69,25,46,49.285714285714285,17.857142857142858,32.857142857142854,69,25,46,49.285714285714285,17.857142857142858,32.857142857142854,0.37836802952092563,0.26549226370565077,0.3561397067734235,0.37836802952092563,0.26549226370565077,0.3561397067734235,0.26666666666666666,1.3133769183092714,15
j1,2026,hfa0p000_s1p000_draw1,0.0,1.0,1,140,140,40,58,44,38,41.42857142857143,31.428571428571427,27.142857142857142,58,44,38,41.42857142857143,31.428571428571427,27.142857142857142,69,25,46,49.285714285714285,17.857142857142858,32.857142857142854,69,25,46,49.285714285714285,17.857142857142858,32.857142857142854,0.37836802952092563,0.26549226370565077,0.3561397067734235,0.37836802952092563,0.26549226370565077,0.3561397067734235,0.3333333333333333,1.3133769183092714,15
j1,2026,hfa0p000_s1p500_draw0,0.0,1.5,0,140,140,0,69,17,54,49.285714285714285,12.142857142857142,38.57142857142857,69,17,54,49.285714285714285,12.142857142857142,38.57142857142857,69,17,54,49.285714285714285,12.142857142857142,38.57142857142857,69,17,54,49.285714285714285,12.142857142857142,38.57142857142857,0.3854298992548606,0.22442740169637918,0.3901426990487601,0.3854298992548606,0.22442740169637918,0.3901426990487601,0.2,1.515263241140959,15
j1,2026,hfa0p000_s1p500_draw1,0.0,1.5,1,140,140,30,61,31,48,43.57142857142857,22.142857142857142,34.285714285714285,61,31,48,43.57142857142857,22.142857142857142,34.285714285714285,69,17,54,49.285714285714285,12.142857142857142,38.57142857142857,69,17,54,49.285714285714285,12.142857142857142,38.57142857142857,0.3854298992548606,0.22442740169637918,0.3901426990487601,0.3854298992548606,0.22442740169637918,0.3901426990487601,0.26666666666666666,1.515263241140959,15
j1,2026,hfa10p000_s0p500_draw0,10.0,0.5,0,140,140,0,71,44,25,50.714285714285715,31.428571428571427,17.857142857142858,71,44,25,50.714285714285715,31.428571428571427,17.857142857142858,71,44,25,50.714285714285715,31.428571428571427,17.857142857142858,71,44,25,50.714285714285715,31.428571428571427,17.857142857142858,0.3732643543839839,0.31240745189651936,0.3143281937194967,0.3732643543839839,0.31240745189651936,0.3143281937194967,0.26666666666666666,1.1476377005552323,15
j1,2026,hfa10p000_s0p500_draw1,10.0,0.5,1,140,140,42,64,51,25,45.714285714285715,36.42857142857143,17.857142857142858,64,51,25,45.714285714285715,36.42857142857143,17.857142857142858,71,44,25,50.714285714285715,31.428571428571427,17.857142857142858,71,44,25,50.714285714285715,31.428571428571427,17.857142857142858,0.3732643543839839,0.31240745189651936,0.3143281937194967,0.3732643543839839,0.31240745189651936,0.3143281937194967,0.3333333333333333,1.1476377005552323,15
j1,2026,hfa10p000_s1p000_draw0,10.0,1.0,0,140,140,0,77,24,39,55.0,17.142857142857142,27.857142857142858,77,24,39,55.0,17.142857142857142,27.857142857142858,77,24,39,55.0,17.142857142857142,27.857142857142858,77,24,39,55.0,17.142857142857142,27.857142857142858,0.39214915787737886,0.26015678277136545,0.3476940593512557,0.39214915787737886,0.26015678277136545,0.3476940593512557,0.26666666666666666,1.3407598428224603,15
j1,2026,hfa10p000_s1p000_draw1,10.0,1.0,1,140,140,39,66,40,34,47.142857142857146,28.571428571428573,24.285714285714285,66,40,34,47.142857142857146,28.571428571428573,24.285714285714285,77,24,39,55.0,17.142857142857142,27.857142857142858,77,24,39,55.0,17.142857142857142,27.857142857142858,0.39214915787737886,0.26015678277136545,0.3476940593512557,0.39214915787737886,0.26015678277136545,0.3476940593512557,0.3333333333333333,1.3407598428224603,15
