league,season_year,tag,hfa_elo,elo_diff_scale,draw_assign_by_expectation,rows,pred_count_total,force_draw_count,final_H_cnt,final_D_cnt,final_A_cnt,final_H_pct,final_D_pct,final_A_pct,pred_H_final,pred_D_final,pred_A_final,rate_H_final,rate_D_final,rate_A_final,argmax_H_cnt,argmax_D_cnt,argmax_A_cnt,argmax_H_pct,argmax_D_pct,argmax_A_pct,pred_H_argmax,pred_D_argmax,pred_A_argmax,rate_H_argmax,rate_D_argmax,rate_A_argmax,mean_prob_home,mean_prob_draw,mean_prob_away,prob_mean_home,prob_mean_draw,prob_mean_away,acc,logloss,backtest_rows
j2,2026,hfa0p000_s0p500_draw0,0.0,0.5,0,73,73,0,15,37,21,20.54794520547945,50.68493150684932,28.767123287671232,15,37,21,20.54794520547945,50.68493150684932,28.767123287671232,15,37,21,20.54794520547945,50.68493150684932,28.767123287671232,15,37,21,20.54794520547945,50.68493150684932,28.767123287671232,0.33270093537643236,0.3447207852748499,0.32257827934871763,0.33270093537643236,0.3447207852748499,0.32257827934871763,1.0,1.033303123280908,2
j2,2026,hfa0p000_s0p500_draw1,0.0,0.5,1,73,73,25,10,42,21,13.698630136986301,57.534246575342465,28.767123287671232,10,42,21,13.698630136986301,57.534246575342465,28.767123287671232,15,37,21,20.54794520547945,50.68493150684932,28.767123287671232,15,37,21,20.54794520547945,50.68493150684932,28.767123287671232,0.33270093537643236,0.3447207852748499,0.32257827934871763,0.33270093537643236,0.3447207852748499,0.32257827934871763,1.0,1.033303123280908,2
j2,2026,hfa0p000_s1p000_draw0,0.0,1.0,0,73,73,0,20,24,29,27.397260273972602,32.87671232876713,39.726027397260275,20,24,29,27.397260273972602,32.87671232876713,39.726027397260275,20,24,29,27.397260273972602,32.87671232876713,39.726027397260275,20,24,29,27.397260273972602,32.87671232876713,39.726027397260275,0.3300822726901499,0.32500402890984287,0.34491369840000724,0.3300822726901499,0.32500402890984287,0.34491369840000724,0.5,1.0562338807291087,2
j2,2026,hfa0p000_s1p000_draw1,0.0,1.0,1,73,73,24,13,32,28,17.80821917808219,43.83561643835616,38.35616438356164,13,32,28,17.80821917808219,43.83561643835616,38.35616438356164,20,24,29,27.397260273972602,32.87671232876713,39.726027397260275,20,24,29,27.397260273972602,32.87671232876713,39.726027397260275,0.3300822726901499,0.32500402890984287,0.34491369840000724,0.3300822726901499,0.32500402890984287,0.34491369840000724,0.5,1.0562338807291087,2
j2,2026,hfa0p000_s1p500_draw0,0.0,1.5,0,73,73,0,26,16,31,35.61643835616438,21.91780821917808,42.465753424657535,26,16,31,35.61643835616438,21.91780821917808,42.465753424657535,26,16,31,35.61643835616438,21.91780821917808,42.465753424657535,26,16,31,35.61643835616438,21.91780821917808,42.465753424657535,0.3271173101690106,0.30541284590411,0.3674698439268793,0.3271173101690106,0.30541284590411,0.3674698439268793,0.0,1.0804206826931524,2
j2,2026,hfa0p000_s1p500_draw1,0.0,1.5,1,73,73,22,18,25,30,24.65753424657534,34.24657534246575,41.0958904109589,18,25,30,24.65753424657534,34.24657534246575,41.0958904109589,26,16,31,35.61643835616438,21.91780821917808,42.465753424657535,26,16,31,35.61643835616438,21.91780821917808,42.465753424657535,0.3271173101690106,0.30541284590411,0.3674698439268793,0.3271173101690106,0.30541284590411,0.3674698439268793,0.0,1.0804206826931524,2
j2,2026,hfa10p000_s0p500_draw0,10.0,0.5,0,73,73,0,18,38,17,24.65753424657534,52.054794520547944,23.28767123287671,18,38,17,24.65753424657534,52.054794520547944,23.28767123287671,18,38,17,24.65753424657534,52.054794520547944,23.28767123287671,18,38,17,24.65753424657534,52.054794520547944,23.28767123287671,0.3374153514303102,0.3466699529543376,0.3159146956153521,0.3374153514303102,0.3466699529543376,0.3159146956153521,0.5,1.0271638274007469,2
j2,2026,hfa10p000_s0p500_draw1,10.0,0.5,1,73,73,25,16,40,17,21.91780821917808,54.794520547945204,23.28767123287671,16,40,17,21.91780821917808,54.794520547945204,23.28767123287671,18,38,17,24.65753424657534,52.054794520547944,23.28767123287671,18,38,17,24.65753424657534,52.054794520547944,23.28767123287671,0.3374153514303102,0.3466699529543376,0.3159146956153521,0.3374153514303102,0.3466699529543376,0.3159146956153521,0.5,1.0271638274007469,2
j2,2026,hfa10p000_s1p000_draw0,10.0,1.0,0,73,73,0,27,20,26,36.986301369863014,27.397260273972602,35.61643835616438,27,20,26,36.986301369863014,27.397260273972602,35.61643835616438,27,20,26,36.986301369863014,27.397260273972602,35.61643835616438,27,20,26,36.986301369863014,27.397260273972602,35.61643835616438,0.3399381431467395,0.32888812734350936,0.3311737295097511,0.3399381431467395,0.32888812734350936,0.3311737295097511,0.5,1.044012986332514,2
j2,2026,hfa10p000_s1p000_draw1,10.0,1.0,1,73,73,24,21,27,25,28.767123287671232,36.986301369863014,34.24657534246575,21,27,25,28.767123287671232,36.986301369863014,34.24657534246575,27,20,26,36.986301369863014,27.397260273972602,35.61643835616438,27,20,26,36.986301369863014,27.397260273972602,35.61643835616438,0.3399381431467395,0.32888812734350936,0.3311737295097511,0.3399381431467395,0.32888812734350936,0.3311737295097511,0.5,1.044012986332514,2
